Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Blaine,1035041,842094109418,For You Botanical Single Bottle Wine Bag by Cakewalk,10941,10,1.0,14.7,14.7,
Bloomington,1035047,842094109418,For You Botanical Single Bottle Wine Bag by Cakewalk,10941,10,1.0,14.7,14.7,
Rosemount,1035117,842094109418,For You Botanical Single Bottle Wine Bag by Cakewalk,10941,10,1.0,14.7,14.7,
Minneapolis,1035075,842094113408,True Party Colorful Straws (Set of 100),11340,12,1.0,23.88,23.88,
Minneapolis,1035075,842094119653,Collins 12.7 Oz Glitter Simple Syrup,11965,12,1.0,46.92,46.92,
Bloomington,1035047,842094150915,20 Red Shot Glasses,5091,12,1.0,19.56,19.56,
Minneapolis,1035075,842094150915,20 Red Shot Glasses,5091,12,1.0,19.56,19.56,
Rosemount,1035117,842094153343,"Long Bamboo Appetizer Picks 7""",5334,12,1.0,20.52,20.52,
Blaine,1035041,842094156900,Fortify Stainless Steel Barware Set,5690,4,1.0,67.16,67.16,
Blaine,1035041,842094171057,Bubbles Single Bottle Bag,7105,10,1.0,14.2,14.2,
Minneapolis,1035075,842094171217,"16 oz Red Party Cups, 50 pack by True",7121,1,25.0,5.03,125.75,
Minneapolis,1035075,842094177585,True Party 16 Oz Blue Party Cups (Set of 50),7758,24,1.0,134.16,134.16,
Blaine,1035041,842094181766,2 oz plastic shot glasses,8176,12,1.0,50.28,50.28,
Minneapolis,1035075,842094181766,2 oz plastic shot glasses,8176,12,1.0,50.28,50.28,
Rosemount,1035117,842094181766,2 oz plastic shot glasses,8176,12,1.0,50.28,50.28,
Minneapolis,1035075,842094182374,"True Party: 2.5 oz Jello Shot Cups with Lids, set of 25",8237,18,1.0,52.74,52.74,
Minneapolis,1035075,876718006791,Soar - Winged Corkscrew,679,12,1.0,36.12,36.12,
Blaine,1035041,876718007712,Monte Carlo: 6 oz Faux Leather Flask,771,6,1.0,50.34,50.34,
Minneapolis,1035075,876718020476,TrueFlask 4 oz Stainless Steel Flask 4oz,2047,6,1.0,40.26,40.26,
Blaine,1035041,876718021664,Grand Cru: Stemless Wine Glass,2166,1,1.0,15.53,15.53,
Minneapolis,1035075,876718030413,Shoot Ping Pong Balls,3041,12,1.0,26.76,26.76,
Bloomington,1035047,876718030420,"16 oz Red Party Cups, 24 pack by True",3042,12,2.0,32.16,64.32,
Minneapolis,1035075,876718030420,"16 oz Red Party Cups, 24 pack by True",3042,12,1.0,32.16,32.16,
Minneapolis,1035075,876718039232,Beer Pong Kit,BP20R,12,2.0,50.28,100.56,
Minneapolis,1035075,876718046049,Stream Set of 2 Liquor Pourers by True,2711,12,1.0,39.24,39.24,
Rosemount,1035117,876718047664,Colorful Cheers Wine Bag by Cakewalk,4766,10,1.0,14.2,14.2,
Bloomington,1035047,876718048074,Shotski Classic Shot Glass by True,2096,12,1.0,16.56,16.56,
Rosemount,1035117,876718048074,Shotski Classic Shot Glass by True,2096,12,1.0,16.56,16.56,
