Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Rosemount,1034556,082242013741,Bota Box NightHawk Red Blend 3L Box,001365636,3,1.0,44.0,44.0,
Roseville,1034569,082242013741,Bota Box NightHawk Red Blend 3L Box,001365636,3,1.0,44.0,44.0,
Bloomington,1034480,082242014373,Bota Box Dry Rose 3L Box,001259514,3,1.0,44.0,44.0,
Cottage Grove,1034499,082242014373,Bota Box Dry Rose 3L Box,001259514,3,1.0,44.0,44.0,
Osseo,1034528,082242014373,Bota Box Dry Rose 3L Box,001259514,3,1.0,44.0,44.0,
Roseville,1034569,082242014373,Bota Box Dry Rose 3L Box,001259514,3,2.0,44.0,88.0,
St. Louis Park,1034585,082242014373,Bota Box Dry Rose 3L Box,001259514,3,2.0,44.0,88.0,
Blaine,1034465,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,001257054,3,1.0,44.0,44.0,
Chanhassen,1034487,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,001257054,3,1.0,44.0,44.0,
Cottage Grove,1034499,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,001257054,3,1.0,44.0,44.0,
Osseo,1034528,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,001257054,3,1.0,44.0,44.0,
Plymouth,1034537,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,001257054,3,1.0,44.0,44.0,
Ramsey,1034546,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,001257054,3,1.0,44.0,44.0,
Roseville,1034569,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,001257054,3,1.0,44.0,44.0,
St. Louis Park,1034585,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,001257054,3,1.0,44.0,44.0,
Stillwater,1034598,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,001257054,3,1.0,44.0,44.0,
Plymouth,1034537,082242014953,Bota Box Zinfandel 3L Box,001753471,3,1.0,44.0,44.0,
Blaine,1034465,082242015691,Bota Box Nighthawk GD Chardonnay 3L Box,001712994,3,1.0,44.0,44.0,
Roseville,1034569,082242015691,Bota Box Nighthawk GD Chardonnay 3L Box,001712994,3,1.0,44.0,44.0,
Blaine,1034465,082242016049,Bota Box Nighthawk Gold Sauv Blanc 3L Box,001931902,3,1.0,44.0,44.0,
Plymouth,1034537,082242016049,Bota Box Nighthawk Gold Sauv Blanc 3L Box,001931902,3,1.0,44.0,44.0,
Roseville,1034569,082242016049,Bota Box Nighthawk Gold Sauv Blanc 3L Box,001931902,3,1.0,44.0,44.0,
