Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Blaine,1031579,082242294935,Gnarly Head Old Vine Zin 750ml,1955676,12,1.0,80.0,80.0,
Ramsey,1031866,08228109,Smirnoff Peach Vodka 50ml,000017517,120,1.0,79.0,79.0,
Roseville,1031881,08233703,Smirnoff Kissed Caramel Vodka 50ml,000020516,120,1.0,79.0,79.0,
Osseo,1031850,08247201,Smirnoff Vodka 50ml,000045211,120,1.0,79.0,79.0,
Ramsey,1031866,08247201,Smirnoff Vodka 50ml,000045211,120,1.0,79.0,79.0,
Roseville,1031881,08247201,Smirnoff Vodka 50ml,000045211,120,1.0,79.0,79.0,
Blaine,1031799,08256102,Smirnoff Vodka 375ml,000002584,24,1.0,98.0,98.0,
Blaine,1031589,083085200527,Franciscan Chardonnay 750ml,000804110,12,1.0,104.0,104.0,Store Request
Blaine,1031799,083089450102,Casamigos Blanco Tequila Liter,1999598,6,1.0,250.0,250.0,
Blaine,1031799,083664871964,Stolichnaya Blueberi Vodka Liter,000012185,12,1.0,215.91,215.91,
Roseville,1031685,083722028392,Murphy Goode Red Blend 750ml,001629371,12,1.0,96.0,96.0,
Woodbury,1031737,083722870045,Murphy Goode Cab Sauv 750ml,001957570,12,1.0,96.0,96.0,
Blaine,1031579,084279002156,Yes Way Rose 750ml,001987455,12,1.0,95.0,95.0,
Bloomington,1031598,084279002156,Yes Way Rose 750ml,001987455,12,1.0,95.0,95.0,
Chanhassen,1031607,084279002156,Yes Way Rose 750ml,001987455,12,2.0,95.0,190.0,
Osseo,1031647,084279002156,Yes Way Rose 750ml,001987455,12,2.0,95.0,190.0,
Rosemount,1031671,084279002156,Yes Way Rose 750ml,001987455,12,2.0,95.0,190.0,
Roseville,1031685,084279002156,Yes Way Rose 750ml,001987455,12,1.0,95.0,95.0,
Ramsey,1031866,084279008578,Kinky Orange Cream 50ml,1377896,120,1.0,80.0,80.0,
Roseville,1031685,084279009247,Yes Way Rose Alcohol Removed NA 750ml,1604889,12,1.0,134.0,134.0,
Blaine,1031799,084279184227,Karkov Vodka 1.75L,000002782,6,8.0,56.4,451.2,
Osseo,1031850,084279184227,Karkov Vodka 1.75L,000002782,6,2.0,56.4,112.8,
Ramsey,1031866,084279184227,Karkov Vodka 1.75L,000002782,6,7.0,56.4,394.8,
Rosemount,1031874,084279184227,Karkov Vodka 1.75L,000002782,6,2.0,56.4,112.8,
Roseville,1031881,084279184227,Karkov Vodka 1.75L,000002782,6,5.0,56.4,282.0,
Woodbury,1031923,084279184227,Karkov Vodka 1.75L,000002782,6,3.0,56.4,169.2,
Blaine,1031799,084279979472,Il Tramonto Lemoncello 750ml,000015946,6,1.0,71.25,71.25,
Woodbury,1031923,084279979472,Il Tramonto Lemoncello 750ml,000015946,6,1.0,71.25,71.25,
Rosemount,1031671,085000001257,Peter Vella Blush 5L Box,48496,4,1.0,45.0,45.0,
Woodbury,1031737,085000001257,Peter Vella Blush 5L Box,48496,4,1.0,45.0,45.0,
Blaine,1031799,085000003824,E&J VSOP Brandy Liter,000039743,12,1.0,153.0,153.0,
Ramsey,1031866,085000003824,E&J VSOP Brandy Liter,000039743,12,1.0,153.0,153.0,
Blaine,1031799,085000006214,New Amsterdam Pineapple 50ml,1079597,120,1.0,80.0,80.0,
Bloomington,1031808,085000006627,New Amsterdam Raspberry vodka 50ml,1517855,120,1.0,80.0,80.0,
Blaine,1031579,085000006795,Peter Vella Chardonnay 5L Box,13375,4,1.0,57.0,57.0,
Bloomington,1031808,085000006801,New Amsterdam Passion Fruit 50ml,1480632,120,1.0,80.0,80.0,
Roseville,1031685,085000007433,Andre Brut 750ml,000012815,12,1.0,64.0,64.0,
Blaine,1031579,085000007488,Andre Extra Dry 750ml,000012864,12,1.0,64.0,64.0,
Woodbury,1031737,085000007686,Peter Vella Delicious Red 5L Box,66910,4,1.0,45.0,45.0,
Rosemount,1031671,085000008799,Barefoot Bubbly Brut 250ml,000023006,6,1.0,56.0,56.0,
Osseo,1031647,085000009857,Gallo Merlot 1.5L,000016535,6,1.0,44.0,44.0,
Blaine,1031799,085000011126,E&J Brandy Traveler,000046557,12,1.0,108.0,108.0,
Chanhassen,1031815,085000011126,E&J Brandy Traveler,000046557,12,1.0,108.0,108.0,
Woodbury,1031737,085000011423,Tisdale Cab Sauv 750ml,000041251,12,1.0,44.0,44.0,
Bloomington,1031598,085000012017,Whitehaven Sauv Blanc 750ml,001326981,12,1.0,156.0,156.0,
Chanhassen,1031607,085000012017,Whitehaven Sauv Blanc 750ml,001326981,12,2.0,156.0,312.0,
Blaine,1031799,085000016084,E&J VSOP Brandy Traveler,000013925,12,1.0,126.0,126.0,
Roseville,1031881,085000016084,E&J VSOP Brandy Traveler,000013925,12,1.0,126.0,126.0,
Chanhassen,1031607,085000016602,Starborough Sauvignon Blanc 750ml,14924,12,1.0,96.0,96.0,
Rosemount,1031671,085000016602,Starborough Sauvignon Blanc 750ml,14924,12,1.0,96.0,96.0,
Ramsey,1031664,085000016688,Barefoot Moscato 750ml,000014338,12,1.0,51.85,51.85,
Woodbury,1031737,085000017074,Barefoot Pinot Noir 750ml,000016508,12,1.0,51.85,51.85,
Bloomington,1031598,085000017739,LaMarca Prosecco 750ml,17433,12,2.0,148.0,296.0,
Chanhassen,1031607,085000017739,LaMarca Prosecco 750ml,17433,12,4.0,148.0,592.0,
Roseville,1031685,085000017739,LaMarca Prosecco 750ml,17433,12,2.0,148.0,296.0,
Blaine,1031579,085000017746,Apothic Red 750ml,000017532,12,2.0,80.0,160.0,
Bloomington,1031598,085000017746,Apothic Red 750ml,000017532,12,1.0,80.0,80.0,
Osseo,1031647,085000017746,Apothic Red 750ml,000017532,12,1.0,80.0,80.0,
Rosemount,1031671,085000017746,Apothic Red 750ml,000017532,12,2.0,80.0,160.0,
Roseville,1031685,085000017746,Apothic Red 750ml,000017532,12,1.0,80.0,80.0,
Woodbury,1031737,085000017746,Apothic Red 750ml,000017532,12,3.0,80.0,240.0,
Blaine,1031799,085000019498,New Amsterdam Vodka 750ml,19067,12,1.0,108.0,108.0,
Woodbury,1031923,085000019498,New Amsterdam Vodka 750ml,19067,12,1.0,108.0,108.0,
Blaine,1031579,085000019733,Apothic White 750ml,000019719,12,1.0,80.0,80.0,
Roseville,1031685,085000021545,Apothic Rose 750ml,001452009,12,1.0,80.0,80.0,
Blaine,1031579,085000022955,Barefoot Pinot Grigio 3L Box,000024967,6,1.0,84.0,84.0,
Osseo,1031647,085000022955,Barefoot Pinot Grigio 3L Box,000024967,6,1.0,84.0,84.0,
Blaine,1031579,085000024492,Prophecy Pinot Grigio 750ml,000028072,12,1.0,88.0,88.0,
Roseville,1031685,085000024492,Prophecy Pinot Grigio 750ml,000028072,12,1.0,88.0,88.0,
Blaine,1031579,085000028414,Barefoot Pinot Grigio Tetra 500ml,001121334,12,1.0,36.0,36.0,
Woodbury,1031737,085000029015,Barefoot Strawberry Moscato 750ml,001433753,12,1.0,51.85,51.85,
Blaine,1031799,085000029862,High Noon Variety Pack 12pk 12oz can,001880208,2,1.0,47.5,47.5,
Blaine,1031579,085000030967,Apothic Cabernet Sauv 750ml,001540549,12,1.0,80.0,80.0,
Woodbury,1031737,085000031001,Barefoot Sauvignon Blanc 3L Box,001167388,6,1.0,84.0,84.0,
Blaine,1031799,085000031513,High Noon Variety Pack 8pk 12oz can,001025767,3,5.0,49.5,247.5,
Chanhassen,1031815,085000031513,High Noon Variety Pack 8pk 12oz can,001025767,3,5.0,49.5,247.5,
Rosemount,1031874,085000031513,High Noon Variety Pack 8pk 12oz can,001025767,3,3.0,49.5,148.5,
Roseville,1031881,085000031513,High Noon Variety Pack 8pk 12oz can,001025767,3,2.0,49.5,99.0,
Woodbury,1031923,085000031513,High Noon Variety Pack 8pk 12oz can,001025767,3,3.0,49.5,148.5,
Rosemount,1031671,085000032442,LaMarca Prosecco Rose 750ml,1953934,12,1.0,148.0,148.0,
Roseville,1031881,085000032541,New Amsterdam Pink Whitney 375ml,001035775,24,1.0,112.0,112.0,
Blaine,1031799,085000032558,High Noon Tropical Variety Pack 8pk 12oz can,001469521,3,1.0,49.5,49.5,
Rosemount,1031874,085000032558,High Noon Tropical Variety Pack 8pk 12oz can,001469521,3,1.0,49.5,49.5,
Roseville,1031881,085000032558,High Noon Tropical Variety Pack 8pk 12oz can,001469521,3,2.0,49.5,99.0,
Woodbury,1031923,085000032558,High Noon Tropical Variety Pack 8pk 12oz can,001469521,3,2.0,49.5,99.0,
Blaine,1031579,085000033371,Black Box Buttery Chardonnay 3L Box,1302242,6,2.0,84.0,168.0,
Rosemount,1031671,085000033388,Black Box Buttery Chard 500ml Tetra 500ml,001363416,12,1.0,40.0,40.0,
Osseo,1031850,085000034484,High Noon Pineapple 24oz can,001801799,12,1.0,54.0,54.0,
Ramsey,1031866,085000034484,High Noon Pineapple 24oz can,001801799,12,1.0,54.0,54.0,
Roseville,1031881,085000034484,High Noon Pineapple 24oz can,001801799,12,1.0,54.0,54.0,
Woodbury,1031923,085000034484,High Noon Pineapple 24oz can,001801799,12,1.0,54.0,54.0,
Blaine,1031799,085000034491,High Noon Peach 24oz can,001416567,12,1.0,54.0,54.0,
Rosemount,1031874,085000034491,High Noon Peach 24oz can,001416567,12,1.0,54.0,54.0,
Woodbury,1031923,085000034491,High Noon Peach 24oz can,001416567,12,1.0,54.0,54.0,
Bloomington,1031598,085000034507,Black Box Brilliant Pinot Grigio 3L Box,1475249,6,1.0,84.0,84.0,
Blaine,1031579,085000034514,Black Box Brilliant Cabernet 3L Box,1791123,6,1.0,84.0,84.0,
Chanhassen,1031607,085000034552,Black Box Deep Dark Cabernet 3L Box,001597815,6,1.0,84.0,84.0,
Rosemount,1031671,085000034552,Black Box Deep Dark Cabernet 3L Box,001597815,6,1.0,84.0,84.0,
Woodbury,1031737,085000034569,Black Box Tart Tangy Sauvignon Blanc 3L Box,1105713,6,1.0,84.0,84.0,
Osseo,1031850,085000036099,High Noon Tequila Variety Pack 8pk 12oz can,1077117,3,1.0,54.0,54.0,
Rosemount,1031874,085000036099,High Noon Tequila Variety Pack 8pk 12oz can,1077117,3,1.0,54.0,54.0,
Roseville,1031881,085000036099,High Noon Tequila Variety Pack 8pk 12oz can,1077117,3,2.0,54.0,108.0,
Blaine,1031799,085000037393,High Noon Tequila Fiesta Pack 8pk 12oz can,1874927,3,2.0,54.0,108.0,
Osseo,1031850,085000037393,High Noon Tequila Fiesta Pack 8pk 12oz can,1874927,3,1.0,54.0,54.0,
Ramsey,1031866,085000037393,High Noon Tequila Fiesta Pack 8pk 12oz can,1874927,3,1.0,54.0,54.0,
Rosemount,1031874,085000037393,High Noon Tequila Fiesta Pack 8pk 12oz can,1874927,3,1.0,54.0,54.0,
Woodbury,1031923,085000037393,High Noon Tequila Fiesta Pack 8pk 12oz can,1874927,3,3.0,54.0,162.0,
Roseville,1031685,085000037683,Black Box Deep Dark Cabernet 500ml,1080045,12,1.0,40.0,40.0,
Blaine,1031579,085000037690,Black Box Tart & Tangy Sauvignon Blanc 500ml,1388003,12,1.0,40.0,40.0,
Chanhassen,1031607,085000037690,Black Box Tart & Tangy Sauvignon Blanc 500ml,1388003,12,1.0,40.0,40.0,
Rosemount,1031671,085000037690,Black Box Tart & Tangy Sauvignon Blanc 500ml,1388003,12,1.0,40.0,40.0,
Blaine,1031799,085000038963,High Noon Iced Tea Variety Pack 8pk 12oz can,1546753,3,1.0,49.5,49.5,
Bloomington,1031808,085000038963,High Noon Iced Tea Variety Pack 8pk 12oz can,1546753,3,1.0,49.5,49.5,
Roseville,1031881,085000038963,High Noon Iced Tea Variety Pack 8pk 12oz can,1546753,3,1.0,49.5,49.5,
Blaine,1031799,085000043066,High Noon Pineapple 8pk 12oz can,1529294,3,3.0,49.5,148.5,
Bloomington,1031808,085000043066,High Noon Pineapple 8pk 12oz can,1529294,3,2.0,49.5,99.0,
Roseville,1031881,085000043066,High Noon Pineapple 8pk 12oz can,1529294,3,3.0,49.5,148.5,
Woodbury,1031923,085000043066,High Noon Pineapple 8pk 12oz can,1529294,3,2.0,49.5,99.0,
