Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Minneapolis,1032468,088004029296,Fireball Party Bucket,9295393,6,1.0,71.05,71.05,
Woodbury,1032574,088004029296,Fireball Party Bucket,9295393,6,1.0,71.05,71.05,
Blaine,1032427,088004035761,Goldschlager 50ml,9007996,120,1.0,71.05,71.05,
Blaine,1032427,088004036157,Seagrams VO Canadian 1.75L,9016376,6,1.0,126.5,126.5,
Vadnais Heights,1032564,088004036157,Seagrams VO Canadian 1.75L,9016376,6,1.0,126.5,126.5,
Andover,1032411,088004060060,Traveller Whiskey 750ml,9706276,12,1.0,315.0,315.0,
Cottage Grove,1032456,088004060060,Traveller Whiskey 750ml,9706276,12,1.0,315.0,315.0,
Blaine,1032427,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
Bloomington,1032437,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
Cottage Grove,1032456,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
Minneapolis,1032468,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
Roseville,1032525,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
St. Louis Park,1032543,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
Woodbury,1032574,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
Andover,1032411,088004074562,Fireball Blazin' Apple Liter,9771463,12,1.0,153.0,153.0,
Stillwater,1032555,088004144081,Dr McGillicuddys Mentholmint 50ml,9031417,120,1.0,71.05,0.0,
Woodbury,1032574,088004144081,Dr McGillicuddys Mentholmint 50ml,9031417,120,1.0,71.05,71.05,
Vadnais Heights,1032564,088004144449,Dr McGillicuddys Mentholmint Traveler,9227389,12,1.0,117.0,117.0,
Cottage Grove,1032456,088004144692,Fireball Whisky 750ml,9213627,12,1.0,108.0,108.0,
Minneapolis,1032468,088004144692,Fireball Whisky 750ml,9213627,12,2.0,108.0,216.0,
Osseo,1032482,088004144692,Fireball Whisky 750ml,9213627,12,1.0,108.0,108.0,
Vadnais Heights,1032564,088004144692,Fireball Whisky 750ml,9213627,12,1.0,108.0,108.0,
Woodbury,1032574,088004144692,Fireball Whisky 750ml,9213627,12,1.0,108.0,108.0,
Andover,1032411,088004144708,Fireball Whisky 50ml,9220188,120,3.0,71.05,213.16,
Blaine,1032427,088004144708,Fireball Whisky 50ml,9220188,120,6.0,71.05,426.31,
Cottage Grove,1032456,088004144708,Fireball Whisky 50ml,9220188,120,4.0,71.05,284.21,
Minneapolis,1032468,088004144708,Fireball Whisky 50ml,9220188,120,1.0,71.05,71.05,
Osseo,1032482,088004144708,Fireball Whisky 50ml,9220188,120,3.0,71.05,213.16,
Plymouth,1032489,088004144708,Fireball Whisky 50ml,9220188,120,1.0,71.05,71.05,
Ramsey,1032503,088004144708,Fireball Whisky 50ml,9220188,120,2.0,71.05,142.1,
Rosemount,1032510,088004144708,Fireball Whisky 50ml,9220188,120,1.0,71.05,0.0,
Roseville,1032525,088004144708,Fireball Whisky 50ml,9220188,120,3.0,71.05,213.16,
St. Louis Park,1032543,088004144708,Fireball Whisky 50ml,9220188,120,2.0,71.05,142.1,
Stillwater,1032555,088004144708,Fireball Whisky 50ml,9220188,120,2.0,71.05,0.0,
Vadnais Heights,1032564,088004144708,Fireball Whisky 50ml,9220188,120,1.0,71.05,71.05,
Woodbury,1032574,088004144708,Fireball Whisky 50ml,9220188,120,1.0,71.05,71.05,
Stillwater,1032555,088004148263,Dr McGillicuddys Cherry 50ml,9031403,120,1.0,71.05,0.0,
Andover,1032411,088004700256,Canadian Hunter 1.75L,9031311,6,1.0,76.5,76.5,
Blaine,1032427,088004700256,Canadian Hunter 1.75L,9031311,6,1.0,76.5,76.5,
St. Louis Park,1032543,088004700256,Canadian Hunter 1.75L,9031311,6,0.5,76.5,38.25,
Rosemount,1032519,088544018910,Southern Comfort 1.75L,9007726,6,1.0,90.0,90.0,Store Request
Woodbury,1032574,088544018910,Southern Comfort 1.75L,9007726,6,1.0,90.0,90.0,
Roseville,1032693,089121288122,J Lohr Cabernet Sauvignon 750ml,9791767,12,1.0,160.0,160.0,
Blaine,1032595,089819158027,Matua Valley Sauv Blanc 750ml,9004108,12,1.0,104.0,104.0,
Cottage Grove,1032625,089819158027,Matua Valley Sauv Blanc 750ml,9004108,12,1.0,104.0,104.0,
Osseo,1032653,089819158027,Matua Valley Sauv Blanc 750ml,9004108,12,1.0,104.0,104.0,
Rosemount,1032679,089819158027,Matua Valley Sauv Blanc 750ml,9004108,12,1.0,104.0,104.0,
Stillwater,1032724,089819158027,Matua Valley Sauv Blanc 750ml,9004108,12,1.0,104.0,104.0,
St. Louis Park,1032543,400000011837,Carpano Antica Formula 750ml,9416731,6,0.5,180.0,90.0,
Cottage Grove,1032625,669576019245,Decoy Sonoma Chardonnay 750ml,9745199,12,1.0,144.0,144.0,
St. Louis Park,1032708,669576019245,Decoy Sonoma Chardonnay 750ml,9745199,12,1.0,144.0,144.0,
Andover,1032583,669576019269,Decoy Cabernet Sauvignon 750ml,9755505,12,1.0,168.0,168.0,
Stillwater,1032724,669576019269,Decoy Cabernet Sauvignon 750ml,9755505,12,1.0,168.0,168.0,
Woodbury,1032741,669576019269,Decoy Cabernet Sauvignon 750ml,9755505,12,1.0,168.0,168.0,
Blaine,1032595,669576020548,Duckhorn Napa Valley Chardonnay 750ml,9752076,12,1.0,280.0,280.0,
Stillwater,1032555,720815988347,Seagrams Extra Smooth Vodka 1.75L,9100891,6,1.0,80.96,0.0,
Minneapolis,1032468,766427003443,Twisted Shotz Sex On The Beach 4pk,9151699,18,1.0,70.1,70.1,
Rosemount,1032510,812066021598,Macallan Double Cask 12yr 750ml,9234321,12,0.5,765.0,0.0,
Stillwater,1032724,847159001812,Harken Chardonnay 750ml,9194024,12,1.0,104.0,104.0,
Blaine,1032595,847159002024,Creamery Chardonnay 750ml,9295405,12,2.0,91.0,182.0,
Plymouth,1032661,847159002024,Creamery Chardonnay 750ml,9295405,12,2.0,91.0,182.0,
Rosemount,1032679,847159002024,Creamery Chardonnay 750ml,9295405,12,2.0,91.0,182.0,
Roseville,1032693,847159002024,Creamery Chardonnay 750ml,9295405,12,1.0,91.0,91.0,
St. Louis Park,1032708,847159002024,Creamery Chardonnay 750ml,9295405,12,1.0,91.0,91.0,
Chanhassen,1032614,847159003588,Creamery Cabernet Sauvignon 750ml,9708964,12,1.0,91.0,91.0,
Minnetonka,1032647,847159003588,Creamery Cabernet Sauvignon 750ml,9708964,12,1.0,91.0,91.0,
Plymouth,1032661,847159003588,Creamery Cabernet Sauvignon 750ml,9708964,12,1.0,91.0,91.0,
Rosemount,1032679,853086008008,Fit Vine Cabernet Sauvignon 750ml,9326987,12,1.0,120.0,120.0,
Blaine,1032595,853086008077,Fit Vine Pinot Grigio 750ml,9326988,12,1.0,120.0,120.0,
Woodbury,1032741,853086008077,Fit Vine Pinot Grigio 750ml,9326988,12,1.0,120.0,120.0,
Roseville,1032525,857552008417,Bardstown Bourbon Bonded 750ml,9731842,6,1.0,216.0,216.0,
St. Louis Park,1032543,857552008417,Bardstown Bourbon Bonded 750ml,9731842,6,1.0,216.0,216.0,
Blaine,1032595,890409002398,Daou Cabernet Sauvignon 750ml,9744739,12,1.0,208.0,208.0,
Cottage Grove,1032625,890409002398,Daou Cabernet Sauvignon 750ml,9744739,12,1.0,208.0,208.0,
Rosemount,1032679,890409002398,Daou Cabernet Sauvignon 750ml,9744739,12,1.0,208.0,208.0,
Roseville,1032693,890409002398,Daou Cabernet Sauvignon 750ml,9744739,12,1.0,208.0,208.0,
St. Louis Park,1032708,890409002398,Daou Cabernet Sauvignon 750ml,9744739,12,3.0,208.0,624.0,
Blaine,1032595,898756001040,Line 39 Sauvignon Blanc 750ml,9179020,12,1.0,80.0,80.0,
