Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
St. Louis Park,1030676,080480172022,Cazadores Blanco Tequila 750ml,535798,12,1.0,192.77,192.77,
Blaine,1030557,080480230012,Dewar's White Label Scotch Liter,19307,12,1.0,217.5,217.5,
Rosemount,1030647,080480280000,Grey Goose Vodka 1.75L,79019,6,1.0,215.96,215.96,
Chanhassen,1030577,080480280017,Grey Goose Vodka Liter,17098,6,1.0,125.96,125.96,
Roseville,1030659,080480280017,Grey Goose Vodka Liter,17098,6,1.0,125.96,125.96,
Woodbury,1030704,080480280017,Grey Goose Vodka Liter,17098,6,1.0,125.96,125.96,
Roseville,1030659,080480280024,Grey Goose Vodka 750ml,79026,12,1.0,224.92,224.92,
Minnetonka,1030605,080480280031,Grey Goose Vodka 375ml,38168,12,0.5,138.05,69.03,
Roseville,1030659,080480301002,Bombay Sapphire Gin 1.75L,11290,6,1.0,172.5,172.5,
Blaine,1030557,080480301026,Bombay Sapphire Gin 750ml,11292,12,1.0,211.0,211.0,
Andover,1030544,080480355203,Bacardi Limon Rum 1.75L,28735,6,1.0,102.93,102.93,
Blaine,1030557,080480355203,Bacardi Limon Rum 1.75L,28735,6,3.0,102.93,308.79,
Cottage Grove,1030584,080480355203,Bacardi Limon Rum 1.75L,28735,6,1.0,102.93,102.93,
Minneapolis,1030596,080480355203,Bacardi Limon Rum 1.75L,28735,6,1.0,102.93,102.93,
Osseo,1030613,080480355203,Bacardi Limon Rum 1.75L,28735,6,2.0,102.93,205.86,
Plymouth,1030621,080480355203,Bacardi Limon Rum 1.75L,28735,6,1.0,102.93,102.93,
Rosemount,1030647,080480355203,Bacardi Limon Rum 1.75L,28735,6,3.0,102.93,308.79,
St. Louis Park,1030676,080480355203,Bacardi Limon Rum 1.75L,28735,6,1.0,102.93,102.93,
Andover,1030544,080480356200,Bacardi Limon Rum 50ml,511051,120,1.0,100.19,100.19,
Blaine,1030557,080480356200,Bacardi Limon Rum 50ml,511051,120,1.0,100.19,100.19,
Minneapolis,1030596,080480356200,Bacardi Limon Rum 50ml,511051,120,1.0,100.19,100.19,
Stillwater,1030688,080480356200,Bacardi Limon Rum 50ml,511051,120,1.0,100.19,100.19,
Blaine,1030557,080480400620,Bacardi Coconut Rum Liter,73965,12,1.0,143.37,143.37,
Andover,1030548,080480986285,Bacardi Mojito 4pk 12oz can,984914,6,2.0,48.7,97.4,Store Request
Andover,1030544,080660010113,99 Butterscotch 50ml,381071,120,1.0,72.1,72.1,
Plymouth,1030621,080660010113,99 Butterscotch 50ml,381071,120,1.0,72.1,72.1,
Ramsey,1030630,080660010113,99 Butterscotch 50ml,381071,120,1.0,72.1,72.1,
