Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Notes,Non-Buy Month Invoice,Item Number,Description,Net Case EO,Net Cs EO/Unit,Avg Retail,Avg Club,Avg Sale,Competitor,Neilsen Ranking,Total Wine Price,Cub Price,RP,Multiple Prices,Kosher,item classification,Color,Remove
Ariel Cabernet N/A,089121850022,Wine,750 ml,12,J LOHR WINERY,Breakthru Beverage,,All,8.762500000000001,105.15,104,12.99,12.960000000000006,0.3238811728395064,104, ,104,9014996,case 1,105.15,8.762500000000001,14.990000000000004,12.960000000000006,0,,692,12.99,X,2,,,,,
Ariel Chardonnay N/A,089121830024,Wine,750 ml,12,J LOHR WINERY,Breakthru Beverage,,All,8.762500000000001,105.15,104,12.99,12.960000000000006,0.3238811728395064,104, ,104,9014991,case 1,105.15,8.762500000000001,14.990000000000004,12.960000000000006,0,,,,,1,,,,,
Banfi Centine Toscana,080516048543,Wine,750 ml,12,BANFI VINTNERS,Breakthru Beverage,,ALL,8.762500000000001,105.15,120,14.99,13.960000000000006,0.3723137535816621,104, ,120,1786243,"5cs purchase in a month, mixes with all Banfi brands",105.15,8.762500000000001,15.990000000000004,13.960000000000006,0,,,,,0,,,,,
Banfi Chianti Classico,080516160856,Wine,750 ml,12,BANFI VINTNERS,Breakthru Beverage,,ALL,12.095833333333333,145.15,160,19.99,,0,144, ,160,9736229,"5cs purchase in a month, mixes with all Banfi brands",145.15,12.095833333333333,,,,,,,,,,,,,
Banfi Chianti Classico RSV,080516160849,Wine,750 ml,12,BANFI VINTNERS,Breakthru Beverage,,ALL,15.429166666666667,185.15,200,24.99,,0,184, ,200,9742036,"5cs purchase in a month, mixes with all Banfi brands",185.15,15.429166666666667,,,,,,,,,,,,,
Beringer Brothers BB Cabernet,089819720248,Wine,750 ml,12,TREASURY WINE ESTATES,Breakthru Beverage,,ALL,10.095833333333333,121.15,144,17.99,14.960000000000006,0.35299688057041023,120, ,144,9278719,"5cs purchase in a month, mixes with all Banfi brands",116.15,9.679166666666667,17.490000000000002,14.960000000000006,0,,493,13.99,15.99,0,,,,,
Beringer Private Reserve Chardonnay,089819003358,Wine,750 ml,12,TREASURY WINE ESTATES,Breakthru Beverage,,All,30.09583333333333,361.15,384,47.99,0,0,360,Not Approved,360,9634237,3cs $360 ,361.15,30.09583333333333,47.99,0,0,,,,,0,,,,,
Bezel Cabernet Sauvignon 750ml,084692663750,Wine,750ml,12,KOBRAND CORP,Breakthru Beverage,,ALL,19.429166666666667,233.15,248,30.99,26.959999999999994,0.27933358061325403,232,0,248,9749786,"3cs purchase in a month, mixes with all Kobrand brands",233.15,19.429166666666667,31.990000000000006,26.959999999999994,0,,,,,0,,,,,
Bezel Chardonnay 750ml,084692663712,Wine,750ml,12,KOBRAND CORP,Breakthru Beverage,,ALL,16.095833333333335,193.15,208,25.99,21.959999999999997,0.26703855494839085,192,0,208,9749810,"3cs purchase in a month, mixes with all Kobrand brands",193.15,16.095833333333335,25.990000000000006,21.959999999999997,0,,,,,0,,,,,
Bezel Sauvignon Blanc 750ml,084692665464,Wine,750ml,12,KOBRAND CORP,Breakthru Beverage,,ALL,16.095833333333335,193.15,208,25.99,22.959999999999997,0.2989619628339139,192,0,208,9765074,"3cs purchase in a month, mixes with all Kobrand brands",193.15,16.095833333333335,26.990000000000006,22.959999999999997,0,,,,,0,,,,,
Bisol Jeio Prosecco DOC,720815110632,Wine,750 ml,12,WILSON DANIELS,Breakthru Beverage,,ALL,12.095833333333333,145.15,168,20.99,,0,144, ,168,9244336,"5cs purchase in a month, mixes with all Wilson Daniels brands",145.15,12.095833333333333,,,,,,,,,,,,,
Bolla Chianti,089744766328,Wine,750 ml,12,FREDERICK WILDMAN,Breakthru Beverage,,ALL,8.095833333333333,97.15,112,13.99,,0,96, ,112,1028745,4cs purchase in a month,97.15,8.095833333333333,,,,,,,,,,,,,
Bolla Chianti 1.5L,089744766304,Wine,1.5 L,6,FREDERICK WILDMAN,Breakthru Beverage,,ALL,10.858333333333334,65.15,72,17.99,,0,64, ,72,1028729,4cs purchase in a month,65.15,10.858333333333334,,,,,,,,,,,,,
Apothic Cabernet Sauv,085000030967,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,All,7.425,89.1,112,13.99,10.960000000000004,0.32253649635036524,96,0,96,001540549,2 Free Crush on 22 (mix and match all except Inferno and Red),89.1,7.425,11.990000000000002,10.960000000000004,0,0.029999999999995808,133,8.97,10.99,16,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Cabernet Sauv,085000030967,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,"February, May, August, October, December",6.758333333333333,81.1,112,13.99,10.960000000000004,0.3833637469586378,88,0,88,001540549,2 free Apothic CRUSH on 20cs mix/match except Inferno & Red,81.1,6.758333333333333,11.990000000000002,10.960000000000004,0,0.029999999999995808,133,8.97,10.99,16,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Chardonnay,085000035405,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,"February, May, August, October, December",6.758333333333333,81.1,112,13.99,10.960000000000004,0.3833637469586378,88,0,88,1697176,2 free Apothic CRUSH on 20cs mix/match except Inferno & Red,81.1,6.758333333333333,12.490000000000002,10.960000000000004,0,,688,X,10.99,0,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Chardonnay,085000035405,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,All,7.425,89.1,112,13.99,10.960000000000004,0.32253649635036524,96,0,96,1697176,2 Free Crush on 22 (mix and match all except Inferno and Red),89.1,7.425,12.490000000000002,10.960000000000004,0,,689,X,10.99,0,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Crush,085000023488,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,All,7.425,89.1,112,13.99,10.960000000000004,0.32253649635036524,96,0,96,000025470,2 Free Crush on 22 (mix and match all except Inferno and Red),89.1,7.425,12.990000000000002,10.960000000000004,0,0.029999999999995808,117,8.97,10.99,16,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Crush,085000023488,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,"February, May, August, October, December",6.758333333333333,81.1,112,13.99,10.960000000000004,0.3833637469586378,88,0,88,000025470,2 free Apothic CRUSH on 20cs mix/match except Inferno & Red,81.1,6.758333333333333,12.990000000000002,10.960000000000004,0,0.029999999999995808,117,8.97,10.99,16,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Dark,085000022863,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,All,7.425,89.1,112,13.99,10.022500000000004,0.25916687453230264,96,0,96,000021996,2 Free Crush on 22 (mix and match all except Inferno and Red),89.1,7.425,12.021250000000002,10.022500000000004,0,0.9674999999999958,241,8.97,10.99,1,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Dark,085000022863,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,"February, May, August, October, December",6.758333333333333,81.1,112,13.99,10.022500000000004,0.3256838779412991,88,0,88,000021996,2 free Apothic CRUSH on 20cs mix/match except Inferno & Red,81.1,6.758333333333333,12.021250000000002,10.022500000000004,0,0.9674999999999958,241,8.97,10.99,1,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Inferno,085000024904,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,,All,8.980555555555556,107.76666666666667,120,14.99,12.960000000000006,0.30705589849108395,112,0,112,001310974,1 free Inferno on 20 (Inferno only),107.76666666666667,8.980555555555556,14.990000000000004,12.960000000000006,0,0.02999999999999403,227,11.99,12.99,16,Yes,,Apothic Inferno 750ml,,
Apothic Inferno,085000024904,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,,October|December|February|May|August,8.758333333333333,105.1,120,14.99,12.960000000000006,0.3242026748971197,112,0,112,001310974,1 free Inferno on 13 (Inferno only),105.1,8.758333333333333,14.990000000000004,12.960000000000006,0,0.02999999999999403,227,11.99,12.99,16,Yes,,Apothic Inferno 750ml,,
Apothic Merlot,085000032145,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,All,7.425,89.1,112,13.99,10.960000000000004,0.32253649635036524,96,0,96,001268395,2 Free Crush on 22 (mix and match all except Inferno and Red),89.1,7.425,12.990000000000002,10.960000000000004,0,,409,8.97,10.99,16,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Merlot,085000032145,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,"February, May, August, October, December",6.758333333333333,81.1,112,13.99,10.960000000000004,0.3833637469586378,88,0,88,001268395,2 free Apothic CRUSH on 20cs mix/match except Inferno & Red,81.1,6.758333333333333,12.990000000000002,10.960000000000004,0,,409,8.97,10.99,16,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Pinot Noir,085000032336,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,All,7.425,89.1,112,13.99,10.960000000000004,0.32253649635036524,96,0,96,001833273,2 Free Crush on 22 (mix and match all except Inferno and Red),89.1,7.425,12.990000000000002,10.960000000000004,0,,269,8.97,10.99,16,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Pinot Noir,085000032336,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,"February, May, August, October, December",6.758333333333333,81.1,112,13.99,10.960000000000004,0.3833637469586378,88,0,88,001833273,2 free Apothic CRUSH on 20cs mix/match except Inferno & Red,81.1,6.758333333333333,12.990000000000002,10.960000000000004,0,,269,8.97,10.99,16,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Red,085000017746,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,3 free Apothic Red on 25cs of Solid Red,All,6.758333333333333,81.1,112,13.99,8.960000000000004,0.2457217261904766,96,0,96,000017532,5 free Red on 25 (Solid Red),81.1,6.758333333333333,9.99,8.960000000000004,0,2.029999999999996,11,7.47,10.99,16,Yes,,Apothic Red 750ml,0, 
Apothic Red,085000017746,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,3 free Apothic Red on 25cs of Solid Red,October|December|February|May|August,6.1154761904761905,73.38571428571429,112,13.99,8.960000000000004,0.31746917517006834,88,0,88,000017532,5 free Apothic Red on 23cs of Solid Red,73.38571428571429,6.1154761904761905,9.99,8.960000000000004,0,2.029999999999996,11,7.47,10.99,16,Yes,,Apothic Red 750ml,0, 
Apothic Rose,085000021545,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,All,7.425,89.1,112,13.99,10.960000000000004,0.32253649635036524,96,0,96,001452009,2 Free Crush on 22 (mix and match all except Inferno and Red),89.1,7.425,12.490000000000002,10.960000000000004,0,,643,8.97,10.99,5,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic Rose,085000021545,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,"February, May, August, October, December",6.758333333333333,81.1,112,13.99,10.960000000000004,0.3833637469586378,88,0,88,001452009,2 free Apothic CRUSH on 20cs mix/match except Inferno & Red,81.1,6.758333333333333,12.490000000000002,10.960000000000004,0,,643,8.97,10.99,5,Yes,,Apothic 750ml except Inferno & Red,0, 
Bonterra Cabernet Sauvignon,082896780402,Wine,750 ml,12,VINA CONCHA Y TORO,Breakthru Beverage,,"March, April, July, SOND",8.762500000000001,105.15,128,15.99,12.960000000000006,0.3881815843621402,104,0,128,9733071,10cs purchase in a month,95.15,7.929166666666667,14.990000000000004,12.960000000000006,0,,,,,16,Yes,,Bonterra 750ml,,
Bonterra Cabernet Sauvignon,082896780402,Wine,750 ml,12,VINA CONCHA Y TORO,Breakthru Beverage,,ALL,9.429166666666667,113.15,128,15.99,12.960000000000006,0.33674125514403325,112, ,128,9733071,10cs purchase in a month,103.15,8.595833333333333,14.990000000000004,12.960000000000006,0,1.029999999999994,234,9.99,13.99,16,Yes,,Bonterra 750ml,,
Bonterra Chardonnay,082896780419,Wine,750 ml,12,VINA CONCHA Y TORO,Breakthru Beverage,,"March, April, July, SOND",7.429166666666667,89.15,104,12.99,10.960000000000004,0.3981903892944041,88,0,104,9759487,10cs purchase in a month,79.15,6.595833333333334,12.490000000000002,10.960000000000004,0,,,,,6,Yes,,Bonterra 750ml,,
Bonterra Chardonnay,082896780419,Wine,750 ml,12,VINA CONCHA Y TORO,Breakthru Beverage,,ALL,8.095833333333333,97.15,104,12.99,10.960000000000004,0.33736313868613166,96, ,104,9759487,10cs purchase in a month,87.15,7.2625,12.490000000000002,10.960000000000004,0,,380,9.99,11.99,6,Yes,,Bonterra 750ml,,
Bonterra Equinox Red Blend 750ml,082896003044,Wine,750ml,12,Vina CYT,Breakthru Beverage,,ALL,9.429166666666667,113.15,128,15.99,12.960000000000006,0.33674125514403325,112, ,128,9755617,10cs purchase in a month,103.15,8.595833333333333,14.990000000000004,12.960000000000006,0,,,,,16,Yes,,Bonterra 750ml,,
Bonterra Equinox Red Blend 750ml,082896003044,Wine,750ml,12,Vina CYT,Breakthru Beverage,,"March, April, July, SOND",8.762500000000001,105.15,128,15.99,12.960000000000006,0.3881815843621402,104,0,128,9755617,10cs purchase in a month,95.15,7.929166666666667,14.990000000000004,12.960000000000006,0,,,,,16,Yes,,Bonterra 750ml,,
Bonterra Merlot,082896077793,Wine,750 ml,12,VINA CONCHA Y TORO,Breakthru Beverage,,ALL,9.429166666666667,113.15,128,15.99,12.960000000000006,0.33674125514403325,112, ,128,9708323,10cs purchase in a month,103.15,8.595833333333333,14.990000000000004,12.960000000000006,0,,,,,0,Yes,,Bonterra 750ml,,
Bonterra Merlot,082896077793,Wine,750 ml,12,VINA CONCHA Y TORO,Breakthru Beverage,,"March, April, July, SOND",8.762500000000001,105.15,128,15.99,12.960000000000006,0.3881815843621402,104,0,128,9708323,10cs purchase in a month,95.15,7.929166666666667,14.990000000000004,12.960000000000006,0,,,,,0,Yes,,Bonterra 750ml,,
Bonterra Pinot Gris 750ml,082896004157,Wine,750ml,12,Vina CYT,Breakthru Beverage,,ALL,8.095833333333333,97.15,104,12.99,10.960000000000004,0.33736313868613166,96, ,104,9712245,10cs purchase in a month,87.15,7.2625,12.490000000000002,10.960000000000004,0,,,,,16,Yes,,Bonterra 750ml,,
Bonterra Pinot Gris 750ml,082896004157,Wine,750ml,12,Vina CYT,Breakthru Beverage,,"March, April, July, SOND",7.429166666666667,89.15,104,12.99,10.960000000000004,0.3981903892944041,88,0,104,9712245,10cs purchase in a month,79.15,6.595833333333334,12.490000000000002,10.960000000000004,0,,,,,16,Yes,,Bonterra 750ml,,
Bonterra Pinot Noir,082896000043,Wine,750 ml,12,VINA CONCHA Y TORO,Breakthru Beverage,,ALL,9.429166666666667,113.15,128,15.99,,0,112, ,128,9704178,10cs purchase in a month,103.15,8.595833333333333,,,,,,,,,Yes,,,,
Bonterra Pinot Noir,082896000043,Wine,750 ml,12,VINA CONCHA Y TORO,Breakthru Beverage,,"March, April, July, SOND",8.762500000000001,105.15,128,15.99,,0,104,0,128,9704178,10cs purchase in a month,95.15,7.929166666666667,,,,,,,,,Yes,,,,
Bonterra Rose 750ml,082896060412,Wine,750ml,12,Vina CYT,Breakthru Beverage,,ALL,8.095833333333333,97.15,104,12.99,10.960000000000004,0.33736313868613166,96, ,104,9761398,10cs purchase in a month,87.15,7.2625,12.490000000000002,10.960000000000004,0,,,,,16,Yes,,Bonterra 750ml,,
