upc,Department,Retail,GM %,Deal,Deal Unit Cost,Unit Cost
643459379541,THC,17.99,35,,9.75,9.75
198168350850,THC,15.99,33,,8.67,8.67
643459379831,THC,9.99,37,,5.0,5.0
643459380035,THC,17.99,35,,9.75,9.75
643459379930,THC,15.99,33,,8.67,8.67
643459379954,THC,17.99,35,,9.75,9.75
643459379961,THC,15.99,33,,8.67,8.67
198168016879,THC,17.99,35,,9.75,9.75
643459379558,THC,9.99,37,,5.0,5.0
643459379435,THC,9.99,37,,5.0,5.0
643459379268,THC,9.99,37,,5.0,5.0
643459379718,THC,19.99,37,,10.67,10.67
643459379909,THC,15.99,33,,8.67,8.67
643459379442,THC,9.99,37,,5.0,5.0
850055931084,THC,10.99,36,,5.7,5.7
850055931183,THC,18.99,37,,10.0,10.0
850055931138,THC,19.99,35,,11.0,11.0
850055931190,THC,19.99,35,,11.0,11.0
850055931008,THC,18.99,37,,10.0,10.0
850055931152,THC,10.99,36,,5.7,5.7
850055931176,THC,18.99,37,,10.0,10.0
850055931251,THC,57.99,35,,31.0,31.0
850055931268,THC,57.99,35,,31.0,31.0
850055931077,THC,10.99,36,,5.7,5.7
850055931220,THC,19.99,35,,11.0,11.0
850055931169,THC,15.99,23,,10.0,10.0
850055931114,THC,19.99,35,,11.0,11.0
850055931060,THC,10.99,36,,5.7,5.7
850055931039,THC,18.99,37,,10.0,10.0
850055931145,THC,10.99,36,,5.7,5.7
850055931213,THC,19.99,35,,11.0,11.0
850055931121,THC,19.99,35,,11.0,11.0
850055931053,THC,10.99,36,,5.7,5.7
850055931046,THC,18.99,37,,10.0,10.0
850055931107,THC,19.99,35,,11.0,11.0
850055931206,THC,19.99,35,,11.0,11.0
628425180024,THC,15.99,34,12.91 rebate per case,8.61,10.76
628425180017,THC,15.99,34,12.91 rebate per case,8.61,10.76
850056651097,THC,13.99,51,15c,5.83,5.83
850056651165,THC,7.99,35,15c,4.5,4.5
850056651073,THC,13.99,51,15c,5.83,5.83
850056651172,THC,7.99,35,15c,4.5,4.5
850009065810,THC,21.99,35,3cs Min Buy,11.73,11.73
850009065827,THC,21.99,35,3cs Min Buy,11.73,11.73
850009065841,THC,21.99,35,3cs Min Buy,11.73,11.73
198168093184,THC,18.99,37,Pallet Buy 104 Case,10.01,10.01
198168101940,THC,18.99,37,Pallet Buy 104 Case,10.01,10.01
198168474037,THC,18.99,37,Pallet Buy 104 Case,10.01,10.01
854249004110,THC,15.99,33,$10 off of each case,8.67,8.67
854249004165,THC,15.99,33,$10 off of each case,8.67,8.67
854249004059,THC,11.99,36,$10 off of each case,6.33,6.33
850033550757,THC,23.99,36,Quarterly buy,12.72,12.72
850033550306,THC,31.99,35,Quarterly buy,17.41,17.41
850077712050,THC,42.99,31,Quarterly buy,24.78,24.78
850033550641,THC,45.99,35,Quarterly buy,24.78,24.78
850033550375,THC,45.99,35,Quarterly buy,24.78,24.78
850033550528,THC,46.99,35,Quarterly buy,25.45,25.45
850033550443,THC,46.99,35,Quarterly buy,25.45,25.45
850077712074,THC,46.99,35,Quarterly buy,25.45,25.45
850077712005,THC,46.99,35,Quarterly buy,25.45,25.45
850033550719,THC,23.99,36,Quarterly buy,12.72,12.72
850033550733,THC,23.99,36,Quarterly buy,12.72,12.72
850033550726,THC,23.99,36,Quarterly buy,12.72,12.72
850033550740,THC,23.99,36,Quarterly buy,12.72,12.72
850071300338,THC,16.99,36,Pallet Buy,9.0,9.0
850071300345,THC,16.99,36,Pallet Buy,9.0,9.0
850071300352,THC,33.99,36,Pallet Buy,18.0,18.0
850071300123,THC,24.99,35,Pallet Buy,13.67,13.67
