upc,Department,Retail,GM %,Deal,Deal Unit Cost,Unit Cost
851484003076,Spirits,12.26,1226,146.09,,0.01
851484003694,Spirits,42.93,4293,256.55,,0.0
851484003243,Spirits,29.93,2993,178.55,,0.01
851484003670,Spirits,12.26,1226,146.09,,0.01
851484003007,Spirits,20.01,2001,119.03,,0.01
851484003021,Spirits,12.26,1226,146.09,,0.01
80480987954,Spirits,15.19,1519,59.95,,
80480987589,Spirits,13.97,1397,83.03,,
80480987596,Spirits,13.97,1397,83.03,,
80480987046,Spirits,9.77,977,57.82000000000001,,
80480170011,Spirits,27.1,2710,324,,
80480172527,Spirits,24.14,2247,144.02,,
80480984243,Spirits,31.96,3196,190.98,,
80480172008,Spirits,29.27,2760,174.82,,
80480172022,Spirits,16.13,1530,192.77,,
80480983512,Spirits,1.33,133,159.2,,
80480001254,Spirits,40.47,4047,242.02,,
80480170035,Spirits,7.94,794,189.69,,
80480170004,Spirits,29.27,2760,174.82,,
80480170028,Spirits,16.13,1530,192.77,,
80480170103,Spirits,19.88,1988,237.76999999999998,,
7500925000005,Spirits,63.75,6042,382.5,,
7500462805432,Spirits,98.0,9467,588,,
7500462805401,Spirits,48.67,4533,292,,
7500462805449,Spirits,146.0,14267,876,,
7500462805418,Spirits,67.5,6417,405,,
7500426805425,Spirits,56.25,5292,337.5,,
736040000402,Spirits,8.42,842,100,,
811751022032,Spirits,41.17,4117,275.96,,0.02
811751021974,Spirits,25.21,2521,180.18,,0.03
811751022001,Spirits,32.67,3267,224.96,,0.02
695521102014,Spirits,38.17,3817,228,,
786992210121,Spirits,35.58,3558,223.98,,0.02
786992224975,Spirits,20.25,2025,132,,0.03
786992000609,Spirits,20.25,2025,132,,0.03
83300001403,Spirits,22.88,2288,273.5,,
83300034524,Spirits,14.64,1464,174.6,,
83300034517,Spirits,0.05,5,,,
83300034739,Spirits,0.02,2,,,
859524004960,Spirits,16.0,1600,94.5,,
89744329615,Spirits,40.92,4092,490,,
89744329561,Spirits,40.92,4092,490,,
8066000408,Spirits,9.13,913,54,,
89000546916,Spirits,9.13,913,54,,
80660018836,Spirits,3.82,382,45,,
89000548811,Spirits,9.13,913,54,,
80660011370,Spirits,0.95,95,22,,
89000500116,Spirits,9.13,913,54,,
89000018758,Spirits,9.13,913,54,,
80660018812,Spirits,3.82,382,45,,
80660018843,Spirits,3.82,382,45,,
88004027391,Spirits,0.95,95,22,,
89000547814,Spirits,9.13,913,54,,
89000547210,Spirits,9.13,913,54,,
80660018850,Spirits,9.13,913,54,,
88004024291,Spirits,9.13,913,54,,
88004031541,Spirits,0.95,95,22,,
89000500307,Spirits,9.13,913,54,,
80660000428,Spirits,3.82,382,45,,
89000547227,Spirits,9.13,913,54,,
80660010229,Spirits,9.13,913,54,,
80660011516,Spirits,0.95,95,22,,
89000016013,Spirits,9.13,913,54,,
80660011424,Spirits,0.95,95,22,,
89000015559,Spirits,9.13,913,54,,
80660018829,Spirits,3.82,382,45,,
80660141879,Spirits,9.13,913,54,,
89000019182,Spirits,9.13,913,54,,
89000549818,Spirits,9.13,913,54,,
791126147327,Spirits,1.0,100,119.2,,
791126147266,Spirits,17.38,1738,103.5,,
810020890020,Spirits,38.52,3852,230,,
810020890037,Spirits,38.52,3852,230,,
88004016388,Spirits,14.1,1410,168,,
88004016395,Spirits,11.38,1138,135.39,,
12484523036,Spirits,36.83,3683,220,,
80432400395,Spirits,26.83,2683,321,,
80432115343,Spirits,30.47,3047,182.04,,
80432116609,Spirits,30.47,3047,182.04,,
80432400487,Spirits,64.63,6463,387,,
80432104040,Spirits,262.77,26277,787.5,,
89552000522,Spirits,12.75,1275,152,,
852935001153,Spirits,19.62,1962,116.95,,
852935001085,Spirits,19.62,1962,116.95,,
852935001221,Spirits,19.62,1962,116.95,,
852935001245,Spirits,32.38,3238,193.45,,
86036100198,Spirits,0.95,94,113.4,,
86036815702,Spirits,3.53,353,168.84,,
86036815474,Spirits,14.91,1431,88.68,,
86036815559,Spirits,8.87,857,105.6,,
86036815597,Spirits,7.52,722,89.5,,
86036815672,Spirits,4.9,475,116.82,,
86036707045,Spirits,7.52,722,89.5,,
96749000692,Spirits,7.57,723,90,,
96749000678,Spirits,0.67,64,80,,
96749001194,Spirits,18.06,1773,215.9,,
86036862775,Spirits,7.57,723,90,,
87229010072,Spirits,31.69,3169,378.75,,
51497298371,Spirits,13.5,1350,80,,
51497308322,Spirits,0.68,68,39.5,,
51497439675,Spirits,6.75,675,80,,
816529020067,Spirits,27.92,2792,165,,
816529020173,Spirits,19.21,1921,228,,
816529020142,Spirits,15.42,1542,90,,
850008649059,Spirits,97.63,9763,585,,
850008649011,Spirits,45.13,4513,270,,
850008649035,Spirits,63.88,6388,382.5,,
96749000210,Spirits,11.31,1131,134.91,,
86785900025,Spirits,9.06,906,107.91,,
721059107501,Spirits,9.06,906,107.91,,
88076180444,Spirits,14.38,1438,171.5,,
88076180451,Spirits,20.83,2083,248.95,,0.01
88076174948,Spirits,14.38,1438,171.5,,
88076174955,Spirits,20.93,2092,250,,
88076188198,Spirits,20.93,2092,250,,
88076180697,Spirits,20.93,2092,250,,
88076177420,Spirits,45.0,4500,269,,
88076177390,Spirits,14.38,1438,171.5,,
88076177406,Spirits,20.93,2092,250,,
88076179073,Spirits,13.0,1300,155,,
88076179103,Spirits,45.0,4500,269,,
88076179080,Spirits,20.83,2083,248.95,,0.01
88076186040,Spirits,20.93,2092,250,,
88076175044,Spirits,13.0,1300,155,,
88076175075,Spirits,45.0,4500,269,,
88076175051,Spirits,20.93,2092,250,,
88076185395,Spirits,20.93,2092,250,,
88076183728,Spirits,20.93,2092,250,,
88076162648,Spirits,45.0,4500,269,,
88076162655,Spirits,13.0,1300,155,,
8215309,Spirits,3.1,310,184.75,,
88076161870,Spirits,32.34,3234,387,,
88076161863,Spirits,20.83,2083,248.95,,0.01
8257402,Spirits,12.84,1284,153,,
8257606,Spirits,32.34,3234,387,,
695521103011,Spirits,17.88,1788,124,,0.05
695521103028,Spirits,24.5,2450,146,,
695521154273,Spirits,19.22,1922,135,,0.04
695521152989,Spirits,17.88,1788,124,,0.05
14800512755,Spirits,4.44,444,52.18000000000001,,
14800103274,Spirits,4.53,453,26.05,,
14800513240,Spirits,4.44,444,52.15,,
14800516470,Spirits,6.17,617,48.18,,
14800511345,Spirits,4.52,452,26.1,,
14800003819,Spirits,6.17,617,48.18,,
83664120260,Spirits,16.69,1669,99,,
83664120420,Spirits,10.6,1060,126,,
81240120758,Spirits,400.37,40037,1200,,
81240049547,Spirits,113.52,11352,680,,
81240049516,Spirits,126.83,12683,760,,
850014275105,Spirits,113.13,11313,678,,
5060769130276,Spirits,18.7,1870,111.42,,
5060769130542,Spirits,18.7,1870,111.42,,
5060769130115,Spirits,18.7,1870,111.42,,
5060769130597,Spirits,18.7,1870,111.42,,
5060769130122,Spirits,18.7,1870,111.42,,
182972000025,Spirits,22.67,2267,135,,
128972000474,Spirits,23.58,2358,139.98,,
182972001206,Spirits,26.49,2649,173.16,,0.03
182972000513,Spirits,29.3,2930,190.02,,0.02
80686026013,Spirits,38.7,3870,231.39,,
96749766109,Spirits,16.83,1683,100,,
89016016632,Spirits,42.19,4219,252,,
89016016915,Spirits,30.03,3002,179,,0.03
56160000015,Spirits,26.36,2636,157,,0.03
88076163485,Spirits,53.35,5335,319,,
8007117010061,Spirits,17.75,1775,210,,
8007117010221,Spirits,12.08,1208,142,,
8007117010108,Spirits,17.75,1775,210,,
8007117011327,Spirits,12.25,1225,144,,
72924892047,Spirits,4.35,435,25,,
72924912134,Spirits,4.35,435,25,,
72924012131,Spirits,4.35,435,25,,
72924041209,Spirits,4.35,435,25,,
72924112046,Spirits,4.35,435,25,,
71845098309,Spirits,5.08,508,60,,
859061006021,Spirits,93.11,9311,594,,0.01
859061006007,Spirits,30.94,3094,221,,0.02
859061006045,Spirits,213.72,21372,676.5,,0.01
859061006014,Spirits,45.61,4561,309,,0.02
859061006113,Spirits,41.44,4144,284,,0.02
859061006632,Spirits,5.65,565,67,,
87236565107,Spirits,27.83,2783,332.88,,
87236565008,Spirits,32.17,3217,192,,
87236565206,Spirits,18.46,1846,442,,
736040511366,Spirits,27.12,2712,324,,
736040520283,Spirits,33.92,3392,202,,
736040525851,Spirits,14.79,1479,176,,
860004438656,Spirits,30.18,3018,180,,
860004438618,Spirits,30.18,3018,180,,
80686187134,Spirits,37.63,3763,225,,
86024000608,Spirits,33.18,3318,252,,0.01
96749003471,Spirits,18.17,1817,108,,
96749003204,Spirits,9.06,906,107.95,,
810204640687,Spirits,43.17,4317,258,,
810204640694,Spirits,46.5,4650,278,,
810879022818,Spirits,34.67,3467,207,,
810879026557,Spirits,45.33,4533,271,,
810879026632,Spirits,39.17,3917,234,,
810879022825,Spirits,37.17,3717,222,,
810879027080,Spirits,44.0,4400,263,,
810879027097,Spirits,35.83,3583,214,,
810879028889,Spirits,43.17,4317,258,,
810879027240,Spirits,34.83,3483,208,,
810879027431,Spirits,53.17,5317,318,,
810879027615,Spirits,53.17,5317,318,,
810879028049,Spirits,35.83,3583,214,,
810879028056,Spirits,38.17,3817,228,,
810879024485,Spirits,31.67,3167,189,,
648676508415,Spirits,13.5,1350,80,,
88076181434,Spirits,18.93,1893,112.5,,
865072000347,Spirits,15.5,1550,92,,
3559621710333,Spirits,22.0,2200,132,,
3559631710319,Spirits,33.0,3300,198,,
83089004046,Spirits,26.44,2644,157.5,,
83089003971,Spirits,18.94,1894,112.5,,
83089004015,Spirits,22.69,2269,135,,
867931000420,Spirits,40.5,4050,242,,
96749354504,Spirits,15.91,1591,94.65,,
720815930339,Spirits,28.69,2868,170.96,,
720815930636,Spirits,21.18,2118,125.96,,
720815930131,Spirits,21.94,2194,130.46,,
720815930513,Spirits,41.44,4144,247.46,,
80686961031,Spirits,28.56,2856,341.91,,
80686961024,Spirits,52.62,5262,314.91,,
80686961086,Spirits,10.11,1011,120.52,,
80686961048,Spirits,22.56,2256,269.91,,
80686961109,Spirits,5.39,539,128.48,,
80686962045,Spirits,27.81,2781,332.91,,
80686962083,Spirits,17.31,1731,206.91,,
88110090050,Spirits,66.09,6609,792,,
80480005382,Spirits,47.38,4738,283.5,,
612484750014,Spirits,18.5,1850,221,,
612484750045,Spirits,18.5,1850,221,,
612484750083,Spirits,22.17,2217,132,,
612484750021,Spirits,18.5,1850,221,,
860000790970,Spirits,70.25,7025,420,,
860000790901,Spirits,115.25,11525,690,,
860000790963,Spirits,60.25,6025,360,,
646437211697,Spirits,22.43,2243,133.5,,
712038686131,Spirits,37.43,3743,223.5,,
892060006012,Spirits,35.18,3518,210,,
711841589165,Spirits,48.68,4868,291,,
712038686148,Spirits,27.68,2768,165,,
711841589257,Spirits,41.43,4143,247.5,,
712038686117,Spirits,18.93,1893,112.5,,
82000750437,Spirits,24.18,2418,289.05,,
82000750420,Spirits,12.71,1271,304,,
82000750444,Spirits,32.34,3234,387,,
82000750451,Spirits,46.68,4668,279,,
82000807964,Spirits,9.09,909,107.95,,
82000807971,Spirits,17.4,1740,207.69,,
82000789550,Spirits,23.01,2301,275,,
87000007604,Spirits,12.37,1237,295.95,,
8719902,Spirits,1.27,127,75,,
8772707,Spirits,5.87,587,257,,
87000007253,Spirits,19.75,1975,236,,0.04
87000007246,Spirits,26.75,2675,320,,0.01
87000700604,Spirits,37.17,3717,222,,0.02
82000811053,Spirits,16.09,1609,192,,
82000796794,Spirits,105.18,10518,630,,
82000773061,Spirits,41.34,4134,495,,
82000809616,Spirits,30.09,3009,360,,
82000776376,Spirits,60.18,6018,360,,
82000795377,Spirits,26.59,2659,318,,
82000795391,Spirits,11.94,1194,285.5,,
82000807322,Spirits,1.27,127,75,,
82000782919,Spirits,19.75,1975,236,,0.04
82000795360,Spirits,37.18,3718,222,,
82000771555,Spirits,12.37,1237,295.95,,
82000771548,Spirits,5.87,587,257,,
8245805,Spirits,1.27,127,75,,
82000771562,Spirits,19.75,1975,236,,0.04
82000771586,Spirits,26.75,2675,320,,0.01
82000771593,Spirits,37.17,3717,222,,0.02
82000809791,Spirits,35.34,3534,423,,
82000773375,Spirits,22.62,2262,270.5,,
82000783978,Spirits,22.58,2258,269.95,,
82000007036,Spirits,41.34,4134,495,,
87000202436,Spirits,71.3,7130,426.71,,
8252300,Spirits,1.27,127,75,,
82000776598,Spirits,19.75,1975,236,,0.04
82000776611,Spirits,37.18,3718,222,,
82000796220,Spirits,2.46,246,57.86,,
82000796237,Spirits,9.83,983,57.86,,
82000796244,Spirits,14.74,1474,57.86,,
82000796251,Spirits,9.83,983,57.86,,
82000805564,Spirits,15.37,1537,45,,
82000003823,Spirits,26.58,2658,318,,
82000734338,Spirits,85.17,8517,510,,
80686970835,Spirits,7.91,791,94.12,,
80686982043,Spirits,12.56,1256,74.58,,
80686967668,Spirits,7.91,791,94.12,,
80686967675,Spirits,12.56,1256,74.58,,
80686970095,Spirits,7.91,791,94.12,,
80686970637,Spirits,7.91,791,94.12,,
80686967453,Spirits,7.91,791,94.12,,
80686970156,Spirits,7.91,791,94.12,,
80686973935,Spirits,7.91,791,94.12,,
80686970200,Spirits,7.91,791,94.12,,
80686970262,Spirits,7.91,791,94.12,,
80686970316,Spirits,7.91,791,94.12,,
80686967026,Spirits,22.63,2263,135,,
80686973089,Spirits,7.91,791,94.12,,
714439500276,Spirits,4.5,450,51,,
818844028650,Spirits,3.36,336,39.22,,
810178380039,Spirits,3.36,336,39.22,,
811538010924,Spirits,4.21,421,200.96,,
811538010931,Spirits,4.21,421,200.96,,
810178380046,Spirits,6.93,693,40.45,,
810178380107,Spirits,6.93,693,40.45,,
810178380084,Spirits,6.93,693,40.45,,
810178380060,Spirits,6.93,693,40.45,,
810178380121,Spirits,13.85,1385,40.45,,
811538011365,Spirits,9.88,988,117.5,,
721059057509,Spirits,14.34,1434,170.9,,
812066020812,Spirits,17.92,1792,214,,
812066020799,Spirits,19.69,1969,117,,0.02
721059002134,Spirits,29.17,2917,174,,
887341000018,Spirits,20.17,2017,241,,
80480002923,Spirits,47.52,4752,284,,
80480983192,Spirits,11.01,1101,263.36,,
80480002930,Spirits,17.46,1696,208.67,,
80480002947,Spirits,114.14,11414,684.02,,
74806000472,Spirits,4.77,477,56.15,,
74806000502,Spirits,4.48,448,25.75,,
74806111314,Spirits,6.76,676,59.75,,
74806002124,Spirits,4.77,477,56.15,,
74806000564,Spirits,5.98,598,52.75,,
74806000441,Spirits,6.76,676,59.75,,
74806001059,Spirits,6.76,676,59.75,,
74806001066,Spirits,4.77,477,56.15,,
74806000519,Spirits,4.77,477,56.15,,
74806000526,Spirits,6.76,676,59.75,,
74806000595,Spirits,4.77,477,56.15,,
88110100056,Spirits,57.17,5717,685,,
81932049534,Spirits,18.67,1867,223,,
852064007088,Spirits,23.29,2329,278,,
852064007101,Spirits,29.12,2912,348,,
852064007170,Spirits,28.92,2892,172,,
852064007071,Spirits,34.25,3425,204,,
852064007026,Spirits,21.46,2146,256,,
852064007019,Spirits,26.25,2625,156,,
852064007323,Spirits,13.79,1379,164,,
852064007132,Spirits,26.62,2662,318,,
852064007262,Spirits,25.12,2512,300,,
852064007125,Spirits,28.62,2862,342,,
852064007248,Spirits,44.25,4425,264,,
852064007224,Spirits,28.92,2892,172,,
852064007002,Spirits,20.79,2079,248,,
87236330002,Spirits,20.69,2069,123,,
695521106012,Spirits,29.0,2900,173,,
753677291461,Spirits,9.83,983,56,,
753677291508,Spirits,9.83,983,56,,
753677291485,Spirits,9.83,983,56,,
753677291317,Spirits,9.83,983,56,,
39517842667,Spirits,9.83,983,56,,
753677291454,Spirits,9.83,983,56,,
753677291607,Spirits,9.83,983,56,,
753677291478,Spirits,9.83,983,56,,
43499929940,Spirits,3.56,356,84,,
43499929803,Spirits,3.56,356,84,,
753677291447,Spirits,9.83,983,56,,
753677291423,Spirits,9.83,983,56,,
753677291621,Spirits,9.83,983,56,,
753677291416,Spirits,9.83,983,56,,
753677291430,Spirits,9.83,983,56,,
753677291522,Spirits,9.83,983,56,,
43499929858,Spirits,19.75,1975,117,,
43499929865,Spirits,3.56,356,84,,
43499929926,Spirits,3.56,356,84,,
753677291782,Spirits,9.83,983,56,,
753677291645,Spirits,9.83,983,56,,
43499929797,Spirits,3.56,356,84,,
753677291584,Spirits,9.83,983,56,,
43499929827,Spirits,19.75,1975,117,,
43499929841,Spirits,3.56,356,84,,
753677291386,Spirits,9.83,983,56,,
753677291492,Spirits,9.83,983,56,,
753677291560,Spirits,9.83,983,56,,
753677291515,Spirits,9.83,983,56,,
39517842650,Spirits,9.83,983,56,,
43499929896,Spirits,19.75,1975,117,,
43499929902,Spirits,3.56,356,84,,
88352113920,Spirits,26.5,2650,156,,
88352131177,Spirits,32.5,3250,192,,
850042868959,Spirits,16.32,1432,64.5,,
850034209289,Spirits,10.88,955,64.5,,
850042868935,Spirits,10.88,955,64.5,,
850042868843,Spirits,10.88,955,64.5,,
850042868652,Spirits,10.88,955,64.5,,
758371130719,Spirits,58.8,5880,352,,
856065002257,Spirits,20.18,2018,120.25,,
856065002172,Spirits,14.52,1419,173.49,,
856065002424,Spirits,14.52,1419,173.49,,
856065002431,Spirits,17.81,1714,106.04,,
856065002264,Spirits,14.52,1419,173.49,,
856065002301,Spirits,0.98,98,116.22,,
856065002806,Spirits,14.52,1419,173.49,,
856065002592,Spirits,14.52,1419,173.49,,
856065002097,Spirits,14.52,1419,173.49,,
856065002103,Spirits,17.81,1714,106.04,,
856065002110,Spirits,0.98,98,116.22,,
856065002011,Spirits,14.52,1419,173.49,,
856065002066,Spirits,0.98,98,116.22,,
856065002042,Spirits,14.52,1419,173.49,,
856065002059,Spirits,17.81,1714,106.04,,
80686310013,Spirits,8.23,823,98,,
80686310037,Spirits,7.11,711,84.5,,
80686315018,Spirits,7.31,731,86.95,,
80686315056,Spirits,8.15,815,97,,
80686316015,Spirits,8.46,846,100.75,,
80686317203,Spirits,6.73,673,80,,
80686319900,Spirits,0.67,67,79.2,,
80686319207,Spirits,6.73,673,80,,
80686319436,Spirits,6.73,672,79.9,,
80686319122,Spirits,11.14,1114,66.05,,
80686319603,Spirits,4.35,435,103.7,,
80686322207,Spirits,6.73,673,80,,
80686332015,Spirits,8.46,846,100.75,,
80686333029,Spirits,0.07,7,,,
80686335016,Spirits,8.46,846,100.75,,
80686335023,Spirits,0.07,7,,,
80686320036,Spirits,8.15,815,97,,
80686321019,Spirits,8.46,846,100.75,,
80686339205,Spirits,8.46,846,100.75,,
80686339403,Spirits,8.15,815,97,,
80686368205,Spirits,8.46,846,100.75,,
80686368403,Spirits,8.15,815,97,,
80686316022,Spirits,8.46,846,100.75,,
80686393405,Spirits,6.73,673,80,,
80686374404,Spirits,10.78,1078,128.5,,
80686373209,Spirits,6.73,673,80,,
80686345206,Spirits,6.73,673,80,,
80686405023,Spirits,13.55,1355,161.75,,
80686405016,Spirits,16.54,1654,197.7,,
80686348405,Spirits,8.15,815,97,,
80686365204,Spirits,6.73,673,80,,
80686365402,Spirits,6.73,672,79.9,,
80686365600,Spirits,4.35,435,103.7,,
80686365433,Spirits,6.73,672,79.9,,
80686353201,Spirits,6.73,673,80,,
80686353430,Spirits,6.73,672,79.9,,
80686353607,Spirits,4.35,435,103.7,,
80686394204,Spirits,6.73,673,80,,
80686394402,Spirits,6.73,672,79.9,,
80686310082,Spirits,6.73,673,80,,
80686340201,Spirits,6.73,673,80,,
80686398202,Spirits,6.73,673,80,,
80686395607,Spirits,4.35,435,103.7,,
80686395201,Spirits,6.73,673,80,,
80686396208,Spirits,6.73,673,80,,
80686356202,Spirits,6.73,673,80,,
80686347019,Spirits,6.73,673,80,,
80686360018,Spirits,7.63,763,90.75,,
80686395430,Spirits,6.73,672,79.9,,
80686381129,Spirits,11.38,1138,67.45,,
8068636408,Spirits,5.68,568,67.42,,
80686310143,Spirits,5.55,555,65.75,,
80686363620,Spirits,3.4,340,80.8,,
80686396437,Spirits,6.73,672,79.9,,
618397020015,Spirits,30.84,3017,184.21,,
618397960014,Spirits,57.13,5647,342,,
618397201902,Spirits,57.13,5647,342,,
618397950015,Spirits,79.62,7896,476.95,,
618397200929,Spirits,30.13,2947,180,,
82000791966,Spirits,37.59,3759,450,,
82000791973,Spirits,30.05,3005,359.5,,
82000791980,Spirits,33.84,3384,405,,
898498001049,Spirits,28.04,2804,166.75,,
708747152845,Spirits,30.18,3018,180,,
503018755004,Spirits,45.18,4518,270,,
708747152838,Spirits,37.68,3768,225,,
80480230005,Spirits,24.99,2499,148.95,,
80480230012,Spirits,21.0,2100,251,,
80480230074,Spirits,0.68,68,80,,
80480231026,Spirits,23.49,2299,281.08,,
80480231019,Spirits,22.8,2238,136,,
80480984519,Spirits,21.61,2161,128.84,,
80480987183,Spirits,21.61,2161,128.84,,
80480986063,Spirits,21.61,2161,128.84,,
80480230029,Spirits,16.15,1594,192.95,,
80480230036,Spirits,8.85,885,211.64,,
82928399824,Spirits,9.23,923,110,,
82928012778,Spirits,12.07,1207,144.05,,
82928400155,Spirits,10.99,1099,131.05,,
82928278051,Spirits,9.23,923,110,,
8811549,Spirits,23.08,2308,276,,
87229206086,Spirits,30.13,3013,180,,
5099873027219,Spirits,21.18,2118,126,,
850008153365,Spirits,17.34,1734,207,,
850008153389,Spirits,1.05,105,125,,
860007263392,Spirits,7.63,763,45,,
860006744656,Spirits,7.63,763,45,,
860010710500,Spirits,9.13,913,54,,
50037014235,Spirits,29.44,2944,175.5,,0.02
50037016420,Spirits,46.68,4668,278.95,,
50037014501,Spirits,21.1,2110,252,,
50037014518,Spirits,15.84,1584,188.92000000000002,,
50037397079,Spirits,15.84,1584,188.92,,
50037597752,Spirits,21.84,2184,260.9,,0.01
38900008086,Spirits,4.45,445,52.43,,
38900009472,Spirits,6.0,600,47.03,,
3274510003821,Spirits,12.92,1292,152,,
3274510003791,Spirits,12.92,1292,152,,
3274510003807,Spirits,9.58,958,112,,
3274510003616,Spirits,25.75,2575,306,,
3274510003814,Spirits,12.92,1292,152,,
3274510003906,Spirits,9.58,958,112,,
80480545406,Spirits,25.75,2575,308.16,,
80480545604,Spirits,13.57,1357,162,,
80480555405,Spirits,24.36,2436,291.35,,
793573762764,Spirits,16.11,1611,95.89,,
793573762733,Spirits,32.19,3219,192,,
829782100865,Spirits,63.0,6300,372,,
829782100872,Spirits,108.5,10850,645,,
829782100001,Spirits,107.67,10767,640,,
7416388330586,Spirits,68.02,6802,407,,
7416388130506,Spirits,41.35,4135,247,,
7416388130674,Spirits,49.18,4918,294,,
7416388337516,Spirits,166.02,16602,995,,
7416388230596,Spirits,49.02,4902,293,,
88076189355,Spirits,63.09,6309,756,,
8273109,Spirits,7.35,735,440,,
674545001084,Spirits,260.25,26025,1040,,
674545000322,Spirits,123.83,12383,742,,0.0
674545000827,Spirits,51.61,5161,308.57,,
82000006978,Spirits,75.18,7518,450,,
674545000605,Spirits,22.59,2259,270,,
674545000612,Spirits,23.75,2375,284,,
674545000643,Spirits,289.1,28910,288,,
674545000063,Spirits,36.0,3600,215,,0.01
674545000629,Spirits,49.67,4967,185,,0.02
674545000599,Spirits,33.5,3350,200,,
674545001005,Spirits,2.43,243,145,,
674545000025,Spirits,1.24,124,148.25,,
674545000001,Spirits,26.18,2618,156,,
88076185500,Spirits,60.6,6060,362.5,,
674545000636,Spirits,70.2,7020,262,,0.02
674545000421,Spirits,2.35,235,140,,
674545000414,Spirits,29.77,2977,177.5,,
82301100900,Spirits,10.54,1054,146.3,,0.04
82301175908,Spirits,17.63,1763,115.15,,0.08
82301100023,Spirits,10.54,1054,146.3,,0.04
82301175021,Spirits,17.63,1763,115.15,,0.08
82301100016,Spirits,10.54,1054,146.3,,0.04
82301175014,Spirits,17.63,1763,115.15,,0.08
82301755636,Spirits,34.52,3452,206,,
82301100566,Spirits,10.54,1054,146.3,,0.04
82301175564,Spirits,17.63,1763,115.15,,0.08
82301100603,Spirits,10.54,1054,146.3,,0.04
82301100702,Spirits,10.54,1054,146.3,,0.04
8230175577,Spirits,14.59,1459,174,,
8230175578,Spirits,29.38,2938,175.16,,
852935001337,Spirits,16.88,1688,100.45,,
852935001702,Spirits,16.88,1688,100.45,,
698450105460,Spirits,27.03,2703,321.86,,
698450103466,Spirits,19.35,1935,229.74,,
698450104463,Spirits,23.18,2318,275.63,,
736040544951,Spirits,36.02,3602,215.35,,
86785643250,Spirits,28.79,2879,171.25,,
86785643182,Spirits,120.5,12050,360,,
810108010272,Spirits,36.33,3633,216.5,,
736040510109,Spirits,26.38,2638,157.5,,
850046590092,Spirits,19.68,1968,117,,
850012571964,Spirits,19.68,1968,117,,
87116002098,Spirits,26.43,2643,157.5,,
88004021788,Spirits,1.05,105,49.24,,
88004024659,Spirits,1.05,105,49.24,,
88004021771,Spirits,1.05,105,49.24,,
88004009793,Spirits,0.69,69,81.2,,
88004009540,Spirits,12.85,1285,153,,
88004009694,Spirits,12.85,1285,153,,
88004009748,Spirits,9.85,985,117,,
88004009755,Spirits,0.69,69,81.2,,
88004030056,Spirits,9.85,985,117,,
88004020323,Spirits,0.69,69,81.2,,
88004148201,Spirits,19.69,1969,117,,
88004148218,Spirits,12.85,1285,153,,
88004148232,Spirits,9.85,985,117,,
88004148225,Spirits,12.33,1233,147,,
88004148249,Spirits,5.91,591,140.7,,
88004148256,Spirits,14.43,1443,172,,0.09
88004148263,Spirits,0.69,69,81.2,,
88004144036,Spirits,12.85,1285,153,,
88004144029,Spirits,19.69,1969,117,,
88004144449,Spirits,9.85,985,117,,
88004144081,Spirits,0.69,69,81.2,,
88004144067,Spirits,5.91,591,140.7,,0.11
88004144074,Spirits,14.43,1443,172,,0.09
88004009625,Spirits,9.85,985,117,,
88004144913,Spirits,0.69,69,81.2,,
88004144890,Spirits,5.91,591,140.7,,0.11
88004144647,Spirits,9.85,985,117,,
88004030063,Spirits,9.85,985,117,,
88004009762,Spirits,12.85,1285,153,,
88004020316,Spirits,12.85,1285,153,,
83664873623,Spirits,27.75,2775,332,,
83664873630,Spirits,38.69,3869,231,,
83664873647,Spirits,17.7,1770,211.25,,
850004208007,Spirits,18.25,1825,108,,
850004208113,Spirits,11.5,1150,67.5,,
850004208212,Spirits,10.0,1000,58.5,,
850004208236,Spirits,10.0,1000,58.5,,
850004208250,Spirits,10.0,1000,58.5,,
850004208168,Spirits,15.62,1562,92.25,,
88004009588,Spirits,0.69,69,81.2,,
86785012346,Spirits,26.5,2650,158,,
8500003890520,Spirits,2.02,202,192,,
86785091105,Spirits,28.75,2875,171,,
195893996087,Spirits,24.1,2410,143.5,,
195893282593,Spirits,18.18,1818,108,,
865811000058,Spirits,32.43,3243,193.5,,
195893485161,Spirits,21.85,2185,130,,
195893010059,Spirits,24.93,2493,148.5,,
736040004264,Spirits,0.46,46,40,,
84279996325,Spirits,22.68,2268,135,,
898432002460,Spirits,31.66,3166,378.86,,
898432002019,Spirits,30.25,3025,180.41,,
898432002231,Spirits,140.18,14018,840,,
898432002743,Spirits,18.38,1838,109.2,,
898432002903,Spirits,12.18,1218,72,,
898432002927,Spirits,12.18,1218,72,,
898432002637,Spirits,18.55,1855,221.45,,
898432002453,Spirits,27.9,2790,333.74,,
898432002002,Spirits,23.24,2324,277.8,,
898432002507,Spirits,18.55,1855,221.45,,
898432002477,Spirits,18.55,1855,221.45,,
898432002941,Spirits,12.18,1218,72,,
681827905084,Spirits,5.17,517,30,,
88004040154,Spirits,52.15,5214,312.07,,
88004005511,Spirits,51.13,5113,306,,
85000024003,Spirits,1.01,101,120,,
85000024027,Spirits,4.05,405,96,,
85000024034,Spirits,5.38,538,128,,
85000024041,Spirits,9.84,984,117,,
85000024065,Spirits,22.68,2268,135,,
85000003404,Spirits,1.01,101,120,,
85000004210,Spirits,3.38,338,80,,
