Product Description,Product UPC,Department,Category (for markup),Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net Unit Cost,Net Case Cost,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Non-Buy Month Invoice,Item Number,Avg Retail,Avg Club,Avg Sale,Competitor Pricing,Markup %,Invoice Price,Neilson,Total Wine,Cub,Color
Phillips UV Blue Raspberry,087116014589,Liquor,Vodka,Traveler,12,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,7.322966666666666,87.87559999999999,108,11.99,,0.3892438142896859,92.25, ,000046235,12.99,0,0,,0.3,92.25,,,,
Phillips UV Cake Vodka,087116015432,Liquor,,375ml,24,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,4.495833333333333,107.89999999999999,128,6.99,,0.356819265617549,106.8,,000018680,,,,,0.5,106.8,,,,
Phillips UV Cake Vodka,087116015357,Liquor,Vodka,1.75L,6,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,11.587654320987653,69.52592592592592,104,22.99,,0.4959697990001021,73.9, ,000018683,18.99,0,0,,0.3,73.9,,,,
Phillips UV Cake Vodka,087116015371,Liquor,Vodka,Liter,12,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,9.211466666666666,110.5376,136,14.99,,0.3854925505892818,115, ,000018682,14.99,12.96,0,,0.3,115,,,,
Phillips UV Cake Vodka,087116015470,Liquor,,50ml,120,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,0.8691666666666666,104.3,120,0.99,,0.12205387205387207,103.2,,001724808,,,,,0.5,103.2,,,,
Phillips UV Cherry Vodka,087116014510,Liquor,,375ml,24,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,4.495833333333333,107.89999999999999,128,6.99,,0.356819265617549,106.8,,000010393,,,,,0.5,106.8,,,,
Phillips UV Cherry Vodka,087116014435,Liquor,Vodka,Liter,12,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,9.211466666666666,110.5376,136,14.99,,0.3854925505892818,115, ,000016618,14.99,12.96,0,,0.3,115,,,,
Phillips UV Cherry Vodka,087116014619,Liquor,Vodka,1.75L,6,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,11.587654320987653,69.52592592592592,96,20.99,,0.44794405331168874,73.9, ,000066670,18.99,0,0,,0.3,73.9,,,,
Phillips UV Cherry Vodka,087116014398,Liquor,,50ml,120,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,0.8691666666666666,104.3,120,0.99,,0.12205387205387207,103.2,,000017423,,,,,0.5,103.2,,,,
Phillips UV Cherry Vodka,087116014565,Liquor,Vodka,Traveler,12,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,7.322966666666666,87.87559999999999,108,11.99,,0.3892438142896859,92.25, ,000046219,9.99,0,0,,0.3,92.25,,,,
Phillips UV Grape Vodka,087116014794,Liquor,Vodka,Liter,12,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,9.211466666666666,110.5376,136,14.99,,0.3854925505892818,115, ,000012428,14.99,12.96,0,,0.3,115,,,,
Phillips UV Grape Vodka,087116014817,Liquor,Vodka,1.75L,6,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,11.587654320987653,69.52592592592592,120,25.99,,0.5541495066953577,73.9, ,000012819,18.99,0,0,,0.3,73.9,,,,
Phillips UV Grape Vodka,08711601478,Liquor,,50ml,120,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,0.8691666666666666,104.3,120,0.99,,0.12205387205387207,103.2,,000017424,,,,,0.5,103.2,,,,
Phillips UV Orange Vodka,087116014459,Liquor,Vodka,Liter,12,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,9.211466666666666,110.5376,136,14.99,,0.3854925505892818,115, ,000016444,14.99,12.96,0,,0.3,115,,,,
Phillips UV Pink Lemonade Vodk,087116014978,Liquor,Vodka,1.75L,6,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,11.587654320987653,69.52592592592592,96,10.99,8.96,-0.29326499118165755,73.9, ,000013893,18.99,18.99,0,,0.3,73.9,,,,
Phillips UV Pink Lemonade Vodk,087116014855,Liquor,Vodka,Liter,12,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,9.211466666666666,110.5376,136,14.99,,0.3854925505892818,115, ,000013660,14.99,12.96,0,,0.3,115,,,,
Phillips UV Vodka,087116014664,Liquor,Vodka,375ml,24,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,4.495833333333333,107.89999999999999,128,6.99,,0.356819265617549,106.8,,1203223,5.99,0,0,,0.5,106.8,,,,
Phillips UV Vodka,087116014633,Liquor,Vodka,1.75L,6,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,11.587654320987653,69.52592592592592,96,20.99,15.96,0.27395649617871853,73.9, ,000073668,18.99,15.96,0,,0.3,73.9,,,,
Phillips UV Vodka,087116014657,Liquor,Vodka,Liter,12,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,9.211466666666666,110.5376,136,14.99,,0.3854925505892818,115, ,000073593,14.99,12.96,0,,0.3,115,,,,
