upc,kind,target_wos,week,item
199284006881,weekly,4.5,2026-07-30,Gigli 10mg THC Variety Pack 12pk 12oz can
860011555315,weekly,4.5,2026-07-30,Birch's Ginger Ale Seltzer 10mg THC 4pk 12oz can
852449007429,weekly,4.5,2026-07-30,Utepils Happy Pack 10mg THC 12pk 12oz can
850047906380,weekly,4.5,2026-07-30,Climbing Kites Variety Pack 10mg THC 6pk 12oz can
810012693882,weekly,4.5,2026-07-30,Two Scoops Variety Pack 10mg THC 6pk 12oz can
