REMOVE?,Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,Department,Size,Units/Case,Deal Description,Buy Months (if appl.),Case 1 (Retail),Buy Month Invoice,Non-Buy Month Invoice,Free Case Value,Buy Qty,Free Qty,EO $,EO Cases,EO Period,EO Notes,Net Case,Net/Unit,Net Case EO,Net Cs EO/Unit,Retail,Club,GM%,Competitor Pricing,Distributor (1)
Remove,,Johnson Brothers Liquor Co,Gallo,000009472,085000002209,Turning Leaf Chardonnay,Wine,1.5 L,6,,All,48,48,48,,,,,,,,48,8,,,11.99,,0.3327773144286906,,Johnson Brothers Liquor Co
Remove,,Johnson Brothers Liquor Co,Gallo,000067660,08523901,Turning Leaf Chardonnay,Wine,750 ml,12,,All,56,56,56,,,,,,,,56,4.666666666666667,,,6.99,,0.33237958989031946,,Johnson Brothers Liquor Co
Remove,,Johnson Brothers Liquor Co,Gallo,9555,085000002230,Turning Leaf Merlot,Wine,1.5 L,6,,All,48,48,48,,,,,,,,48,8,,,11.99,,0.3327773144286906,,Johnson Brothers Liquor Co
Remove,,Johnson Brothers Liquor Co,Gallo,000009001,085000002698,Turning Leaf Merlot,Wine,750 ml,12,,All,56,56,56,,,,,,,,56,4.666666666666667,,,6.99,,0.33237958989031946,,Johnson Brothers Liquor Co
Remove,,Johnson Brothers Liquor Co,Gallo,9654,085000010389,Turning Leaf Pinot Grigio,Wine,1.5 L,6,,All,48,48,48,,,,,,,,48,8,,,11.99,,0.3327773144286906,,Johnson Brothers Liquor Co
Remove,,Johnson Brothers Liquor Co,Gallo,000067751,085000002513,Turning Leaf Pinot Noir,Wine,750 ml,12,,All,56,56,56,,,,,,,,56,4.666666666666667,,,6.99,,0.33237958989031946,,Johnson Brothers Liquor Co
X,,Libation Project,Libation Project,,6009808940055,Arendsig Sauvignon Blanc,Wine,750 ml,12,Case 1,All,,,,,,,,,,,0,0,,,-0.01,,1,,Libation Project
X,,Libation Project,Libation Project,?,791930001570,Chermette Beaujolais Griottes,Wine,750 ml,12,Case 1,All,,,,,,,,,,,0,0,,,-0.01,,1,,Libation Project
x,,Libation Project,Libation Project,Out of Stock,8421478770158,Raventos I Blanc De Nit Brut,Wine,750 ml,12,Case 1,All,Out of Stock,,,,,,,,,,0,0,,,,,0,,Libation Project
REMOVE,,Maverick Wine Company,Diamond Wine Imports,IW-DIA-ALP-XIN-HED-19,5205243318485,"Alpha Estate Xinomavro Hedgehog Vyd
",Wine,750 ml,12,,All,219.95999999999998,200.04000000000002,,,,,,,,,200.04000000000002,16.67,,,26.99,,0.3823638384586883,,Maverick Wine Company
REMOVE,,Maverick Wine Company,Pacific Highway,DW-TB-ME-GRN-16,892026001150,Beckstoffer Melee Grenache,Wine,750 ml,12,,All,336,236.04000000000002,,,,,,,,,236.04000000000002,19.67,,,41.99,,0.5315551321743271,,Maverick Wine Company
REMOVE,,Maverick Wine Company,Diamond Wine Imports,IW-DIA-DOU-DAF-LIA-19,5204734001042,Douloufakis Dafnios Liatiko,Wine,750 ml,12,,All,160,144,,,,,,,,,144,12,,,19.99,,0.39969984992496244,,Maverick Wine Company
REMOVE,,Maverick Wine Company,Diamond Wine Imports,IW-DIA-DOU-DAF-VID-21,5204734001035,Douloufakis Dafnios Vidiano,Wine,750 ml,12,,All,160,144,,,,,,,,,144,12,,,19.99,,0.39969984992496244,,Maverick Wine Company
REMOVE,,Maverick Wine Company,Montinore,DW-MN-MN-BO-NV,044358070704,Montinore Borealis White Wine,Wine,750 ml,12,discontinued,All,144,112,,,,,,,,,112,9.333333333333334,,,17.99,,0.48119325551232156,,Maverick Wine Company
REMOVE,,Maverick Wine Company,Montinore,DW-MN-MN-VIV-SPK,044358165929,Montinore Vivace Sparkling,Wine,750 ml,12,discontinued,All,192,156,,,,,,,,,156,13,,,23.99,,0.4581075448103376,,Maverick Wine Company
REMOVE,,Maverick Wine Company,Ramey,DW-RWC-CH-RRV-19,185983000053,Ramey RR Valley Chardonnay,Wine,750 ml,12,,All,404.04,368.04,,,,,,,,,368.04,30.67,,,50.99,,0.3985095116689547,,Maverick Wine Company
REMOVE,,Maverick Wine Company,Diamond Wine Imports,IW-DIA-SAN-ASS-21,5203885002816,Santo Santorini Assyrtiko,Wine,750 ml,12,,All,264,240,,,,,,,,,240,20,,,32.99,,0.39375568354046686,,Maverick Wine Company
REMOVE,,Maverick Wine Company,Diamond Wine Imports,IW-DIA-SKO-MOS-20,663997000172,Skouras Moscofilero,Wine,750 ml,12,,All,168,135.96,,,,,,,,,135.96,11.33,,,20.99,,0.4602191519771319,,Maverick Wine Company
REMOVE,,Maverick Wine Company,Diamond Wine Imports,IW-DIA-SKO-MOS-SAL-21,663997000264,Skouras Salto Moscofilero,Wine,750 ml,12,,All,200.04000000000002,176.04,,,,,,,,,176.04,14.67,,,24.99,,0.4129651860744297,,Maverick Wine Company
REMOVE,,Maverick Wine Company,Diamond Wine Imports,IW-DIA-SKO-NEM-20,663997000073,"Skouras St George Nemea
",Wine,750 ml,12,,All,176.04,160,,,,,,,,,160,13.333333333333334,,,21.99,,0.3936637865696528,,Maverick Wine Company
REMOVE,,Maverick Wine Company,Diamond Wine Imports,IW-DIA-ZOE-RO-21,663997000141,Skouras Zoe! Rose,Wine,750 ml,12,,All,132,120,,,,,,,,,120,10,,,16.99,,0.41141848145968213,,Maverick Wine Company
Yes,,New France Wine,,HVCabSauv,857680001533,High Valley Cabernet Sauvignon,Wine,750 ml,12,,All,144,100,100,,,,,,,,100,8.333333333333334,,,17.99,,0.5367796924217157,,New France Wine
Yes,,New France Wine,,HVPS,857680001526,High Valley Petite Sirah,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,New France Wine
Yes,,New France Wine,,HVSB,857680001618,High Valley Sauvignon Blanc,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,New France Wine
