Standard Spirits,0.3,Canadian Whisky,Standard
Highly Allocated,0.4,Vodka,Standard
Cordials,0.4,Vermouth,Standard
Small Sizes,0.5,Gin Other,Standard
Mixes/bitters/ingredients,0.75,Aperitivo,Cordial
