Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Margin %,30D Units,90D Units,By Store OH
Wine Gift Set Foil Cutter & Aerator,Accessories,,1602,0.9,1716.4,2.5,11.49,78,4,12,Blaine:24;Roseville:53;Osseo:93;Stillwater:118;Plymouth:130;Cottage Grove:135;Woodbury:156;Andover:184;Minneapolis:197;Chanhassen:201;St. Louis Park:311
Fever Tree Pine Ginger Beer 4pk 7oz btl,Mixes,Dahlheimer Beverage Monticello,17,0.9,18.8,3.83,6.49,41,4,11,Ramsey:3;Andover:3;Osseo:5;Blaine:6
Velo Citrus Chill 9mg,Smokeless,"M Amundson, LLP",5,0.9,5.8,8.41,11.99,30,5,5,Minneapolis:5
Monster Strawberry Lemonade 16oz can,Mixes,Great Lakes Coca-Cola Distribution,43,0.9,50.3,2.05,2.49,18,5,5,Plymouth:20;Minneapolis:23
Fre Pouch 6mg Wintergreen,Smokeless,"M Amundson, LLP",4,0.9,4.4,8.0,7.99,0,5,7,Stillwater:1;Minneapolis:3
Lift Bridge Root Beer 4pk 16oz can,Mixes,"Capitol Beverage Sales, L.P.",13,0.9,14.2,4.5,6.99,36,3,16,Rosemount:1;Cottage Grove:2;Blaine:10
LaCroix Razz-Cranberry 8pk 12oz can,Mixes,"Capitol Beverage Sales, L.P.",7,0.9,7.6,4.17,5.99,30,5,7,Blaine:7
Liber & Co Almond Orgeat Syrup 375ml,Mixes,Am Craft Spirits,17,0.9,18.8,13.0,20.99,38,2,20,Andover:1;Vadnais Heights:1;Chanhassen:2;Minnetonka:6;St. Louis Park:7
Pure Leaf Sweet Tea 18oz btl,Mixes,Pepsi-Cola,23,0.9,26.4,1.55,2.29,32,4,10,Plymouth:5;St. Louis Park:8;Roseville:10
Liquid Death Cherry Obituary 19.2oz can,Mixes,"College City Beverage, Inc.",12,0.9,13.3,1.41,1.99,29,4,11,Woodbury:12
Phorm Folds of Honor 16oz can,,"College City Beverage, Inc.",16,0.9,18.4,1.88,2.99,37,0,28,Cottage Grove:16
Starbucks Doubleshot Energy Zero Sugar 15oz can,Mixes,Pepsi-Cola,7,0.9,8.2,0.0,3.49,100,5,5,Cottage Grove:7
