Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Margin %,30D Units,90D Units,By Store OH
MN Wild Bottle Cooler,Accessories,Bellboy Corporation,17,0.5,34.2,5.43,10.99,51,2,7,Chanhassen:2;Cottage Grove:2;Osseo:4;Minneapolis:10
MTN Dew Baja Blast 2L,Mixes,Pepsi-Cola,0,0.5,0.0,1.8,3.49,48,0,17,
Loon Pouches Bad Bull 7mg 20pk,Smokeless,"M Amundson, LLP",18,0.5,38.6,6.0,8.99,33,2,6,Minneapolis:18
Loon Pouches Artic Mango 28mg,Smokeless,"M Amundson, LLP",0,0.5,0.0,6.0,8.99,33,0,15,
Nan's Spicy Bloody Mix 32oz,Mixes,,7,0.5,15.0,8.12,10.99,26,2,6,Andover:7
Nan's Original Bloody Mix 32oz,Mixes,,9,0.5,19.3,8.12,10.99,26,2,6,Andover:9
Syx Wintergreen 20mg,Smokeless,"M Amundson, LLP",12,0.5,23.4,7.09,10.99,35,3,3,Minneapolis:12
Velo Dragon Fruit 6mg,Smokeless,"M Amundson, LLP",7,0.5,13.6,8.41,11.49,27,3,3,Minneapolis:7
Vikings Zipper Bottle Cooler,Accessories,Bellboy Corporation,3,0.5,5.8,5.41,10.99,51,3,3,Roseville:1;Cottage Grove:2
Wedding Return Fee,,,0,0.5,0.0,0.0,50.0,100,3,3,
Elegant White and Black Wine Bag,Accessories,"True Brands, Inc.",13,0.5,27.0,1.69,4.49,62,1,11,Roseville:1;St. Louis Park:2;Woodbury:2;Andover:8
Mason Jar Shot Glass Set of 6,Accessories,"True Brands, Inc.",27,0.5,51.1,2.88,6.99,59,2,8,Minneapolis:2;Woodbury:4;Blaine:5;Roseville:7;Plymouth:9
Mr Pure Apple Cranberry  16oz,Mixes,,25,0.5,47.3,1.57,1.99,21,2,8,Vadnais Heights:3;Blaine:22
Mountain Dew 16oz can,Mixes,Pepsi-Cola,26,0.5,55.7,1.44,1.99,28,2,6,Osseo:26
Velo Spearmint 3mg,Smokeless,"M Amundson, LLP",18,0.5,35.1,8.41,11.49,27,1,12,Minneapolis:18
Bubbles Single Bottle Bag,Accessories,"True Brands, Inc.",27,0.5,54.2,1.33,4.49,70,2,7,Blaine:1;Rosemount:1;Roseville:1;Plymouth:5;Woodbury:8;Stillwater:11
Alani Nu Breezeberry 12oz can,Mixes,Pepsi-Cola,28,0.4,69.2,1.79,3.49,49,2,4,Minneapolis:28
Alani Nu Orange Kiss 12oz can,Mixes,Pepsi-Cola,11,0.4,28.3,1.79,3.49,49,1,8,Minneapolis:11
Alani Nu Dream Float 12oz can,Mixes,Pepsi-Cola,9,0.4,21.4,1.79,3.49,49,1,9,Minneapolis:9
Colossal: Ice Cube Tray - Grey,Accessories,"True Brands, Inc.",28,0.4,64.3,4.6,10.99,58,2,5,Cottage Grove:1;Blaine:3;Minneapolis:6;Roseville:8;Plymouth:10
Zyn Pouch 3mg Spearmint,Smokeless,"M Amundson, LLP",10,0.4,23.0,8.41,11.49,27,2,5,Minneapolis:10
Mr & Mrs T Margarita 1.75L,Mixes,"Breakthru Beverage Minnesota Wine & Spirits, LLC",3,0.4,7.4,6.68,9.99,33,2,4,Ramsey:3
Monte Carlo: 6 oz Faux Leather Flask,Accessories,"True Brands, Inc.",22,0.4,58.9,7.88,17.99,56,2,3,Blaine:2;Rosemount:2;Roseville:5;Plymouth:6;Andover:7
Montecristo White Toro,Cigars,,22,0.4,58.9,8.3,15.99,48,2,3,Minneapolis:5;Roseville:5;Woodbury:5;Vadnais Heights:7
Mr & Mrs T Margarita Liter,Mixes,Bellboy Corporation,4,0.4,11.2,4.58,5.99,23,1,7,Roseville:4
Monster Orange Dreamsicle 16oz can,Mixes,Great Lakes Coca-Cola Distribution,41,0.4,109.8,2.04,2.49,18,2,3,Blaine:20;Woodbury:21
Marlboro Menthol Smooth,Cigarettes,"M Amundson, LLP",13,0.4,29.8,13.06,15.99,18,2,5,Chanhassen:13
Mr Pibb 12pk 12oz can,Mixes,Great Lakes Coca-Cola Distribution,2,0.4,4.6,9.65,12.49,23,2,5,Minneapolis:2
True Party 16 Oz Black Party Cups (Set of 50),Accessories,"True Brands, Inc.",20,0.4,49.5,6.15,13.79,55,2,4,Minneapolis:20
True Party 16 Oz Blue Party Cups (Set of 50),Accessories,"True Brands, Inc.",19,0.4,43.6,5.59,12.49,55,2,5,Minneapolis:19
"True Party: 5.5 oz Plastic Champagne Flute, set of 12",Accessories,"True Brands, Inc.",24,0.4,57.1,3.83,9.99,62,1,9,Roseville:6;Minneapolis:8;St. Louis Park:10
Truly Tiki Assorted Wine Bag Cakewalk,Accessories,"True Brands, Inc.",7,0.4,18.7,1.07,2.29,53,2,3,Minnetonka:7
Celsius Peach Mango Green Tea 12oz,Mixes,Pepsi-Cola,15,0.4,37.1,1.76,2.49,29,2,4,Andover:15
Pall Mall Orange,Cigarettes,,46,0.4,105.6,12.12,14.99,19,2,5,Cottage Grove:21;Andover:25
Owen's Espresso Martini Mix 4pk 12oz can,Mixes,Phillips Wine & Spirits - St. Paul,10,0.4,24.7,9.34,14.99,38,2,4,Chanhassen:3;Ramsey:7
Cigar Cutter,Accessories,"True Brands, Inc.",18,0.4,48.2,1.16,4.49,74,2,3,Vadnais Heights:4;Cottage Grove:5;Roseville:9
Zoa Green Apple 12oz can,Mixes,"Breakthru Beverage Minnesota Beer, LLC",3,0.4,8.0,1.49,2.99,50,2,3,Minneapolis:3
Wine Glass - Wine Is The Answer,Accessories,,168,0.4,432.0,1.0,4.49,78,1,8,Plymouth:6;Minnetonka:10;Stillwater:11;Vadnais Heights:15;Cottage Grove:21;Rosemount:21;Woodbury:33;Roseville:51
Jimmy Luv's Bloody Mary Mix 32oz,Mixes,Bellboy Corporation,0,0.4,0.0,4.42,7.99,45,2,3,
Acid Blondie,Cigars,,4,0.4,9.2,4.04,10.99,63,2,5,Cottage Grove:4
Red Bull Sugar Free 6pk 8oz can,Mixes,Red Bull Distribution Company,11,0.4,27.2,21.0,26.99,22,2,4,St. Louis Park:2;Cottage Grove:9
Celsius Retro Vibes 12oz can,Mixes,Pepsi-Cola,7,0.4,16.7,1.66,2.49,33,1,9,Ramsey:2;Andover:5
Bubly Lime 16oz,Mixes,,13,0.4,34.8,1.32,1.69,22,2,3,Roseville:13
Rogue: 16 Oz Plastic Flask,Accessories,"True Brands, Inc.",45,0.4,115.7,1.95,5.99,67,1,8,Woodbury:2;Minneapolis:3;Blaine:4;Andover:7;Roseville:11;Ramsey:18
Sharab Shrubs Strawberry 8oz,Mixes,Am Craft Spirits,35,0.4,86.5,9.78,14.99,35,2,4,St. Louis Park:5;Plymouth:6;Rosemount:6;Minnetonka:9;Vadnais Heights:9
Liquid Death Squeezed to Death 19.2oz can,Mixes,"College City Beverage, Inc.",13,0.4,32.1,1.41,1.99,29,2,4,Woodbury:13
Fre Pouch Lush 9mg,,"M Amundson, LLP",44,0.4,113.1,8.0,11.49,30,1,8,Minneapolis:44
Sommelier: Waiter's Corkscrew,Accessories,"True Brands, Inc.",36,0.4,82.7,2.45,11.49,79,2,5,Woodbury:2;Plymouth:4;Rosemount:7;St. Louis Park:10;Roseville:13
Red Bull Amber Edition 8oz can,Mixes,Red Bull Distribution Company,24,0.4,64.3,1.74,2.49,30,0,12,St. Louis Park:24
Sprite 6pk 7.5oz can,Mixes,Great Lakes Coca-Cola Distribution,4,0.4,9.9,4.06,8.99,55,2,4,Stillwater:4
Phorm Grape Energy 16oz can,,"Capitol Beverage Sales, L.P.",3,0.4,7.1,1.88,2.99,37,1,9,Cottage Grove:3
Liquid Death Blueberry Buzzsaw 19.2oz can,Mixes,"College City Beverage, Inc.",6,0.4,14.8,1.8,2.49,28,2,4,Woodbury:6
Coke 6pk 7.5oz can,Mixes,Great Lakes Coca-Cola Distribution,9,0.4,24.1,4.06,8.99,55,2,3,Stillwater:9
Fortify Stainless Steel Barware Set,Accessories,"True Brands, Inc.",14,0.4,37.5,16.11,35.49,55,2,3,Minnetonka:2;St. Louis Park:3;Andover:4;Blaine:5
Starbucks Doubleshot Vanilla 15oz can,Mixes,Pepsi-Cola,35,0.4,97.8,2.59,3.49,26,1,7,Cottage Grove:12;Blaine:23
Spooky Old Fashioned 32oz,Mixes,Bellboy Corporation,15,0.4,34.4,4.28,8.99,52,2,5,Plymouth:5;Woodbury:10
Fever Tree Lemon Tonic 4pk 6.7oz btl,Mixes,,1,0.4,2.7,0.0,6.49,100,2,3,Minneapolis:1
Pepsi Diet 16.9oz,Mixes,Walmart,1,0.4,2.5,0.58,2.29,75,2,4,St. Louis Park:1
Syx Wintergreen 6mg,Smokeless,"M Amundson, LLP",8,0.4,19.0,7.09,10.99,35,1,9,Minneapolis:8
TTL Wine Key,Accessories,,70,0.4,180.0,0.0,5.99,100,1,8,St. Louis Park:27;Plymouth:43
"Huxley Energy Drink Variety Pack 12pk 12oz can
",Pop1,Huxley Beverages Inc.,95,0.4,244.3,21.6,35.49,39,1,8,St. Louis Park:2;Osseo:3;Andover:4;Chanhassen:4;Vadnais Heights:4;Plymouth:5;Rosemount:5;Woodbury:5;Roseville:9;Blaine:54
Red Bull Sugar Free 4pk 12oz can,Mixes,Red Bull Distribution Company,6,0.4,16.1,9.12,12.49,27,2,3,Plymouth:3;Woodbury:3
Coca Cola 10pk 7.5oz can,,Great Lakes Coca-Cola Distribution,10,0.3,29.2,10.0,13.99,29,2,2,Bloomington:10
Loon Cinnamon OG 7mg,Smokeless,"M Amundson, LLP",19,0.3,71.8,6.0,8.99,33,1,4,Minneapolis:19
Fever Tree Light Ginger Ale 4pk 6.7oz btl,Mixes,Southern Glazer's Wine & Spirits of MN,33,0.3,124.8,4.76,6.99,32,1,4,Minneapolis:11;Ramsey:11;St. Louis Park:11
Lime Juice 5oz,Mixes,,3,0.3,11.3,0.0,1.49,100,1,4,St. Louis Park:1;Minneapolis:2
Starry Lemon Lime Zero Sugar 20oz,Mixes,Pepsi-Cola,27,0.3,91.4,1.5,2.09,28,1,5,Roseville:2;Minnetonka:25
Liquid Death Convicted Melon 19.2oz can,Mixes,"College City Beverage, Inc.",11,0.3,33.7,1.41,1.99,29,1,6,Woodbury:11
ReaLime 3oz,Mixes,"Breakthru Beverage Minnesota Wine & Spirits, LLC",21,0.3,79.4,0.34,0.99,66,1,4,Woodbury:10;Roseville:11
Floral Chic Wine Bag by Cakewalk,Accessories,"True Brands, Inc.",14,0.3,52.9,1.37,2.29,40,1,4,Andover:2;Blaine:2;Woodbury:10
Filthy Margarita Mix 8oz,Mixes,Phillips Wine & Spirits - St. Paul,10,0.3,29.2,2.8,4.49,38,2,2,Bloomington:10
Liquid Death Doctor Death 19.2oz can,Mixes,"College City Beverage, Inc.",15,0.3,43.8,1.42,1.99,29,0,11,Woodbury:15
Fever Tree Pink Sparkling Grapefruit 4pk 6.7oz btl,Mixes,Southern Glazer's Wine & Spirits of MN,49,0.3,175.0,3.83,6.49,41,0,9,Chanhassen:1;Roseville:2;St. Louis Park:2;Ramsey:4;Stillwater:4;Plymouth:8;Minnetonka:9;Vadnais Heights:9;Cottage Grove:10
Pure Leaf Black Tea 18oz btl,Mixes,Pepsi-Cola,20,0.3,67.7,1.47,1.89,22,1,5,Roseville:20
Liquid Death Mountain Water 19oz can,Mixes,"Capitol Beverage Sales, L.P.",25,0.3,73.1,1.33,1.99,33,2,2,Minneapolis:3;Woodbury:22
Liquid Death Sweet Reaper 19.2oz can,Mixes,"College City Beverage, Inc.",10,0.3,29.2,1.8,2.49,28,2,2,Woodbury:10
Rogue: 10 Oz Plastic Flask,Accessories,"True Brands, Inc.",39,0.3,114.0,2.16,4.99,57,0,11,Osseo:2;Rosemount:2;Ramsey:4;Andover:5;Roseville:5;Woodbury:6;Minneapolis:15
Happy Hour Cocktail Napkin by Cakewalk,Accessories,"True Brands, Inc.",4,0.3,15.1,1.59,5.99,73,1,4,Blaine:1;Rosemount:3
Hip Hooray Gift  Wine Bag by Cakewalk,Accessories,"True Brands, Inc.",23,0.3,70.4,1.38,2.29,40,1,6,Blaine:1;Plymouth:1;Andover:10;Stillwater:11
Hello Bubbly Cocktail Napkin by Cakewalk,Accessories,"True Brands, Inc.",21,0.3,79.4,1.59,5.99,73,1,4,Blaine:4;Plymouth:8;Roseville:9
Glow Stick Cups True (Set of 20),Accessories,"True Brands, Inc.",2,0.3,5.8,6.15,13.79,55,2,2,Minneapolis:2
ZOA Grape 12oz can,Mixes,"Breakthru Beverage Minnesota Beer, LLC",14,0.3,52.9,1.49,2.99,50,1,4,Minneapolis:14
Bubly Grapefruit 16oz can,Mixes,Pepsi-Cola,12,0.3,45.4,1.53,1.69,9,1,4,Roseville:12
Winston Red,Cigarettes,,10,0.3,29.2,12.45,14.99,17,2,2,Woodbury:3;Andover:7
Glacier Rocks Ice Sphere Molds by Viski,Accessories,"True Brands, Inc.",18,0.3,68.1,10.04,20.99,52,1,4,Vadnais Heights:1;Minneapolis:5;Roseville:5;Andover:7
Goslings Ginger Beer Liter,Mixes,"Vinocopia, Inc",1,0.3,3.1,2.0,3.49,43,1,6,Woodbury:1
Sharab Shrubs Blueberry-Poblano 8oz,Mixes,Am Craft Spirits,28,0.3,94.7,10.08,14.99,33,1,5,Rosemount:2;Vadnais Heights:4;Plymouth:5;Roseville:6;Minnetonka:11
Shear: 4-Blade Foil Cutter,Accessories,"True Brands, Inc.",38,0.3,128.6,0.82,2.29,64,1,5,Minneapolis:2;Minnetonka:3;Plymouth:3;Blaine:4;Woodbury:4;Vadnais Heights:5;Roseville:7;Rosemount:10
Schweppes Watermelon Mint Tonic Liter,Mixes,Pepsi-Cola,10,0.3,30.6,1.04,2.29,55,1,6,Ramsey:2;Plymouth:3;Rosemount:5
Klarbrunn Club Soda Liter,Mixes,"Chas A. Bernick, Inc.",14,0.3,40.9,0.88,1.99,56,2,2,Rosemount:14
Sip Stix 110pk,Accessories,"True Brands, Inc.",65,0.3,199.0,1.41,3.99,65,1,6,Cottage Grove:5;Rosemount:5;Woodbury:5;Minneapolis:8;Roseville:8;Blaine:11;St. Louis Park:11;Ramsey:12
Soft Touch Black Double Hinged Corkscrew,Accessories,"True Brands, Inc.",17,0.3,52.0,3.3,6.49,49,1,6,Blaine:7;Chanhassen:10
Margarita 9 Oz Cups Blush (Set of 12),Accessories,"True Brands, Inc.",10,0.3,29.2,4.79,11.49,58,2,2,Minneapolis:10
Dashfire Classic Creole Bitters 100ml,Mixes,Am Craft Spirits,8,0.3,30.3,10.95,15.99,32,1,4,Woodbury:3;Minnetonka:5
Coke Diet 6pk 7.5oz can,Mixes,Great Lakes Coca-Cola Distribution,12,0.3,45.4,4.06,8.99,55,1,4,Stillwater:12
Phorm Orange Energy 16oz can,,"College City Beverage, Inc.",7,0.3,23.7,1.88,2.99,37,1,5,Cottage Grove:7
Syx Blueberry 12mg,Smokeless,"M Amundson, LLP",1,0.3,3.2,7.09,10.99,35,0,10,Minneapolis:1
Loon Orange 14mg,Smokeless,"M Amundson, LLP",0,0.3,0.0,6.0,8.99,33,0,11,
Loon Arctic Mint 14mg,Smokeless,"M Amundson, LLP",2,0.3,7.1,6.0,8.99,33,0,9,Minneapolis:2
Velo Smooth 9mg,Smokeless,"M Amundson, LLP",24,0.3,77.1,8.41,11.99,30,0,10,Minneapolis:24
Bundaberg Ginger Beer 355ml 4pk,Mixes,,25,0.3,94.5,5.49,6.99,21,1,4,Andover:25
Mr & Mrs T Bold & Spicy Liter,Mixes,Bellboy Corporation,3,0.3,10.7,4.59,5.99,23,0,9,Blaine:3
"Monster Rehab Wild Berry Tea 16oz can
",Mixes,Great Lakes Coca-Cola Distribution,23,0.3,82.1,2.03,2.49,19,0,9,Woodbury:5;Blaine:18
Minute Maid Apple Juice 12oz btl,Mixes,Great Lakes Coca-Cola Distribution,45,0.3,131.5,1.65,2.49,34,2,2,Plymouth:45
"Monster Rehab Peach Tea 16oz can
",Mixes,Great Lakes Coca-Cola Distribution,32,0.3,121.0,2.03,2.49,19,1,4,Blaine:32
Coke Cherry Float 12pk 12oz can,Mixes,Great Lakes Coca-Cola Distribution,0,0.3,0.0,9.65,12.49,23,1,4,
Coke Cherry Float Zero Sugar 12pk 12oz can,Mixes,Great Lakes Coca-Cola Distribution,3,0.3,11.3,9.65,12.49,23,1,4,Minneapolis:3
Oracle�: Flask Funnel,Accessories,"True Brands, Inc.",34,0.3,115.0,1.64,3.99,59,1,5,Woodbury:3;Andover:6;Plymouth:6;Roseville:8;Blaine:11
This Spirit's for You 1.5 L Bottle Bag,Accessories,"True Brands, Inc.",15,0.3,56.7,1.89,5.49,66,1,4,Vadnais Heights:1;Plymouth:3;Blaine:5;Woodbury:6
Faux Leather Single-bottle Wine Bag,Accessories,"True Brands, Inc.",26,0.3,98.3,0.98,2.29,57,1,4,Woodbury:1;Roseville:2;Bloomington:9;Blaine:14
Owen's Ginger Beer & Lime 750ml,Mixes,Phillips Wine & Spirits - St. Paul,5,0.3,18.9,4.65,7.99,42,1,4,Minnetonka:2;Andover:3
TrueFlask 4 oz Stainless Steel Flask 4oz,Accessories,"True Brands, Inc.",22,0.3,67.3,6.18,14.99,59,1,6,Minnetonka:2;Minneapolis:6;Roseville:6;Blaine:8
MLB Can Cooler,Accessories,Bellboy Corporation,7,0.3,26.5,3.47,6.99,50,1,4,Ramsey:2;Minneapolis:5
American Spirit Menthol,Cigarettes,"M Amundson, LLP",5,0.3,14.6,14.37,16.99,15,2,2,Woodbury:5
VacuVin 2pc Wine Saver - Black,Accessories,"True Brands, Inc.",26,0.3,76.0,6.57,16.99,61,2,2,St. Louis Park:4;Blaine:5;Vadnais Heights:5;Chanhassen:6;Roseville:6
Truetap: Double-Hinged Corkscrew Black,Accessories,"True Brands, Inc.",30,0.3,91.8,3.19,6.99,54,1,6,Blaine:3;Rosemount:6;St. Louis Park:7;Roseville:14
Marlboro No.27,Cigarettes,"M Amundson, LLP",29,0.3,88.8,12.56,14.99,16,1,6,Rosemount:9;Andover:20
Alani Nu Watermelon Wave 12oz can,Mixes,Pepsi-Cola,19,0.3,71.8,1.79,3.49,49,1,4,Minneapolis:19
Zing Zang Margarita Mix 6pk 8oz can,Mixes,,5,0.3,16.9,1.45,12.49,88,1,5,Minneapolis:1;Stillwater:1;St. Louis Park:3
Fever Tree Distillers Cola 4pk 6.7oz btl,,"Breakthru Beverage Minnesota Beer, LLC",29,0.3,98.1,3.83,6.49,41,1,5,St. Louis Park:3;Chanhassen:4;Osseo:5;Roseville:8;Minneapolis:9
Topo Chico Mineral Water Twist of Grapefruit 15oz btl,Mixes,Great Lakes Coca-Cola Distribution,39,0.2,192.9,0.0,3.99,100,1,2,Minnetonka:39
Lovejoy's Burn Yo Face Hot Sauce 5oz,Condiments,Am Craft Spirits,23,0.2,134.4,6.0,9.99,40,1,1,Roseville:2;Vadnais Heights:4;Andover:6;Woodbury:11
Party Essentials Brights Margarita Glasses,Accessories,"M Amundson, LLP",1,0.2,4.9,0.5,8.99,94,1,2,Minneapolis:1
Dashfire Mole Bitters 50ml,Mixes,Am Craft Spirits,11,0.2,64.3,9.52,17.49,46,1,1,Woodbury:4;Minnetonka:7
Wine FREEZE� Cooling Cups in Asst Colors,Accessories,"True Brands, Inc.",8,0.2,46.8,18.51,53.99,66,1,1,Blaine:8
Zoa Mango Splash 12oz can,Mixes,"Breakthru Beverage Minnesota Beer, LLC",21,0.2,90.0,1.49,2.99,50,1,3,Minneapolis:21
Copper Stemless Champagne Flutes,Accessories,"True Brands, Inc.",6,0.2,29.7,18.09,41.99,57,1,2,Plymouth:3;St. Louis Park:3
SBOC Pimento Martini Olives 5oz,Condiments,Bellboy Corporation,3,0.2,12.9,3.41,7.99,57,1,3,Andover:3
Grand Cru: Stemless Wine Glass,Accessories,"True Brands, Inc.",4,0.2,17.1,15.53,29.99,48,1,3,Blaine:2;Minneapolis:2
Church Key,Accessories,"M Amundson, LLP",12,0.2,59.3,0.31,,,1,2,Cottage Grove:13
Hammered Moscow Mule Copper Mugs by True,Accessories,"True Brands, Inc.",8,0.2,39.6,15.59,35.49,56,1,2,Plymouth:1;Rosemount:1;Blaine:3;Chanhassen:3
Glacier Rock Cooling Stones,Accessories,"True Brands, Inc.",17,0.2,72.9,6.91,17.99,62,1,3,Andover:1;Cottage Grove:1;Rosemount:2;Minnetonka:4;Vadnais Heights:9
Celsius Sparkling Fantasy Vibe 12oz can,Mixes,Pepsi-Cola,8,0.2,39.6,0.18,2.99,94,1,2,Plymouth:8
Sommelier Waiter's Corkscrew,Accessories,"True Brands, Inc.",111,0.2,648.7,2.83,14.99,81,1,1,Andover:2;Woodbury:6;Minnetonka:10;Stillwater:22;Blaine:25;St. Louis Park:46
Smile There's Wine Bag by Cakewalk 750ml,Accessories,"True Brands, Inc.",21,0.2,122.7,1.15,3.99,71,1,1,Blaine:2;Vadnais Heights:5;Osseo:6;Ramsey:8
Fre Pouch 12mg Sweet,Smokeless,"M Amundson, LLP",107,0.2,529.1,8.0,11.49,30,1,2,Minneapolis:107
Prime Original Energy Drink 12oz can,Mixes,"Capitol Beverage Sales, L.P.",19,0.2,111.0,1.75,3.49,50,1,1,Blaine:19
Filthy Pickle Brine 32oz,Condiments,Phillips Wine & Spirits - St. Paul,2,0.2,11.7,9.75,12.99,25,1,1,Blaine:1;Ramsey:1
Lift Bridge Black Cherry 12pk 16oz can,Mixes,"College City Beverage, Inc.",6,0.2,29.7,13.33,18.99,30,1,2,Woodbury:6
Red Bull Peach Edition 8oz can,Mixes,Red Bull Distribution Company,0,0.2,0.0,1.4,2.49,44,1,1,
Liquid Death Killer Cola 19.2oz can,Mixes,"College City Beverage, Inc.",19,0.2,81.4,1.41,1.99,29,1,3,Woodbury:19
Spring Grove Black Cherry 4pk 12oz btl,Mixes,"Capitol Beverage Sales, L.P.",8,0.2,39.6,4.17,6.49,36,1,2,Blaine:8
Spring Grove Cream Soda 4pk 12oz btl,Mixes,,5,0.2,29.2,4.17,6.49,36,1,1,Blaine:5
Franmara Pocket Corkscrew,Accessories,,0,0.2,0.0,1.2,2.99,60,1,1,
Syx Wild Cherry 6mg,Smokeless,"M Amundson, LLP",6,0.2,35.1,7.09,10.99,35,1,1,Minneapolis:6
Syx Peppermint 20mg,Smokeless,"M Amundson, LLP",19,0.2,111.0,7.09,10.99,35,1,1,Minneapolis:19
Stay-Chill Standard Can Cooler in Space,Accessories,"True Brands, Inc.",9,0.2,44.5,8.47,22.99,63,1,2,Woodbury:3;Blaine:6
Syx Peppermint 6mg,Smokeless,"M Amundson, LLP",6,0.2,35.1,7.09,10.99,35,1,1,Minneapolis:6
Coke Cherry Diet 20oz btl,Mixes,Great Lakes Coca-Cola Distribution,25,0.2,160.7,2.09,3.49,40,0,5,Minneapolis:8;Stillwater:17
Owen's Tonic & Lime 250ml,Mixes,Phillips Wine & Spirits - St. Paul,2,0.2,11.7,5.63,10.99,49,1,1,Chanhassen:1;Plymouth:1
On Nicotine Pouch 8mg Mint,Smokeless,"M Amundson, LLP",4,0.2,19.8,7.01,11.49,39,1,2,Minneapolis:4
Dashfire Chinese Bitters 50ml,Mixes,Am Craft Spirits,11,0.2,47.1,9.6,15.99,40,1,3,Plymouth:2;Woodbury:4;Chanhassen:5
UM Gopher Slim Can Holder 12oz,Accessories,Bellboy Corporation,5,0.2,24.7,4.15,7.99,48,1,2,Minneapolis:5
TrueFlask�: 8 oz Stainless Steel Flask,Accessories,"True Brands, Inc.",6,0.2,29.7,8.46,17.49,52,1,2,Plymouth:1;Cottage Grove:2;Blaine:3
Coke Cherry Zero 12pk 12oz can,Mixes,Great Lakes Coca-Cola Distribution,8,0.2,34.3,9.65,12.49,23,1,3,Minneapolis:8
Fee Brother Celery Bitters 5oz,Mixes,Bellboy Corporation,3,0.2,17.5,8.15,14.99,46,1,1,Roseville:3
Marlboro 72s,Cigarettes,,9,0.2,52.6,13.06,15.99,18,1,1,Cottage Grove:9
Empress 1908 N/A Gin 750ml,Non-Alcoholic,Phillips Wine & Spirits - St. Paul,5,0.2,29.2,21.0,33.99,38,1,1,Bloomington:5
Velo Cappuccino 6mg,Smokeless,"M Amundson, LLP",4,0.2,23.4,8.41,11.49,27,1,1,Minneapolis:4
Camel Turkish Gold,Cigarettes,,0,0.2,0.0,14.05,16.99,17,1,1,
NBA Can Cooler,Accessories,Bellboy Corporation,11,0.2,54.4,3.5,6.99,50,1,2,Woodbury:2;Cottage Grove:3;Minneapolis:6
Mtn Dew Baja Cabo Citrus 20oz can,Mixes,Pepsi-Cola,13,0.2,69.6,1.71,3.49,51,0,6,St. Louis Park:13
Zing Zang Michelada 6 pk 7.5 oz cn,Mixes,Phillips Wine & Spirits - St. Paul,3,0.2,14.8,6.88,8.99,24,1,2,Vadnais Heights:1;Rosemount:2
Zoa Wild Orange 12oz can,Mixes,"Breakthru Beverage Minnesota Beer, LLC",9,0.2,44.5,1.49,2.99,50,1,2,Minneapolis:9
Wedding Delivery Fee,,,0,0.2,0.0,0.0,150.0,100,1,2,
Dashfire Old Fashioned Bitters 100ml,Mixes,Am Craft Spirits,7,0.2,40.9,9.33,17.49,47,1,1,Chanhassen:1;Vadnais Heights:6
Moose Bottle Holder,Accessories,"True Brands, Inc.",4,0.2,19.8,19.13,41.99,54,1,2,Andover:4
Minute Maid Lemonade 12pk 12oz can,Pop1,Great Lakes Coca-Cola Distribution,7,0.2,40.9,9.65,7.49,-29,1,1,Bloomington:7
Whiskey FREEZE� Cooling Cups in Clear,Accessories,"True Brands, Inc.",8,0.2,46.8,13.4,29.99,55,1,1,Woodbury:1;Blaine:7
Whiskey FREEZE� Cooling Cup in Smoke,Accessories,"True Brands, Inc.",7,0.2,40.9,12.51,28.99,57,1,1,Chanhassen:1;Blaine:3;Ramsey:3
Burgundy Quilted Faux Leather Single Bottle Bag Cakewalk,Accessories,"True Brands, Inc.",8,0.2,39.6,1.71,3.49,51,1,2,Minnetonka:8
Buzzed Bee Wine Bag,Accessories,"True Brands, Inc.",30,0.2,192.9,1.4,4.49,69,0,5,Andover:1;Blaine:3;Woodbury:7;Roseville:8;Ramsey:11
Watkins Aromatic Bitters 4oz,Mixes,Phillips Wine & Spirits - St. Paul,46,0.2,197.1,5.22,9.99,48,1,3,Osseo:3;Ramsey:6;St. Louis Park:6;Minneapolis:11;Chanhassen:20
Monarch: Bottle Stopper,Accessories,"True Brands, Inc.",41,0.2,175.7,3.19,5.99,47,1,3,Plymouth:2;Vadnais Heights:2;Blaine:3;Minnetonka:6;Rosemount:6;Stillwater:22
Virginia Slim Menthol Silver,Cigarettes,,21,0.2,96.4,14.06,16.99,17,0,7,Andover:21
Velo Wild Berry 3mg,Smokeless,"M Amundson, LLP",14,0.2,81.8,8.41,11.49,27,1,1,Minneapolis:14
Wall Mounted Bottle Opener by Twine�,Accessories,"True Brands, Inc.",23,0.2,134.4,2.22,10.99,80,1,1,Andover:3;Woodbury:6;St. Louis Park:7;Vadnais Heights:7
Marlboro Sp. Blend Gold 100,Cigarettes,"M Amundson, LLP",17,0.2,72.9,12.56,14.99,16,1,3,Cottage Grove:17
NHL Can Cooler,Accessories,Bellboy Corporation,1,0.2,5.8,3.5,6.99,50,1,1,Minneapolis:1
Syx Icy Cola 12mg,Smokeless,"M Amundson, LLP",9,0.2,52.6,7.09,10.99,35,1,1,Minneapolis:9
POLAR CLUB SODA 6pk 355ml,Mixes,"College City Beverage, Inc.",2,0.2,9.9,3.75,6.99,46,1,2,Rosemount:2
POLAR TONIC 6pk 355ml,Mixes,,2,0.2,9.9,3.75,6.99,46,1,2,Rosemount:2
True Colossal Ice Cube Tray - Red,Accessories,"True Brands, Inc.",18,0.2,77.1,4.34,9.99,57,1,3,Plymouth:3;Rosemount:3;Cottage Grove:5;Blaine:7
