Supplier,Average of Price,Average of Sale Price,Buy Month,Product Code,Average of Price A,Item Classification
"Breakthru Beverage Minnesota Wine & Spirits, LLC",34.99,,,895574000064,0,
,17.990000000000002,,,751095061635,0,
The Wine Company,33.99,0,,55125072116,0,
Paustis Wine,14.833750000000004,,,879716000044,10.960000000000004,
,34.99,,,015643499432,0,
,24.990000000000006,,,3760228960001,0,
Origin Wine & Spirits,15.990000000000004,,,3760143270483,11.340000000000005,Dom Gayda 750ml
,14.990000000000004,,,805109140462,0,
"Tradition Wine & Spirits, LLC",14.990000000000004,,,400000020952,2.99,
,13.990000000000002,,,879716000037,0,
The Wine Company,18.990000000000002,,,890414001010,0,
"New France Wine Co, Inc",14.990000000000004,,,036272100049,0,
"Maverick Beverage Co., LLC - MN",29.990000000000006,,,3509072081018,0,
Rue 38 LLC,15.990000000000004,,,015643240256,0,
,84.99,,,811644011549,0,
,11.990000000000002,,,3770000041026,0,
"Breakthru Beverage Minnesota Wine & Spirits, LLC",165.98999999999995,0,,082734756767,137.96,
The Wine Company,14.990000000000004,,,091771030044,0,
"Breakthru Beverage Minnesota Wine & Spirits, LLC",44.99,,,083664868582,0,
Oxford Street Merchants,24.990000000000006,,,853562004401,0,
The Wine Company,23.552500000000006,0,,5204734001042,18.7075,
,63.99,,,094799020189,0,
"New France Wine Co, Inc",28.990000000000006,0,,695798132127,23.959999999999997,
,60.9275,,,509614,49.96000000000001,
"Tradition Wine & Spirits, LLC",24.990000000000006,,,400000000664,0,
Rue 38 LLC,31.990000000000006,,,504559,0,
Rue 38 LLC,19.990000000000002,,,083663441007,0,
The Wine Company,199.98999999999995,0,,012086323010,165.96,
,104.99,,,083120185125,84.96000000000001,
,13.990000000000002,,,768154231571,0,
,34.99,,,603488,0,
"Lompian Wines, LLC",44.99,,,3700224600181,0,
,17.990000000000002,,,7798152260948,0,
,10.99,,,018138318973,0,
Johnson Brothers - St. Paul,10.99,,,7791540051364,0,
,17.990000000000002,,,768033001011,0,
"Breakthru Beverage Minnesota Wine & Spirits, LLC",11.990000000000002,,,086024038953,0,
"Bourget Imports, LLC",37.99,,,8412449102955,31.959999999999994,
,19.990000000000002,,,664841010071,0,
,15.990000000000004,,,7798097231089,0,
"New France Wine Co, Inc",25.990000000000006,,,8033102121252,21.959999999999997,
"New France Wine Co, Inc",22.990000000000006,,,8033102121313,0,
Libation Project,15.990000000000004,,,604331008232,0,
"Grape Beginnings, Inc.",108.615,,,868466000237,84.64687500000001,
"Grape Beginnings, Inc.",53.99,,,868466000060,2.059375,
,19.990000000000002,,,6009675642779,0,
,19.990000000000002,,,6009675642694,0,
,19.990000000000002,,,6009675642670,0,
Oxford Street Merchants,49.99,,"February, March, April, July, August, November",831526000546,41.96,Wagner
,39.99,,,531205,0,
Paustis Wine,12.990000000000002,,,089636191191,0,
"Maverick Beverage Co., LLC - MN",31.990000000000006,0,,400000012438,1.309375,
Southern Glazer's Wine & Spirits of MN,9.99,,,088320135046,0,
Libation Project,21.240000000000002,0,,678113000158,16.45625,
,92.99,,,089419936001,0,
,18.990000000000002,,,608057106302,0,
,12.990000000000002,,,816253010167,0,
The Wine Company,43.365,0,,180225000051,36.8325,
Rue 38 LLC,15.990000000000004,,,015643674907,0,
"Bourget Imports, LLC",19.990000000000002,,,7798000210590,0,
Southern Glazer's Wine & Spirits of MN,8.989999999999998,,,085000005415,0,
,94.99,,,05077326,0,
Libation Project,24.990000000000006,,,504603,0,
,36.99,,,550495,0,
Southern Glazer's Wine & Spirits of MN,59.99,0,,859369001254,52.96000000000001,
"Bourget Imports, LLC",19.990000000000002,,,853076003006,16.960000000000004,
Southern Glazer's Wine & Spirits of MN,64.99,,,742651634103,54.96000000000001,
"New France Wine Co, Inc",144.99,,,875734000660,0,
The Wine Company,119.99,,,5543412216,0,
Oxford Street Merchants,13.990000000000002,,,753526200002,0,
Phillips Wine & Spirits - St. Paul,37.99,,,087752011881,31.959999999999994,
Small Lot MN,17.990000000000002,,,650298002141,0,
Origin Wine & Spirits,11.990000000000002,0,,3760143270667,0,
Phillips Wine & Spirits - St. Paul,16.990000000000002,,,099988071072,0,
"New France Wine Co, Inc",32.02125,,,899332002147,0.934375,
,199.98999999999995,,,084692304141,0,
,116.24,,,084692304301,99.96000000000002,
,17.990000000000002,,,761180804221,0,
,8.989999999999998,,,761180801008,0,
"Bourget Imports, LLC",110.99,,,400000017068,99.96000000000002,
Johnson Brothers - St. Paul,27.990000000000006,,,085000010532,0,
,64.99,,,715962082130,59.960000000000015,
Libation Project,48.99,0,,3760119560082,40.96,
,42.99,,,3760119560259,0,
,12.990000000000002,,,082734467021,0,
"Breakthru Beverage Minnesota Wine & Spirits, LLC",23.990000000000006,0,,086024024130,19.96,
,34.99,0,,040232243684,0.996875,
The Wine Company,27.990000000000006,0,,747846567501,23.959999999999997,Sake One
,54.99,,,400000001449,0,
Libation Project,29.990000000000006,,,400000015392,24.959999999999997,
Libation Project,44.99,,,400000011028,0,
,35.99,,,55113051918,0,
The Wine Company,52.99,0,,400000004037,1.809375,
The Wine Company,87.99,0,,3557862030005,72.96000000000001,
,11.990000000000002,,,637411000116,0,
"Breakthru Beverage Minnesota Wine & Spirits, LLC",17.990000000000002,,,012354001459,0,
,184.98999999999995,,,400000016108,0,
,99.99,,,400000016092,0,
,10.99,,,083417016208,0,
Oxford Street Merchants,62.99,,,850023739094,57.583750000000016,
Oxford Street Merchants,57.99,,,850023739056,52.70875000000001,
,31.990000000000006,,,55125021717,0,
Southern Glazer's Wine & Spirits of MN,8.989999999999998,,,080720000610,0,
Southern Glazer's Wine & Spirits of MN,9.99,,,080720000634,0,
Oxford Street Merchants,12.990000000000002,,,083574710285,0,
,21.990000000000006,,,033293118503,0,
Southern Glazer's Wine & Spirits of MN,25.990000000000006,,,033293116004,0,
The Wine Company,17.490000000000002,,,6002291000435,14.960000000000006,
The Wine Company,17.490000000000002,0,,6002291000138,14.960000000000006,
,136.99,,,0520017,0,
"Vinocopia, Inc",7.989999999999998,0,,8801100130572,6.707499999999999,Good Day 375ml
"Vinocopia, Inc",7.989999999999998,,,8801100130978,6.959999999999997,Good Day 375ml
"Vinocopia, Inc",7.989999999999998,,,8801100130961,6.959999999999997,Good Day 375ml
