Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Non-Buy Month Invoice,Vendor UPC,Item Number,Net Case EO,Net Cs EO/Unit,Competitor Pricing
Pearl Plum Vodka,088352125039,Liquor,750 ml,12,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352125039,176837,0,0,
Pearl Pomegranate Vodka,088352123851,Liquor,50 ml,64,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352123851,307175,0,0,
Pearl Pomegranate Vodka,088352123844,Liquor,750 ml,12,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352123844,295822,0,0,
Pearl Pomegranate Vodka,088352128214,Liquor,Ltr,12,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352128214,328415,0,0,
Pearl Red Berry Vodka,088352127064,Liquor,50 ml,120,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352127064,310509,0,0,
Pearl Red Berry Vodka,088352127071,Liquor,750 ml,12,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352127071,310510,0,0,
Pearl Red Berry Vodka,088352127088,Liquor,Ltr,6,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352127088,310511,0,0,
Pearl Vodka,088352126654,Liquor,1.75 L,6,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352126654,341227,0,0,
Pearl Vodka,088352123127,Liquor,50 ml,120,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352123127,51331,0,0,
Pearl Vodka,088352123189,Liquor,750 ml,12,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352123189,50341,0,0,
Pearl Vodka Black & Wed Cake,088352127194,Liquor,1.5 L,6,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352127194,314202,0,0,
Pearl Wedding Cake Vodka,088352126975,Liquor,750 ml,12,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352126975,ZZZ22469,0,0,
Pearl Wedding Cake Vodka,088352126982,Liquor,Ltr,6,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352126982,163244,0,0,
Peated Malts of Distinction,080686000013,Liquor,4 pk,6,JIM BEAM BRANDS CO,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080686000013,485403,0,0,
Penderyn Single Malt Welsh Wh,5011594000005,Liquor,750ml,6,SAZERAC,Breakthru Beverage, ,All,326,,324.85,54.333333333333336,69.99,,324.85,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC5011594000005",9011665,54.333333333333336,326,0.223698623612897
