Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Non-Buy Month Invoice,Vendor UPC,Item Number,Net Case EO,Net Cs EO/Unit,Competitor Pricing
*Q DRINKS GINGER ALE CN,851694003811,Misc,4pk,6,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC851694003811",,,,
1792 High Rye,080660001173,Liquor,750ml,6,SAZERAC COMPANY INC,Southern Wine & Spirits,,All,0,0,,312.99,,314,0,0,SWS Southern Glazer's Wine & Spirits of MN080660001173,447550,,,
1792 Port Finish,080660010724,Liquor,750ml,6,SAZERAC COMPANY INC,Southern Wine & Spirits,,All,0,0,,313.99,,315,0,0,SWS Southern Glazer's Wine & Spirits of MN080660010724,400772,,,
1800 Ult Margarita Mix,811538019071,Misc,Ltr Box,12,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC811538019071",,,,
1919 Root beer,88067057076,Misc,12pk 16oz cn,2,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC88067057076",,,,
1919 Rootbeer,1919RB16,Misc,16 Gallon,1,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC1919RB16",,,,
1919 Rootbeer,88067057045,Misc,5 Ltr,2,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC88067057045",,,,
1919 Rootbeer,1919RB8,Misc,8 Gallon,1,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC1919RB8",,,,
2 Dads Premium Bloody Mary ,757347279063,Misc,1.75 L,6,2 DADS LLC,Breakthru Beverage, ,All,,,44,0,9.99,,44, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC757347279063",9643314,,,0
21 SEEDS TEQ CUCUMBER JALAPENO 70,850003519005,Liquor,750ml,6,DIAGEO SPIRITS,Southern Wine & Spirits,,All,0,0,174,194.99,,196,156,156,SWS Southern Glazer's Wine & Spirits of MN850003519005,952857,,,
21 SEEDS TEQ GRAPEFRUIT HIBISCUS70,850003519098,Liquor,750ml,6,DIAGEO SPIRITS,Southern Wine & Spirits,,All,0,0,174,181.99,,183,156,156,SWS Southern Glazer's Wine & Spirits of MN850003519098,952859,,,
21 SEEDS TEQ VALENCIA ORANGE 70,850003519012,Liquor,750ml,6,DIAGEO SPIRITS,Southern Wine & Spirits,,All,0,0,174,195.99,,197,156,156,SWS Southern Glazer's Wine & Spirits of MN850003519012,952861,,,
360 Double Chocolate Vodka,085592138591,Liquor,Liter,12,MCCORMICK DISTILLING CO,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN085592138591,311451,,,
360 Huckleberry ,085592145995,Liquor,Liter,12,MCCORMICK DISTILLING CO,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN085592145995,325791,,,
360 Sorrento Lemon Vodka ,085592142598,Liquor,Liter,12,MCCORMICK DISTILLING CO,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN085592142598,311456,,,
360 Vodka,085592133718,Liquor,1.75 L,6,MCCORMICK DISTILLING CO,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN085592133718,184300,,,
360 Vodka,085592133794,Liquor,Liter,12,MCCORMICK DISTILLING CO,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN085592133794,193186,,,
4 Orange Vodka,089016008750,Liquor,750 ml,6,IMPERIAL BRANDS INC,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN089016008750,281855,,,
42 Below,9421012620252,Liquor,50 ml,120,BACARDI USA INC,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN9421012620252,106820,,,
44 North Magic Valley Vodka,833597009640,Liquor,750ml,12,HOOD RIVER DISTILLING,Breakthru Beverage, ,All,271.15,,270,22.59583333333333,28.99,,270, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC833597009640",9028072,22.59583333333333,271.15,0.22056456249281364
44 North Mountain Huckleberry,833597009633,Liquor,750ml,12,HOOD RIVER DISTILLING,Breakthru Beverage, ,All,271.15,,270,22.59583333333333,28.99,,270, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC833597009633",760041,22.59583333333333,271.15,0.22056456249281364
44 North Rainier Cherry Vodka,833597009657,Liquor,750ml,12,HOOD RIVER DISTILLING,Breakthru Beverage, ,All,271.15,,270,22.59583333333333,28.99,,270, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC833597009657",9071827,22.59583333333333,271.15,0.22056456249281364
44 North Sunnyslope Necarine,833597009671,Liquor,750ml,12,HOOD RIVER DISTILLING,Breakthru Beverage, ,All,271.15,,270,22.59583333333333,28.99,,270, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC833597009671",9175301,22.59583333333333,271.15,0.22056456249281364
44 North Vodka,833597009688,Liquor,750ml,12,HOOD RIVER DISTILLING,Breakthru Beverage, ,All,271.15,,270,22.59583333333333,28.99,,270, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC833597009688",9175300,22.59583333333333,271.15,0.22056456249281364
85 Lashes Crystal Rum,094922046826,Liquor,750 ml,6,AMALGAMATED BREWING COMPANY,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN094922046826,168174,0,0,
85 Lashes Dark Rum,094922294302,Liquor,750 ml,6,AMALGAMATED BREWING COMPANY,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN094922294302,168175,0,0,
99 Apples,089000118380,Liquor,200 ml,48,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089000118380,20200,0,0,
99 Bananas,080660118086,Liquor,200 ml,12,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080660118086,10561,0,0,
99 BANANAS SCHNAPPS 99 PET LSE,089000620104,Liquor,100ML,48,SAZERAC COMPANY INC,Southern Wine & Spirits,,All,47.75,0,63.7,0.9947916666666666,1.99,,47.75,63.7,SWS Southern Glazer's Wine & Spirits of MN089000620104,450611,0.9947916666666666,47.75,
99 Black Berries,089000515998,Liquor,50 ml,20,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089000515998,192719,0,0,
99 Coconuts,089000993123,Liquor,750 ml,12,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089000993123,317581,0,0,
99 Holiday Ornament Set,088004047993,Liquor,6x50 ml,12,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088004047993,527571,0,0,
99 Pineapples,080660010687,Liquor,200 ml,48,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080660010687,395100,0,0,
99 Schnapps Stocking,088004035884,Liquor,6x50 ml,20,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088004035884,956411,0,0,
99 WATERMELONS SCHN 99 PET LSE,89000991051,Liquor,100ML,48,SAZERAC COMPANY INC,Southern Wine & Spirits,,All,47.75,0,63.7,0.9947916666666666,1.99,,47.75,63.690000000000005,SWS Southern Glazer's Wine & Spirits of MN89000991051,395643,0.9947916666666666,47.75,
99 Whipped Cream,089000993086,Liquor,50 ml,10,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089000993086,0,0,0,
Aalborg Jubilaeums Akvavit,817469010309,Liquor,750ml,6,SAZERAC,Breakthru Beverage, ,All,118.16000000000001,,117.01,19.693333333333335,24.99,,117.01, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC817469010309",9240347,19.693333333333335,118.16000000000001,0.21195144724556478
Aalborg Taffel Akvavit,817469010293,Liquor,750ml,6,SAZERAC,Breakthru Beverage, ,All,100.16000000000001,,99.01,16.693333333333335,20.99,,99.01, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC817469010293",9240348,16.693333333333335,100.16000000000001,0.20470065110370003
Aberfeldy 16 year,080480006167,Liquor,750 ml,6,BACARDI USA INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080480006167,406945,0,0,
Aberfeldy 21yr Scotch,080480220013,Liquor,750 ml,4,BACARDI USA INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080480220013,412190,0,0,
Aberlour 18yr,080432102213,Liquor,750 ml,6,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080432102213,21214,0,0,
Aberlour A'bunadh Alba,080432114612,Liquor,750 ml,6,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080432114612,939520,0,0,
Aberlour Highland 16 Yr,080432102169,Liquor,750 ml,6,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080432102169,339635,0,0,
Absente,689768211028,Liquor,750ml,12,CRILLON IMPORTS,Breakthru Beverage, ,All,352.09999999999997,,350.95,29.341666666666665,37.99,,350.95, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC689768211028",9024245,29.341666666666665,352.09999999999997,0.22764762656839527
Absente Cream liqueur,689768262006,Liquor,750ml,6,CRILLON IMPORTS,Breakthru Beverage, ,All,190.15,,189,31.691666666666666,40.99,,189, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC689768262006",9226835,31.691666666666666,190.15,0.22684394567780763
Absente Grande,689768222024,Liquor,750ml,6,CRILLON IMPORTS,Breakthru Beverage, ,All,325.15,,324,54.19166666666666,69.99,,324, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC689768222024",9075559,54.19166666666666,325.15,0.225722722293661
Absolut  Lime & Cucumber Vodka Soda,089540535487,Liquor,12 oz cn,4,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089540535487,000967458-1,0,0,
Absolut  Lime & Cucumber Vodka Soda,089540535494,Liquor,4 pk can,6,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089540535494,967458,0,0,
Absolut 100 Proof ,835229005402,Liquor,Ltr,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229005402,13113,0,0,
Absolut Bar Pack,080432108178,Liquor,6 Ltr,1,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080432108178,341571,0,0,
Absolut Berry Acai Vodka,835229001084,Liquor,Ltr,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229001084,346849,0,0,
Absolut Cherrykran Vodka,835229002739,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229002739,310910,0,0,
Absolut Cilantro Vodka,835229002845,Liquor,50 ml,120,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229002845,339197,0,0,
Absolut Cilantro Vodka,835229002876,Liquor,Ltr,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229002876,333207,0,0,
Absolut Citron Glimmer Vodka,835229000926,Liquor,Ltr,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229000926,309464,0,0,
Absolut Citron Vodka,835229001107,Liquor,200 ml,24,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229001107,80037,0,0,
Absolut Electrik LTD,835229010185,Liquor,750 ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229010185,384770,0,0,
Absolut Grapevine Vodka,835229000841,Liquor,50 ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229000841,283512,0,0,
Absolut Grapevine Vodka,835229000872,Liquor,Ltr,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229000872,283432,0,0,
Absolut Hibiskus Vodka,835229002746,Liquor,50 ml,120,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229002746,326047,0,0,
Absolut Hibiskus Vodka,835229002777,Liquor,Ltr,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229002777,326053,0,0,
Absolut Juice Apple Edition,835229010765,Liquor,50 ml,120,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229010765,941158,0,0,
Absolut Juice Pear & Elderflower,835229010840,Liquor,Liter,6,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229010840,960298,0,0,
Absolut Juice Strawberry,835229010819,Liquor,Liter,6,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229010819,934852,0,0,
Absolut Kurant Vodka,835229003408,Liquor,Ltr,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229003408,1110,0,0,
Absolut L.E. Chicago Vodka,835229010024,Liquor,750 ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229010024,343916,0,0,
Absolut L.E. Miami Vodka,835229000889,Liquor,750 ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229000889,244005,0,0,
Absolut Mandrin Vodka,835229002609,Liquor,1.75 L,6,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229002609,33110,0,0,
Absolut Mandrin Vodka,835229002203,Liquor,375 ml,24,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229002203,47877,0,0,
Absolut Mandrin Vodka,835229002005,Liquor,50 ml,10,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229002005,47878,0,0,
Absolut Oak,835229002821,Liquor,750 ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229002821,376674,0,0,
Absolut Orient Apple,835229000810,Liquor,Ltr,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229000810,306224,0,0,
Absolut Raspberri Vodka,835229008601,Liquor,1.75 L,1,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229008601,80275,0,0,
Absolut Raspberry Lemongrass Vodka Soda,089540535531,Liquor,4 pk can,6,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089540535531,967457,0,0,
ABSOLUT VOD PEPPAR 76,835229004405,Liquor,1.0L,12,PERNOD RICARD USA,Southern Wine & Spirits,,March|June|September|November|December,217.55,0,251.4,18.129166666666666,26.99,,217.55,224.9,SWS Southern Glazer's Wine & Spirits of MN835229004405,554076,18.129166666666666,217.55,
ABSOLUT VOD PEPPAR 80,835229004405,Liquor,1.0L,12,PERNOD RICARD USA,Southern Wine & Spirits,,March|June|September|December,229.6,0,251.4,19.133333333333333,26.99,,219.6,224.9,SWS Southern Glazer's Wine & Spirits of MN835229004405,13180,19.133333333333333,229.6,
ABSOLUT VOD RASPBERRI 76,835229008304,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,March|June|September|November|December,171.76,0,205.1,14.313333333333333,21.99,,171.76,178.6,SWS Southern Glazer's Wine & Spirits of MN835229008304,546230,14.313333333333333,171.76,
ABSOLUT VOD RASPBERRI 76,835229008403,Liquor,1.0L,12,PERNOD RICARD USA,Southern Wine & Spirits,,March|June|September|November|December,217.55,0,251.4,18.129166666666666,26.99,,217.55,224.9,SWS Southern Glazer's Wine & Spirits of MN835229008403,546232,18.129166666666666,217.55,
ABSOLUT VOD RASPBERRI 80,835229008304,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,March|June|September|December,183.3,0,205.1,15.275,21.99,,173.3,178.6,SWS Southern Glazer's Wine & Spirits of MN835229008304,346237,15.275,183.3,
ABSOLUT VOD RASPBERRI 80,835229008403,Liquor,1.0L,12,PERNOD RICARD USA,Southern Wine & Spirits,,March|June|September|December,229.6,0,251.4,19.133333333333333,26.99,,219.6,224.9,SWS Southern Glazer's Wine & Spirits of MN835229008403,346236,19.133333333333333,229.6,
ABSOLUT VOD VANILIA 76,835229006409,Liquor,1.0L,12,PERNOD RICARD USA,Southern Wine & Spirits,,March|June|September|November|December,217.55,0,251.4,18.129166666666666,26.99,,217.55,224.9,SWS Southern Glazer's Wine & Spirits of MN835229006409,546237,18.129166666666666,217.55,
ABSOLUT VOD VANILIA 76,835229006300,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,March|June|September|November|December,171.76,0,205.1,14.313333333333333,21.99,,171.76,178.6,SWS Southern Glazer's Wine & Spirits of MN835229006300,546235,14.313333333333333,171.76,
ABSOLUT VOD VANILIA 80,835229006300,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,March|June|September|December,183.3,0,205.1,15.275,21.99,,173.3,178.6,SWS Southern Glazer's Wine & Spirits of MN835229006300,373923,15.275,183.3,
ABSOLUT VOD VANILIA 80,835229006409,Liquor,1.0L,12,PERNOD RICARD USA,Southern Wine & Spirits,,March|June|September|December,219.6,0,251.4,18.3,26.99,,219.6,224.9,SWS Southern Glazer's Wine & Spirits of MN835229006409,374072,18.3,219.6,
ABSOLUT VODKA 80 PAD(60),835229000605,Liquor,1.75L,6,PERNOD RICARD USA,Southern Wine & Spirits,,"MAR, JUNE",175.66,165.66,186.46,29.276666666666667,39.99,,165.66,170.96,SWS Southern Glazer's Wine & Spirits of MN835229000605,946746,29.276666666666667,175.66,
Absolut Vodka Soda Grapefruit & Rosemary,089540535517,Liquor,4 pk can,6,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089540535517,967456,0,0,
Absolut Wild Tea Vodka,835229000773,Liquor,Ltr,12,PERNOD RICARD USA,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN835229000773,302597,0,0,
Admiral Nelson Coconut,096749086429,Liquor,Liter,12,HEAVEN HILL SALES CO,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN096749086429,8943,0,0,
Admiral Nelson Pineapple Rum,096749001491,Liquor,1.75 L,6,HEAVEN HILL SALES CO,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN096749001491,465195,0,0,
Admiral Nelson's Black Patch,096749000951,Liquor,50ml,0,HEAVEN HILL SALES CO,Southern Wine & Spirits,,,0,0,,0,,,0,0,SWS Southern Glazer's Wine & Spirits of MN096749000951,ZZZ35956,,0,
Admiral Nelson's Cherry,096749086344,Liquor,750 ml,12,HEAVEN HILL SALES CO,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN096749086344,240143,0,0,
Admiral Nelson's Cherry Spiced,088352126760,Liquor,50 ml,120,HEAVEN HILL SALES CO,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352126760,240174,0,0,
Admiral Nelson's Coconut Rum,088352119465,Liquor,1.75 L,6,HEAVEN HILL SALES CO,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352119465,ZZZ24711,0,0,
Admiral Nelson's Pineapple Rum,096749001507,Liquor,Liter,12,HEAVEN HILL SALES CO,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN096749001507,465196,0,0,
Admiral Nelson's Spiced 101,096749086542,Liquor,Liter,12,HEAVEN HILL SALES CO,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN096749086542,269643,0,0,
Adult Chocolate Milk,857913002030,Liquor,750 ml,12,DEUTSCH FAMILY WINE & SPIRITS,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN857913002030,297616,0,0,
Aersotne Land Cask 10yr,83664874248,Liquor,750ml,6,WM GRANT & SONS,Breakthru Beverage, ,All,149.75,,148.6,24.958333333333332,31.99,,148.6,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC83664874248",9385823,24.958333333333332,149.75,0.2198082734187767
Aerstone Sea Cask 10yr,83664874231,Liquor,750ml,6,WM GRANT & SONS,Breakthru Beverage, ,All,149.75,,148.6,24.958333333333332,31.99,,148.6,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC83664874231",9385824,24.958333333333332,149.75,0.2198082734187767
AfterShock,080686281603,Liquor,375 ml,24,JIM BEAM BRANDS CO,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080686281603,3656,0,0,
AfterShock,080686281405,Liquor,750 ml,12,JIM BEAM BRANDS CO,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080686281405,1326,0,0,
AG Perino Vermouth Dry Classico,848375008555,Liquor,750 ml,12,PRECEPT WINE BRANDS LLC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN848375008555,984693,0,0,
AG Perino Vermouth Sweet Classico,848375008562,Liquor,750 ml,12,PRECEPT WINE BRANDS LLC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN848375008562,984695,0,0,
Agave Loco Peppercured Tequila,890355001230,Liquor,750 ml,6,AGAVE LOCO LLC/MHW LTD,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN890355001230,315988,0,0,
Alberta Whisky Rye Dark Batch,080686820017,Liquor,750 ml,6,JIM BEAM BRANDS CO,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080686820017,371867,0,0,
Alize Apple Liqueur,084692620609,Liquor,750 ml,6,KOBRAND CORPORATION,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN084692620609,450674,0,0,
ALIZE BLUE PASSION 32,084692206148,Liquor,750ml,6,KOBRAND CORPORATION,Southern Wine & Spirits,,All,89.98,0,99.5,14.996666666666668,21.99,,89.98,89.98,SWS Southern Glazer's Wine & Spirits of MN084692206148,350131,14.996666666666668,89.98,
ALIZE GOLD PASSION 32,84692200948,Liquor,750ml,6,KOBRAND CORPORATION,Southern Wine & Spirits,,All,89.98,0,99.5,14.996666666666668,21.99,,89.98,89.98,SWS Southern Glazer's Wine & Spirits of MN84692200948,362034,14.996666666666668,89.98,
ALIZE PINEAPPLE 32,84692633685,Liquor,750ml,6,KOBRAND CORPORATION,Southern Wine & Spirits,,All,89.98,0,99.5,14.996666666666668,21.99,,89.98,89.98,SWS Southern Glazer's Wine & Spirits of MN84692633685,934100,14.996666666666668,89.98,
ALIZE RED PASSION 32,084692201143,Liquor,750ml,6,KOBRAND CORPORATION,Southern Wine & Spirits,,All,89.98,0,99.5,14.996666666666668,21.99,,89.98,89.98,SWS Southern Glazer's Wine & Spirits of MN084692201143,350126,14.996666666666668,89.98,
American Harvest Organic Vodka,083089480178,Liquor,1.75 L,6,AMERICAN BEACH PARTNERS/PARK S,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN083089480178,308443,0,0,
American Harvest Organic Vodka,083089480154,Liquor,50 ml,60,AMERICAN BEACH PARTNERS/PARK S,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN083089480154,166621,0,0,
American Harvest Organic Vodka,083089480222,Liquor,750 ml,6,AMERICAN BEACH PARTNERS/PARK S,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN083089480222,366004,0,0,
American Harvest Organic Vodka,083089480109,Liquor,Ltr,6,AMERICAN BEACH PARTNERS/PARK S,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN083089480109,164062,0,0,
Ancient Age Bourbon,080244002121,Liquor,Liter,12,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080244002121,29103,0,0,
Ancnoc 12yr Highland Single Malt,632070100023,Liquor,750ml,6,HOTALING & COMPANY,Breakthru Beverage, ,All,226.15,,225,37.69166666666667,48.99,,225,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC632070100023",9107734,37.69166666666667,226.15,0.23062529767979856
Ancnoc Highland Single 16 Yr,632070100061,Liquor,750ml,6,HOTALING & COMPANY,Breakthru Beverage, ,All,299.15,,298,49.85833333333333,64.99,,298,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC632070100061",9107736,49.85833333333333,299.15,0.2328306919013182
Angostura Lemon Lime and Bitters ,75496332416,Misc,4 pk cans,6,NORTH AMERICAN BEVERAGE CO,Breakthru Beverage, ,All,25.15,,24,4.191666666666666,4.99,,24,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC75496332416",9323682,4.191666666666666,25.15,0.15998663994655987
