Standard Spirits,0.3,Canadian Whisky,Standard,0.3 (1)
Highly Allocated,0.4,Vodka,Standard,0.3
Cordials,0.4,Vermouth,Standard,0.3
Small Sizes,0.5,Gin Other,Standard,0.3
Mixes/bitters/ingredients,0.75,Aperitivo,Cordial,0.4
