upc,Item,Department
850033550504,Insight Flavor Pixels Peach Mango 5mg THC 12pk 12oz can,THC
785644202,Legacy Space Ice Cream Sea Salt Caramel 10 Pack,THC
850036260202,Long Coast Wild Blueberry Mojito 5mg THC 4pk 12oz can,THC
860010013427,Maison Bloom Peach Honeysuckle 5mg THC 6pk 12oz can,THC
860011669463,Minny Grown Bluebeary Mojito 10mg THC 4pk 12oz can,THC
850063284691,Minny Grown BlueBeary Pomegranate 10mg THC 4pk 12oz can,THC
860009899322,Minny Grown Boat Cruise Cosmo 4pk 12oz can,THC
860011669418,Minny Grown Cabin Colada 5mg THC 10 Pack,THC
860011669470,Minny Grown Cabin Time Colada 10mg THC 4pk 12oz can,THC
850063284684,Minny Grown Cucumber Lime 10mg THC 4pk 12oz can,THC
860011435624,Minny Grown Dark Chocolate 5mg THC 10 Pack,THC
860006677619,Minny Grown Go Pack! 10 Pack,THC
860011669487,Minny Grown Good Morning Mimosa 10mg THC 4pk 12oz can,THC
860006677626,Minny Grown Holidaze 5mg THC 10 Pack,THC
850063284677,Minny Grown Lemon Squeeze 10mg THC 4pk 12oz can,THC
860011435617,Minny Grown Milk Chocolate 5mg THC 10 Pack,THC
860009899315,Minny Grown Moscow Moose 4pk 12oz can,THC
850063284653,Minny Grown Nice Bar 50mg THC,THC
860009438095,Minny Grown Old Fashioned 4pk 12oz can,THC
850063284660,Minny Grown Pure Skyblue 10mg THC 4pk 12oz can,THC
860011435600,Minny Grown Strawberry Lake Love 5mg THC 10 Pack,THC
850063284073,Minny Grown Summer Variety 10mg THC 4pk 12oz can,THC
860011669456,Minny Grown Sunshine TeaHC 10mg THC 4pk 12oz can,THC
860009438019,Minny Grown Variety 6pk 12oz can,THC
860010316498,Minny Grown YOU.S.A 10 Pack,THC
860010283325,Nibbana Lychee Love Caff 5mg THC 4pk 12oz can,THC
860008762412,Plift Crisp Ginger 6pk 12oz can,THC
860008762429,Plift Juicy Grapefruit 6pk 12oz can,THC
860008762405,Plift Tart Lime 6pk 12oz can,THC
649696498977,Royal Highness Milk Chocolate 5 Pack,THC
811194034296,Smokiez Mixed Berry 10mg THC 4pk 12oz can,THC
811194034289,Smokiez Tropical Fruit 10mg THC 4pk 12oz can,THC
700128826741,Soshel Long Island Ice Tea 10mg THC 4pk 12oz can,THC
700128826758,Soshel Paloma 10mg THC 4pk 12oz can,THC
700128826765,Soshel Pinneapple Mule 10mg THC 4pk 12oz can,THC
196852381494,Stokt Soda Dreamy Orange 10mg THC 4pk 12oz btl,THC
197644645923,Stokt Soda Groovy Grape 10mg THC 4pk 12oz btl,THC
810005491488,Surly Double Take THC 10mg 4pk 12oz can,THC
810005491471,Surly Take Five Hop Water 4pk 12oz can,THC
810005491259,Surly Take Five Lime 4pk 12oz can,THC
810005491242,Surly Take Five Mixed Berry 4pk 12oz can,THC
810091530573,Tetra JUICED Black Apricot 10mg THC 4pk 12oz can,THC
810091530498,Tetra JUICED Pine Mango 10mg THC 4pk 12oz can,THC
649696462886,Vibes Bomb Pop 10mg THC 4pk 12oz can,THC
649275846564,Vibes Mango Hybrid 5mg THC 4pk 12oz can,THC
649696346841,Vibes Peach 10mg THC 4pk 12oz can,THC
649696406125,Vibes Watermelon Kiwi 10mg THC 4pk 12oz can,THC
649696347794,Vibes Wildberry Indica 10mg THC 4pk 12oz can,THC
850046271120,Wikid Sparkling Bramble 5mg THC 4pk 12oz can,THC
850046271106,Wikid Sparkling Mimosa 5mg THC 4pk 12oz can,THC
850046271113,Wikid Sparkling Paloma 5mg THC 4pk 12oz can,THC
