Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
90+ Cellars Rose 750ml,Rose,Bellboy Corporation,1536,77.4,19.8,6.7,15.99,12.96,58,,362,859,Osseo:24;Ramsey:30;Minnetonka:33;Stillwater:38;Andover:55;Rosemount:58;Woodbury:60;Cottage Grove:63;Vadnais Heights:64;Minneapolis:64;Blaine:120;Plymouth:134;Chanhassen:142;Bloomington:198;Roseville:218;St. Louis Park:235
90+ Cellars DOC Prosecco Lot 50 (single) 187ml,Sparkling,Bellboy Corporation,0,75.9,0.0,2.69,5.99,4.96,55,,242,1351,
Papi Sauvignon Blanc 750ml,Sauvignon Blanc,Paustis Wine,445,72.5,6.1,4.49,11.49,9.96,61,,303,966,Stillwater:6;Ramsey:9;Roseville:9;Vadnais Heights:13;Minnetonka:17;Chanhassen:18;Rosemount:18;Andover:24;Plymouth:24;Woodbury:26;St. Louis Park:32;Cottage Grove:35;Bloomington:41;Minneapolis:50;Blaine:123
Bota Box Sauvignon Blanc 3L Box,Sauvignon Blanc,Phillips Wine & Spirits - St. Paul,107,70.3,1.5,13.4,19.99,16.96,33,,317,834,Cottage Grove:1;Chanhassen:1;Osseo:3;Minnetonka:4;Stillwater:6;Ramsey:7;Blaine:8;Vadnais Heights:9;Woodbury:9;Roseville:10;Plymouth:10;St. Louis Park:11;Andover:14;Minneapolis:14
Sainte-Anne Syrah Rose 750ml,Rose,"Bourget Imports, LLC",490,69.0,7.1,6.08,14.99,12.96,59,,291,909,Minnetonka:6;Woodbury:7;Bloomington:10;Vadnais Heights:11;Plymouth:13;Andover:14;Cottage Grove:18;Stillwater:18;Rosemount:27;Ramsey:28;Minneapolis:35;St. Louis Park:44;Blaine:55;Roseville:71;Chanhassen:133
Bota Box Pinot Grigio 3L Box,Pinot Grigio/Gris,Phillips Wine & Spirits - St. Paul,93,65.0,1.4,13.4,19.99,16.96,33,,292,774,Rosemount:1;Woodbury:2;Stillwater:2;Minneapolis:2;Minnetonka:3;Blaine:4;Cottage Grove:4;St. Louis Park:7;Chanhassen:7;Osseo:8;Plymouth:8;Ramsey:10;Vadnais Heights:10;Roseville:11;Andover:14
Il Valore Pinot Grigio 750ml,Pinot Grigio/Gris,Rue 38 LLC,411,64.4,6.4,7.21,14.99,12.96,52,,306,692,Ramsey:4;Cottage Grove:7;Minnetonka:9;Chanhassen:11;Osseo:14;Rosemount:15;Stillwater:17;Plymouth:18;Minneapolis:23;Andover:27;St. Louis Park:32;Woodbury:36;Vadnais Heights:37;Bloomington:40;Roseville:41;Blaine:80
Woodbridge Chardonnay 1.5L,Chardonnay,Southern Glazer's Wine & Spirits of MN,304,64.3,4.7,7.2,11.49,9.96,37,,270,852,Minneapolis:1;Andover:5;Ramsey:7;Osseo:8;Minnetonka:9;Bloomington:9;Roseville:9;Plymouth:11;Stillwater:13;Vadnais Heights:16;Woodbury:22;Rosemount:24;Cottage Grove:28;Blaine:42;Chanhassen:43;St. Louis Park:57
Terre di Mario Red 750ml,Other Reds,Paustis Wine,1445,64.2,22.5,6.24,15.99,12.96,61,,238,994,Stillwater:25;Cottage Grove:31;Woodbury:36;Andover:39;Plymouth:40;Osseo:46;Rosemount:49;Vadnais Heights:67;Minnetonka:70;Ramsey:76;Roseville:90;Minneapolis:101;Bloomington:117;Chanhassen:179;St. Louis Park:199;Blaine:280
Meiomi Pinot Noir 750ml,Pinot Noir,Southern Glazer's Wine & Spirits of MN,449,62.6,7.2,12.01,18.99,15.96,37,,230,978,Minnetonka:12;Ramsey:14;Vadnais Heights:14;Blaine:14;Minneapolis:22;Cottage Grove:23;Andover:27;Plymouth:28;Woodbury:29;Rosemount:31;Osseo:32;Chanhassen:34;St. Louis Park:35;Stillwater:36;Roseville:98
Underwood Bubbles 355ml,Sparkling,Oxford Street Merchants,172,61.9,2.8,3.76,6.49,5.96,42,,286,704,Ramsey:1;Chanhassen:2;Rosemount:4;Blaine:6;Stillwater:6;Minneapolis:7;Cottage Grove:8;Woodbury:9;Osseo:10;Andover:11;Vadnais Heights:12;Roseville:18;Minnetonka:21;Plymouth:27;St. Louis Park:30
Sainte-Anne Sauvignon Blanc 750ml,Sauvignon Blanc,"Bourget Imports, LLC",631,59.5,10.6,6.18,14.99,12.96,59,,260,742,Minneapolis:1;Minnetonka:14;Woodbury:16;Stillwater:19;Osseo:20;Vadnais Heights:21;Plymouth:25;Bloomington:35;Chanhassen:40;Rosemount:43;Blaine:47;Roseville:50;Ramsey:56;Cottage Grove:63;Andover:89;St. Louis Park:92
Apothic Red 750ml,Red Blends,Johnson Brothers - St. Paul,581,59.0,9.8,6.76,9.99,8.96,32,,248,782,Stillwater:10;Minnetonka:11;Osseo:16;Plymouth:18;Bloomington:19;St. Louis Park:21;Vadnais Heights:24;Ramsey:25;Andover:38;Roseville:45;Woodbury:46;Chanhassen:48;Rosemount:59;Blaine:60;Minneapolis:65;Cottage Grove:76
Josh Cellars Sauvignon Blanc 750ml,Sauvignon Blanc,Johnson Brothers - St. Paul,216,58.8,3.7,6.43,11.99,9.96,46,,253,751,Rosemount:2;Chanhassen:6;Osseo:7;Minnetonka:7;Ramsey:8;Vadnais Heights:13;Plymouth:13;Cottage Grove:13;Andover:14;Stillwater:14;Blaine:16;Woodbury:17;Roseville:17;St. Louis Park:18;Minneapolis:22;Bloomington:29
Josh Cellars Pinot Grigio 750ml,Pinot Grigio/Gris,Johnson Brothers - St. Paul,185,57.6,3.2,6.43,11.99,9.96,46,,248,734,Woodbury:1;Stillwater:6;Ramsey:8;Minnetonka:13;Chanhassen:13;Rosemount:13;Blaine:15;St. Louis Park:16;Minneapolis:17;Bloomington:19;Vadnais Heights:20;Cottage Grove:25;Andover:31
La Vieille Ferme Rose 750ml,Rose,The Wine Company,949,57.6,16.5,6.97,13.79,11.96,49,,275,615,Woodbury:10;Minnetonka:13;Osseo:13;Vadnais Heights:15;Cottage Grove:16;Ramsey:20;Andover:28;Blaine:38;Bloomington:42;Minneapolis:51;Stillwater:54;Plymouth:63;Rosemount:67;Chanhassen:72;Roseville:125;St. Louis Park:322
90+ Cellars Sparkling Rose 750ml,Sparkling,Bellboy Corporation,1288,56.0,23.0,6.86,16.99,13.96,60,,227,777,Osseo:20;Minnetonka:23;Ramsey:26;Stillwater:29;Cottage Grove:30;Andover:30;Vadnais Heights:38;Plymouth:48;Woodbury:50;Rosemount:72;Chanhassen:75;Minneapolis:78;St. Louis Park:113;Blaine:151;Bloomington:215;Roseville:290
Underwood Rose Bubbles 375ml,Sparkling,Oxford Street Merchants,192,54.5,3.5,3.74,6.49,5.96,42,,253,612,Chanhassen:2;Bloomington:3;Minnetonka:7;Ramsey:9;Woodbury:10;Minneapolis:10;Andover:11;Osseo:12;Plymouth:14;Cottage Grove:15;Vadnais Heights:16;Blaine:17;Stillwater:17;St. Louis Park:49
Papi Sweet Red 750ml,Flavored,Paustis Wine,307,53.3,5.8,4.49,11.49,9.96,61,,216,742,Andover:3;Roseville:4;Bloomington:6;St. Louis Park:9;Cottage Grove:10;Osseo:12;Plymouth:13;Ramsey:14;Woodbury:15;Vadnais Heights:16;Minnetonka:17;Chanhassen:19;Rosemount:26;Minneapolis:46;Blaine:97
Matua Valley Sauv Blanc 750ml,Sauvignon Blanc,"Breakthru Beverage Minnesota Wine & Spirits, LLC",161,52.9,3.0,8.1,13.79,11.96,41,,229,671,Roseville:3;Cottage Grove:6;Vadnais Heights:11;Osseo:12;Bloomington:12;Minnetonka:13;Ramsey:13;Blaine:14;Rosemount:15;Stillwater:15;Andover:21;Chanhassen:26
Papi Cabernet Sauvignon 750ml,Cabernet,Paustis Wine,588,52.3,11.2,4.49,11.49,9.96,61,,194,808,Rosemount:10;St. Louis Park:11;Stillwater:13;Plymouth:15;Chanhassen:16;Osseo:16;Ramsey:16;Minnetonka:22;Woodbury:23;Roseville:36;Cottage Grove:36;Vadnais Heights:38;Bloomington:65;Minneapolis:66;Andover:79;Blaine:126
Yes Way Rose 750ml,Rose,Johnson Brothers - St. Paul,155,49.0,3.2,8.01,13.99,11.96,43,,228,548,Cottage Grove:2;Blaine:3;Osseo:4;Ramsey:5;Plymouth:5;Minnetonka:6;Roseville:6;Stillwater:6;Rosemount:6;Chanhassen:7;Andover:10;Vadnais Heights:12;Minneapolis:14;Woodbury:14;Bloomington:22;St. Louis Park:33
Risata Moscato d'Asti 750ml,Moscato,Oxford Street Merchants,678,47.9,14.2,7.97,14.99,12.96,47,,186,702,Stillwater:10;Osseo:12;Minnetonka:16;Plymouth:19;St. Louis Park:20;Chanhassen:23;Ramsey:23;Vadnais Heights:27;Bloomington:29;Roseville:38;Rosemount:46;Woodbury:47;Andover:76;Blaine:84;Minneapolis:98;Cottage Grove:105
Libretto Cabernet Sauvignon 750ml,Cabernet,Paustis Wine,377,47.9,7.9,5.36,12.99,10.96,59,,185,707,St. Louis Park:6;Ramsey:8;Andover:10;Rosemount:13;Osseo:15;Cottage Grove:18;Vadnais Heights:21;Stillwater:22;Minnetonka:39;Minneapolis:40;Woodbury:44;Blaine:67;Plymouth:74
One Flock Red Blend 750ml,Red Blends,Paustis Wine,395,47.8,8.3,6.57,17.49,14.96,62,,202,626,Osseo:4;Stillwater:8;Woodbury:8;Andover:9;Plymouth:10;Rosemount:18;Cottage Grove:21;Vadnais Heights:21;Minnetonka:22;Roseville:27;Minneapolis:29;Bloomington:30;St. Louis Park:34;Chanhassen:40;Ramsey:55;Blaine:59
90+ Cellars Pinot Noir California 750ml,Pinot Noir,Bellboy Corporation,1120,47.4,23.6,6.58,15.99,12.96,59,,213,565,Minnetonka:15;Ramsey:18;Cottage Grove:27;Minneapolis:38;Woodbury:38;Stillwater:49;Osseo:49;Rosemount:54;Vadnais Heights:58;Andover:64;St. Louis Park:81;Roseville:105;Bloomington:106;Blaine:110;Chanhassen:146;Plymouth:162
Black Box Pinot Noir 3L Box,Pinot Noir,Johnson Brothers - St. Paul,186,46.9,4.0,12.84,19.99,16.96,36,,198,618,Minnetonka:5;Bloomington:7;Stillwater:7;Roseville:7;Osseo:8;Ramsey:8;Minneapolis:8;Cottage Grove:11;Plymouth:12;Rosemount:13;Vadnais Heights:13;Woodbury:14;St. Louis Park:15;Andover:16;Chanhassen:21;Blaine:21
Sainte-Anne Chardonnay 750ml,Chardonnay,"Bourget Imports, LLC",516,44.0,11.7,6.18,14.99,12.96,59,,183,591,Woodbury:1;Rosemount:2;Osseo:4;Stillwater:17;Ramsey:19;Cottage Grove:20;Minneapolis:26;Minnetonka:27;Chanhassen:33;Plymouth:36;Vadnais Heights:40;St. Louis Park:65;Roseville:66;Andover:73;Blaine:87
Papi Pinot Noir 750ml,Pinot Noir,Paustis Wine,682,43.3,15.8,4.49,11.49,9.96,61,,177,594,Stillwater:12;Plymouth:20;Minnetonka:21;Osseo:21;Chanhassen:22;Minneapolis:24;Vadnais Heights:26;Rosemount:27;St. Louis Park:30;Ramsey:40;Woodbury:41;Cottage Grove:45;Andover:57;Roseville:71;Bloomington:82;Blaine:143
Creamery Chardonnay 750ml,Chardonnay,"Breakthru Beverage Minnesota Wine & Spirits, LLC",308,43.3,7.1,7.68,17.49,14.96,56,,187,549,Osseo:6;Cottage Grove:10;Ramsey:11;St. Louis Park:11;Minneapolis:12;Minnetonka:12;Woodbury:12;Rosemount:16;Vadnais Heights:16;Andover:18;Plymouth:22;Roseville:26;Stillwater:28;Chanhassen:30;Blaine:32;Bloomington:46
90+ Cellars Pinot Grigio Trentino 750ml,Pinot Grigio/Gris,Bellboy Corporation,1282,43.2,29.7,6.58,15.99,12.96,59,,197,501,Osseo:16;Rosemount:20;Stillwater:28;Plymouth:40;Vadnais Heights:41;St. Louis Park:46;Cottage Grove:59;Minnetonka:61;Woodbury:65;Minneapolis:75;Ramsey:111;Bloomington:129;Roseville:129;Andover:132;Chanhassen:133;Blaine:197
Papi Red Blend 750ml,Red Blends,Paustis Wine,353,42.7,8.3,4.49,11.49,9.96,61,,176,581,Plymouth:5;Rosemount:10;Osseo:15;St. Louis Park:15;Ramsey:17;Stillwater:20;Minneapolis:22;Minnetonka:24;Roseville:26;Vadnais Heights:28;Cottage Grove:33;Andover:49;Blaine:90
High Valley Cabernet Sauvignon 750ml,Cabernet,Paustis Wine,884,42.1,21.0,7.7,17.49,14.96,56,,182,535,Stillwater:12;Osseo:17;Vadnais Heights:18;Minneapolis:20;Roseville:20;Minnetonka:21;Bloomington:45;Ramsey:55;Chanhassen:64;St. Louis Park:69;Andover:76;Rosemount:79;Plymouth:80;Cottage Grove:80;Woodbury:82;Blaine:146
