upc,store,cases,description,vendor
643459379947,Cottage Grove,3,Gigli Blueberry Lemonade 5mg THC 4pk 12oz can,Gigli
643459379305,Cottage Grove,3,Gigli Citrus Seltzer 10mg THC 4pk 12oz can,Gigli
643459380004,Cottage Grove,4,Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,Gigli
198168611401,Cottage Grove,2,Gigli Iced Tea Lemonade 10mg THC 4pk 12oz can,Gigli
643459379541,Cottage Grove,3,Gigli Mango Seltzer 10mg THC 4pk 12oz can,Gigli
643459380035,Cottage Grove,3,Gigli Pineapple Mojito 10mg THC 4pk 12oz can,Gigli
643459379930,Cottage Grove,2,Gigli Pineapple Mojito 5mg THC 4pk 12oz can,Gigli
643459379954,Cottage Grove,4,Gigli Raspberry Ginger Mule 10mg THC 4pk 12oz can,Gigli
643459379961,Cottage Grove,2,Gigli Raspberry Ginger Mule 5mg THC 4pk 12oz can,Gigli
198168016879,Cottage Grove,4,Gigli Raspberry Tea 10mg THC 4pk 12oz can,Gigli
643459379909,Cottage Grove,2,Gigli Variety 5mg THC 4pk 12oz can,Gigli
643459380028,Minneapolis,5,Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,Gigli
643459379916,Minneapolis,3,Gigli Blood Orange Margarita 5mg THC 4pk 12oz can,Gigli
643459379992,Minneapolis,5,Gigli Blueberry Lemonade 10mg THC 4pk 12oz can,Gigli
643459379947,Minneapolis,3,Gigli Blueberry Lemonade 5mg THC 4pk 12oz can,Gigli
643459379305,Minneapolis,3,Gigli Citrus Seltzer 10mg THC 4pk 12oz can,Gigli
643459380004,Minneapolis,5,Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,Gigli
198168611401,Minneapolis,4,Gigli Iced Tea Lemonade 10mg THC 4pk 12oz can,Gigli
643459379541,Minneapolis,4,Gigli Mango Seltzer 10mg THC 4pk 12oz can,Gigli
643459380035,Minneapolis,4,Gigli Pineapple Mojito 10mg THC 4pk 12oz can,Gigli
643459379930,Minneapolis,3,Gigli Pineapple Mojito 5mg THC 4pk 12oz can,Gigli
643459379954,Minneapolis,5,Gigli Raspberry Ginger Mule 10mg THC 4pk 12oz can,Gigli
643459379961,Minneapolis,4,Gigli Raspberry Ginger Mule 5mg THC 4pk 12oz can,Gigli
198168016879,Minneapolis,4,Gigli Raspberry Tea 10mg THC 4pk 12oz can,Gigli
643459379909,Minneapolis,5,Gigli Variety 5mg THC 4pk 12oz can,Gigli
643459380028,Minnetonka,2,Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,Gigli
643459379916,Minnetonka,2,Gigli Blood Orange Margarita 5mg THC 4pk 12oz can,Gigli
643459379992,Minnetonka,2,Gigli Blueberry Lemonade 10mg THC 4pk 12oz can,Gigli
643459379947,Minnetonka,1,Gigli Blueberry Lemonade 5mg THC 4pk 12oz can,Gigli
643459379305,Minnetonka,1,Gigli Citrus Seltzer 10mg THC 4pk 12oz can,Gigli
643459380004,Minnetonka,2,Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,Gigli
198168611401,Minnetonka,2,Gigli Iced Tea Lemonade 10mg THC 4pk 12oz can,Gigli
643459379541,Minnetonka,2,Gigli Mango Seltzer 10mg THC 4pk 12oz can,Gigli
643459380035,Minnetonka,2,Gigli Pineapple Mojito 10mg THC 4pk 12oz can,Gigli
643459379930,Minnetonka,1,Gigli Pineapple Mojito 5mg THC 4pk 12oz can,Gigli
643459379954,Minnetonka,2,Gigli Raspberry Ginger Mule 10mg THC 4pk 12oz can,Gigli
643459379961,Minnetonka,2,Gigli Raspberry Ginger Mule 5mg THC 4pk 12oz can,Gigli
198168016879,Minnetonka,2,Gigli Raspberry Tea 10mg THC 4pk 12oz can,Gigli
643459379909,Minnetonka,1,Gigli Variety 5mg THC 4pk 12oz can,Gigli
643459380028,Osseo,2,Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,Gigli
643459379916,Osseo,2,Gigli Blood Orange Margarita 5mg THC 4pk 12oz can,Gigli
643459379992,Osseo,2,Gigli Blueberry Lemonade 10mg THC 4pk 12oz can,Gigli
643459379947,Osseo,2,Gigli Blueberry Lemonade 5mg THC 4pk 12oz can,Gigli
643459379305,Osseo,2,Gigli Citrus Seltzer 10mg THC 4pk 12oz can,Gigli
643459380004,Osseo,2,Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,Gigli
198168611401,Osseo,1,Gigli Iced Tea Lemonade 10mg THC 4pk 12oz can,Gigli
