Product Description,Product UPC,THC Mg per unit,Department,Category,Sub Category,Size,Units/Case,Supplier,Distributor,Deal Description,Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Top Ten Invoice Cost,Item Number,Deepest Invoice (Market),Avg Retail,Avg Club,Avg Sale,Competitor Pricing,Category (for markup),Markup %,Invoice Price,Color,Match w/ Items Month?
Inbound Satellite Cran-Orange 10mg THC 4pk 12oz can,854249004219,,THC,Beverages,,4pk 12oz can,6,Lucid Brewing LLC Dba Inbound Brewco,Lucid Brewing LLC Dba Inbound Brewco,,0,0,,-0.01,,1,,SatCranOrg_6x4_12oz,,22.99,18.96,0,0,Nothing But Hemp LLC197644645923,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Indulge Fast Acting Vanilla Cream 10 Pack,649696471901,,THC,Edibles,,,12,Indulge,Nothing But Hemp LLC,,0,0,,-0.01,,1,,649696471901,,23.99,19.96,7.86,0,Bellboy Corporation850046271120,Bellboy Corporation,Bellboy Corporation,0.5,
Insight Flavor Pixels Peach Mango 5mg THC 12pk 12oz can,850033550504,5,THC,Beverages,,12pk 12oz can,2,Insight Brewing Company (D),Insight Brewing Company (D),Quarterly buy,21,42,50,,37.99,20.86,42,4154835297,,-0.006711409395973182,37.99,0,0,Bellboy Corporation850046271106,Bellboy Corporation,Bellboy Corporation,0.5,
Legacy Space Ice Cream Sea Salt Caramel 10 Pack,785644202,,THC,Edibles,,,12,Legacy,Nothing But Hemp LLC,,0,0,,-0.01,,1,,785644202,,29.99,19.96,0,0,Bellboy Corporation850046271113,Bellboy Corporation,Bellboy Corporation,0.5,
Long Coast Wild Blueberry Mojito 5mg THC 4pk 12oz can,850036260202,,THC,Beverages,,4pk 12oz can,6,Long Coast,Nothing But Hemp LLC,,0,0,,-0.01,,1,,LCWBM11923,,28.99,19.96,0,0,Wild State Cider850018947411,Wild State Cider,Wild State Cider,0.5,
Maison Bloom Peach Honeysuckle 5mg THC 6pk 12oz can,860010013427,,THC,Beverages,,6pk 12oz can,4,Maison Bloom,"Capitol Beverage Sales, L.P.",,0,0,,-0.01,,1,0,20703,,35.99,13.96,0,0,Wild State Cider850018947817,Wild State Cider,Wild State Cider,0.5,
Minny Grown Bluebeary Mojito 10mg THC 4pk 12oz can,860011669463,10,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,11,66,,,19.99,16.96,66,,,0.35141509433962265,19.99,16.96,0,Wild State Cider850018947527,Wild State Cider,Wild State Cider,0.5,
Minny Grown BlueBeary Pomegranate 10mg THC 4pk 12oz can,850063284691,10,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,11,66,,,19.99,16.96,66,850063284691,,0.35141509433962265,19.99,16.96,0,Wild State Cider850018947718,Wild State Cider,Wild State Cider,0.5,
Minny Grown Boat Cruise Cosmo 4pk 12oz can,860009899322,,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,11,66,,,19.99,16.96,66,,,0.35141509433962265,19.99,16.96,0,Get Chai810109863761,Get Chai,Get Chai,0.5,
Minny Grown Cabin Colada 5mg THC 10 Pack,860011669418,5,THC,Beverages,,,12,Minny Grown,Minny Grown,$200 order qty per store,5.5,66,,,9.99,0,66,860011669418,,0,29.99,0,0,Get Chai810109863723,Get Chai,Get Chai,0.5,
Minny Grown Cabin Time Colada 10mg THC 4pk 12oz can,860011669470,,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,0,0,,-0.01,,1,,860011669470,,19.99,16.96,0,0,Get Chai810109863754,Get Chai,Get Chai,0.5,
Minny Grown Cucumber Lime 10mg THC 4pk 12oz can,850063284684,10,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,11,66,,,19.99,16.96,66,850063284684,,0.35141509433962265,19.99,16.96,0,Get Chai810109863747,Get Chai,Get Chai,0.5,
Minny Grown Dark Chocolate 5mg THC 10 Pack,860011435624,,THC,Edibles,,,12,Minny Grown,Minny Grown,$200 order qty per store,0,0,,-0.01,,1,,860011435624,,17.49,14.96,0,0,Get Chai810109863730,Get Chai,Get Chai,0.5,
Minny Grown Go Pack! 10 Pack,860006677619,,THC,Edibles,,,12,Minny Grown,Minny Grown,$200 order qty per store,0,0,,-0.01,,1,,860006677619,,17.49,14.96,0,0,Get Chai196852875160,Get Chai,Get Chai,0.5,
Minny Grown Good Morning Mimosa 10mg THC 4pk 12oz can,860011669487,,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,0,0,,-0.01,,1,,860011669487,,,,,0,Get Chai198715066937,Get Chai,Get Chai,0.5,
Minny Grown Holidaze 5mg THC 10 Pack,860006677626,,THC,Edibles,,,12,Minny Grown,Minny Grown,$200 order qty per store,0,0,,-0.01,,1,,860006677626,,17.49,7.86,0,0,Get Chai198715683899,Get Chai,Get Chai,0.5,
Minny Grown Lemon Squeeze 10mg THC 4pk 12oz can,850063284677,10,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,11,66,,,19.99,16.96,66,850063284677,,0.35141509433962265,19.99,16.96,0,Get Chai196852500505,Get Chai,Get Chai,0.5,
Minny Grown Milk Chocolate 5mg THC 10 Pack,860011435617,,THC,Edibles,,,12,Minny Grown,Minny Grown,$200 order qty per store,0,0,,-0.01,,1,,860011435617,,,,,0,Get Chai198715172546,Get Chai,Get Chai,0.5,
Minny Grown Moscow Moose 4pk 12oz can,860009899315,,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,16,96,,,29.99,24.96,96,,,0.358974358974359,19.99,16.96,0,Get Chai196852039432,Get Chai,Get Chai,0.5,
Minny Grown Nice Bar 50mg THC,850063284653,50,THC,Edibles,,,12,Minny Grown,Minny Grown,$200 order qty per store,5.5,66,,,10.99,8.96,66,850063284653,,0.38616071428571436,13.79,11.96,0,Get Chai198715546675,Get Chai,Get Chai,0.5,
Minny Grown Old Fashioned 4pk 12oz can,860009438095,,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,16,96,,,29.99,24.96,96,,,0.358974358974359,19.99,16.96,0,Get Chai198715139464,Get Chai,Get Chai,0.5,
Minny Grown Pure Skyblue 10mg THC 4pk 12oz can,850063284660,10,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,11,66,,,19.99,16.96,66,850063284660,,0.35141509433962265,19.99,16.96,0,Get Chai197644029709,Get Chai,Get Chai,0.5,
Minny Grown Strawberry Lake Love 5mg THC 10 Pack,860011435600,,THC,Edibles,,,12,Minny Grown,Minny Grown,$200 order qty per store,0,0,,-0.01,,1,,860011435600,,17.49,14.96,0,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Minny Grown Summer Variety 10mg THC 4pk 12oz can,850063284073,,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,0,0,,-0.01,,1,,850063284073,,,,,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Minny Grown Sunshine TeaHC 10mg THC 4pk 12oz can,860011669456,10,THC,Beverages,,4pk 12oz can,6,Minny Grown,Minny Grown,$200 order qty per store,11,66,,,19.99,16.96,66,,,0.35141509433962265,19.99,16.96,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Minny Grown Variety 6pk 12oz can,860009438019,,THC,Beverages,,6pk 12oz can,4,Minny Grown,Minny Grown,$200 order qty per store,24,96,,,43.99,36.96,96,,,0.35064935064935066,33.49,27.96,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Minny Grown YOU.S.A 10 Pack,860010316498,,THC,Edibles,,,12,Minny Grown,Minny Grown,$200 order qty per store,8,96,,,13.99,11.96,96,,,0.33110367892976594,17.49,14.96,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Nibbana Lychee Love Caff 5mg THC 4pk 12oz can,860010283325,5,THC,Beverages,,4pk 12oz can,6,Nibbana LLC,Nibbana LLC,,,,,-0.01,,0,-,860010283325,,22.99,17.96,0,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Plift Crisp Ginger 6pk 12oz can,860008762412,,THC,Beverages,,6pk 12oz can,4,Plift,Fair State Brewing Cooperative,$68 for 130 cases,17,68,,-0.01,,1701.0000000000002,68,860008762412,,18.99,14.96,0,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Plift Juicy Grapefruit 6pk 12oz can,860008762429,,THC,Beverages,,6pk 12oz can,4,Plift,Fair State Brewing Cooperative,$68 for 130 cases,17,68,,-0.01,,1701.0000000000002,68,860008762429,,18.99,14.96,0,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Plift Tart Lime 6pk 12oz can,860008762405,,THC,Beverages,,6pk 12oz can,4,Plift,Fair State Brewing Cooperative,$68 for 130 cases,17,68,,-0.01,,1701.0000000000002,68,860008762405,,18.99,14.96,0,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Royal Highness Milk Chocolate 5 Pack,649696498977,,THC,Edibles,,,12,Royal Highness,Nothing But Hemp LLC,,0,0,,-0.01,,1,,649696498977,,29.99,19.96,7.86,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Smokiez Mixed Berry 10mg THC 4pk 12oz can,811194034296,,THC,Beverages,,4pk 12oz can,6,Smokiez,Bellboy Corporation,Case 1,,,,,,0,,811194034296,,18.99,15.96,0,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Smokiez Tropical Fruit 10mg THC 4pk 12oz can,811194034289,10mg,THC,Beverages,,4pk 12oz can,6,Smokiez,Bellboy Corporation,Case 1,13.333333333333334,80,90,0.08330468660478973,24.99,20.96,80,811194034289,87.27,0.3638676844783715,18.99,15.96,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Soshel Long Island Ice Tea 10mg THC 4pk 12oz can,700128826741,,THC,Beverages,,4pk 12oz can,6,Soshel,Bellboy Corporation,Case 1,7.38,44.28,44.28,,12.99,10.96,44.28,700128826741,TOP TEN LABEL,0.32664233576642343,17.49,9.95,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Soshel Paloma 10mg THC 4pk 12oz can,700128826758,,THC,Beverages,,4pk 12oz can,6,Soshel,Bellboy Corporation,Case 1,7.38,44.28,44.28,,12.99,10.96,44.28,700128826758,TOP TEN LABEL,0.32664233576642343,17.49,9.95,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Soshel Pinneapple Mule 10mg THC 4pk 12oz can,700128826765,,THC,Beverages,,4pk 12oz can,6,Soshel,Bellboy Corporation,Case 1,7.38,44.28,44.28,,12.99,10.96,44.28,700128826765,TOP TEN LABEL,0.32664233576642343,17.49,9.95,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Stokt Soda Dreamy Orange 10mg THC 4pk 12oz btl,196852381494,40,THC,Beverages,,4pk 12oz btl,6,Stokt,Nothing But Hemp LLC,,12.799999999999999,76.8,96,0.14666666666666672,22.99,23.96,76.8,STKT62623OR,90,0.4657762938230385,27.99,23.96,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Stokt Soda Groovy Grape 10mg THC 4pk 12oz btl,197644645923,40,THC,Beverages,,4pk 12oz btl,6,Stokt,Nothing But Hemp LLC,BIN END OPPORTUNITY $48/case,12.799999999999999,76.8,96,0.14666666666666672,22.99,17.86,76.8,SGGS121323,90,0.28331466965285557,20.99,17.86,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
Surly Double Take THC 10mg 4pk 12oz can,810005491488,,THC,Beverages,,4pk 12oz can,6,Surly,Nothing But Hemp LLC,BIN END OPPORTUNITY $48/case,0,0,,-0.01,,1,,SRLYDBLTK8123,,,,,,Nothing But Hemp LLC810005491488,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Surly Take Five Hop Water 4pk 12oz can,810005491471,,THC,Beverages,,4pk 12oz can,6,Surly,Nothing But Hemp LLC,,0,0,,-0.01,,1,,810005491471,,20.99,16.96,0,0,Nothing But Hemp LLC810005491471,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Surly Take Five Lime 4pk 12oz can,810005491259,,THC,Beverages,,4pk 12oz can,6,Surly,Nothing But Hemp LLC,,0,0,,-0.01,,1,,810005491259,,14.99,7.86,0,0,Nothing But Hemp LLC810005491259,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Surly Take Five Mixed Berry 4pk 12oz can,810005491242,,THC,Beverages,,4pk 12oz can,6,Surly,Nothing But Hemp LLC,,0,0,,-0.01,,1,,810005491242,,20.99,16.96,0,0,Nothing But Hemp LLC810005491242,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Tetra JUICED Black Apricot 10mg THC 4pk 12oz can,810091530573,10,THC,Beverages,,4pk 12oz can,6,Tetra,Bauhaus Brew Labs,"We have previously agreed to give you our 10-case price at our 4-case delivery minimum amount and will continue to honor that. We can now also offer you our 40-case discount with a minimum of 10-cases per order. These prices would be $72 for our 10mg options, $60 for our 5mg options, and $28 for our 2mg options. Let me know if you have any questions about this. ",13.333333333333334,80,,-0.01,,1334.3333333333333,80,8,,27.99,19.96,0,0,Bauhaus Brew Labs810091530573,Bauhaus Brew Labs,Bauhaus Brew Labs,0.5,False
Tetra JUICED Pine Mango 10mg THC 4pk 12oz can,810091530498,10,THC,Beverages,,4pk 12oz can,6,Tetra,Bauhaus Brew Labs,,13.333333333333334,80,,,24.99,20.96,80,7,,0.3638676844783715,23.99,19.96,0,Bauhaus Brew Labs810091530498,Bauhaus Brew Labs,Bauhaus Brew Labs,0.5,False
Vibes Bomb Pop 10mg THC 4pk 12oz can,649696462886,10mg,THC,Beverages,,4pk 12oz can,6,Vibes,Nothing But Hemp LLC,,13.333333333333334,80,108,26.99,,0.5059898727923922,80,649696462886,96,20.99,17.96,12.86,12.86,Nothing But Hemp LLC649696462886,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,False
Vibes Mango Hybrid 5mg THC 4pk 12oz can,649275846564,,THC,Beverages,,4pk 12oz can,6,Vibes,Nothing But Hemp LLC,,0,0,,-0.01,,1,,649275846564,,20.99,11.86,0,0,Nothing But Hemp LLC649275846564,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,False
Vibes Peach 10mg THC 4pk 12oz can,649696346841,10mg,THC,Beverages,,4pk 12oz can,6,Vibes,Nothing But Hemp LLC,,13.333333333333334,80,108,26.99,,0.5059898727923922,80,VP060425,96,20.99,17.96,12.86,12.86,Nothing But Hemp LLC649696346841,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,False
Vibes Watermelon Kiwi 10mg THC 4pk 12oz can,649696406125,10mg,THC,Beverages,,4pk 12oz can,6,Vibes,Nothing But Hemp LLC,,12.333333333333334,74,93,22.99,,0.46353487023343476,74,VWK060425,87,20.99,17.96,12.86,12.86,Nothing But Hemp LLC649696406125,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,False
Vibes Wildberry Indica 10mg THC 4pk 12oz can,649696347794,10mg,THC,Beverages,,4pk 12oz can,6,Vibes,Nothing But Hemp LLC,,12.333333333333334,74,93,22.99,,0.46353487023343476,74,649696347794,87,20.99,17.96,12.86,12.86,Nothing But Hemp LLC649696347794,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,False
Wikid Sparkling Bramble 5mg THC 4pk 12oz can,850046271120,,THC,Beverages,,4pk 12oz can,6,Wikid,Bellboy Corporation,Case 1,11.666666666666666,70,80,0.125,20.99,17.96,70,9933002,80,0.350408314773571,22.99,17.96,0,Bellboy Corporation850046271120,Bellboy Corporation,Bellboy Corporation,0.5,False
Wikid Sparkling Mimosa 5mg THC 4pk 12oz can,850046271106,,THC,Beverages,,4pk 12oz can,6,Wikid,Bellboy Corporation,Case 1,11.666666666666666,70,80,0.125,20.99,17.96,70,9931002,80,0.350408314773571,20.99,17.96,0,Bellboy Corporation850046271106,Bellboy Corporation,Bellboy Corporation,0.5,False
Wikid Sparkling Paloma 5mg THC 4pk 12oz can,850046271113,,THC,Beverages,,4pk 12oz can,6,Wikid,Bellboy Corporation,Case 1,11.666666666666666,70,80,0.125,20.99,17.96,70,9932002,80,0.350408314773571,22.99,17.96,0,Bellboy Corporation850046271113,Bellboy Corporation,Bellboy Corporation,0.5,False
Wild State Birdie Blood Orange 10mg THC 4pk 12oz can,850018947411,10,THC,Beverages,,4pk 12oz can,6,Wild State Cider,Wild State Cider,,10.995,65.97,,,19.99,15.96,65.97,1,,0.31109022556390986,18.99,15.96,0,Wild State Cider850018947411,Wild State Cider,Wild State Cider,0.5,False
Wild State Birdie Grapefruit Twist 10mg THC 4pk 12oz can,850018947817,10,THC,Beverages,,4pk 12oz can,6,Wild State Cider,Wild State Cider,,10.995,65.97,,,19.99,15.96,65.97,850018947817,,0.31109022556390986,18.99,15.96,5.86,Wild State Cider850018947817,Wild State Cider,Wild State Cider,0.5,False
Wild State Birdie Moscow Mule 10mg THC 4pk 12oz can,850018947527,10,THC,Beverages,,4pk 12oz can,6,Wild State Cider,Wild State Cider,,10.995,65.97,,,19.99,15.96,65.97,3,,0.31109022556390986,19.99,15.96,,Wild State Cider850018947527,Wild State Cider,Wild State Cider,0.5,False
Wild State Birdie Trop Green Tea 10mg THC 4pk 12oz can,850018947718,10,THC,Beverages,,4pk 12oz can,6,Wild State Cider,Wild State Cider,,10.995,65.97,,,19.99,15.96,65.97,850018947718,,0.31109022556390986,18.99,15.96,0,Minny Grown860011669463,Minny Grown,Minny Grown,0.5,
Wyld Blackberry Lemon 10mg THC 4pk 12oz cans,810109863761,10,THC,Beverages,,4pk 12oz can,6,Wyld,Get Chai,,10.766666666666666,64.6,,,18.99,14.96,64.6,810109863761,,0.2803030303030304,18.99,14.96,0,Minny Grown860009899322,Minny Grown,Minny Grown,0.5,
Wyld Mango 10mg THC 4pk 12oz cans,810109863723,10,THC,Beverages,,4pk 12oz can,6,Wyld,Get Chai,,10.766666666666666,64.6,,,18.99,14.96,64.6,810109863723,,0.2803030303030304,18.99,14.96,0,Minny Grown850063284677,Minny Grown,Minny Grown,0.5,
Wyld Raspberry Lime 10mg THC 4pk 12oz can,810109863754,10,THC,Beverages,,4pk 12oz can,6,Wyld,Get Chai,,10.766666666666666,64.6,,,18.99,14.96,64.6,810109863754,,0.2803030303030304,18.99,14.96,0,Minny Grown860009899315,Minny Grown,Minny Grown,0.5,
Wyld Strawberry Guava 10mg THC 4pk 12oz cans,810109863747,10,THC,Beverages,,4pk 12oz can,6,Wyld,Get Chai,,10.766666666666666,64.6,,,18.99,14.96,64.6,810109863747,,0.2803030303030304,18.99,14.96,0,Minny Grown850063284653,Minny Grown,Minny Grown,0.5,
Wyld Watermelon 10mg THC 4pk 12oz cans,810109863730,10,THC,Beverages,,4pk 12oz can,6,Wyld,Get Chai,,10.766666666666666,64.6,,,18.99,14.96,64.6,810109863730,,0.2803030303030304,18.99,14.96,0,Minny Grown860009438095,Minny Grown,Minny Grown,0.5,
Wynk Lemonade Variety Pack 10mg THC 12pk 12oz can,198715683899,10,THC,Beverages,,12pk 12oz can,2,Wherehouse Beverage,Get Chai,Case 1 Upfront,18,36,36,,31.99,27.96,36,198715683899,,0.3562231759656653,33.49,27.96,0,Minny Grown850063284660,Minny Grown,Minny Grown,0.5,
Wynk Mandarin Pomelo 5mg THC 12pk 12oz can,198715172546,5,THC,Beverages,,6pk 12oz can,4,Wherehouse Beverage,Get Chai,Case 1 Upfront,8.375,33.5,33.5,,14.99,12.96,33.5,198715172546,,0.3537808641975309,14.99,12.96,0,Minny Grown860009438019,Minny Grown,Minny Grown,0.5,
Wynk Tangerine 5mg THC 6pk 12oz can,197644029709,5,THC,Beverages,,6pk 12oz can,4,Wherehouse Beverage,Get Chai,Case 1 Upfront,8.375,33.5,33.5,,14.99,14.96,33.5,197644029709,,0.44017379679144386,17.49,14.96,0,Minny Grown860010316498,Minny Grown,Minny Grown,0.5,
Wynk Variety Pack 5mg THC 12pk 12oz can,197644343683,5,THC,Beverages,,12pk 12oz can,2,Wherehouse Beverage,Get Chai,Case 1 Upfront,16.5,33,33,,29.99,27.96,33,197644343683,,0.40987124463519314,33.49,27.96,0,Get Chai197644343683,Get Chai,Get Chai,0.5,
You Betcha Coffee Crisp 5mg THC 10 Pack,051497424688,,THC,Edibles,,,10,You Betcha,"North Star Hemp, LLC",,10,100,,-0.01,,1001,100,051497424688,,,,,,"North Star Hemp, LLC051497424688","North Star Hemp, LLC","North Star Hemp, LLC",0.5,
You Betcha Day Time Pineapple Mango 6pk 12oz btl,810023141020,,THC,Beverages,,6pk 12oz btl,4,You Betcha,"North Star Hemp, LLC",,0,0,,-0.01,,1,,6,,,,,,"North Star Hemp, LLC810023141020","North Star Hemp, LLC","North Star Hemp, LLC",0.5,
You Betcha Daytime 5mg THC 4pk 12oz can,810023141006,5,THC,Beverages,,4pk 12oz can,6,You Betcha,"North Star Hemp, LLC",Blood Orange Lime (Orange),8.333333333333334,50,,0.23076923076923073,15.99,12.96,50,810023141006,65,0.35699588477366256,14.99,12.96,0,"North Star Hemp, LLC810023141006","North Star Hemp, LLC","North Star Hemp, LLC",0.5,
You Betcha Lemon Ginger Bar 10 Pack,051497242343,,THC,Edibles,,,10,You Betcha,"North Star Hemp, LLC",,10,100,,-0.01,,1001,100,4,,18.99,15.96,0,0,"North Star Hemp, LLC051497242343","North Star Hemp, LLC","North Star Hemp, LLC",0.5,
You Betcha Night Time Blackberry Lemon 6pk 12oz btl,810023141037,,THC,Beverages,,6pk 12oz btl,4,You Betcha,"North Star Hemp, LLC",,0,0,,-0.01,,1,,5,,,,,,"North Star Hemp, LLC810023141037","North Star Hemp, LLC","North Star Hemp, LLC",0.5,
CANN Blood Orange Cardamom 2mg THC 4pk 8oz can,810073083202,2,THC,Beverages,,8oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 130, get 10 NC",,,63.1,,,,54.1,1996601,63.1,,,,,,,,,
CANN Blood Orange Cardamom Liquid Pack 2mg THC .5oz,810073082632,2,THC,Beverages,,0.5oz,36,SoCali Manufacturing,Artisan Beer Company,"Buy 10, get 1 NC",,,70,,,,64,1731852,70,,,,,,,,,
CANN Cranberry Sage 2mg THC,810073083288,2,THC,Beverages,,8oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 130, get 10 NC",,,63.1,,,,54.1,1557709,63.1,,,,,,,,,
CANN Ginger Lemongrass Liquid Pack 2mg THC .5oz,810073083370,2,THC,Beverages,,0.5oz,36,SoCali Manufacturing,Artisan Beer Company,"Buy 10, get 1 NC",,,70,,,,64,1637314,70,,,,,,,,,
CANN Grapefruit Rosemary 2mg THC 4pk 8oz can,810073083226,2,THC,Beverages,,8oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 130, get 10 NC",,,63.1,,,,54.1,1647717,63.1,,,,,,,,,
CANN Grapefruit Rosemary Liquid Pack 2mg THC .5oz,810073082649,2,THC,Beverages,,0.5oz,36,SoCali Manufacturing,Artisan Beer Company,"Buy 10, get 1 NC",,,70,,,,64,1866972,70,,,,,,,,,
CANN Hi Boy Blood Orange Cardamom 5mg THC 4pk 12oz can,810073082793,5,THC,Beverages,,12oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 104, get 10 NC",,,72.15,,,,67.6,1420397,72.15,,,,,,,,,
CANN Hi Boy Cranberry Sage 5mg THC – Outgoing Seasonal,810073082892,5,THC,Beverages,,12oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 104, get 10 NC",,,72.15,,,,67.6,1117433,72.15,,,,,,,,,
CANN Hi Boy Ginger Lemongrass 5mg THC – New Seasonal,810073082991,5,,,,12oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 104, get 10 NC",,,72.15,,,,67.6,1658645,72.15,,,,,,,,,
CANN Hi Boy Grapefruit Rosemary 5mg THC 4pk 12oz can,810073082809,5,THC,Beverages,,12oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 104, get 10 NC",,,72.15,,,,67.6,1987369,72.15,,,,,,,,,
CANN Hi Boy Lemon Lavender 5mg THC 4pk 12oz can,810073082755,5,THC,Beverages,,12oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 104, get 10 NC",,,72.15,,,,67.6,1929295,72.15,,,,,,,,,
CANN Hi Boy Yuzu Elderflower 5mg THC 4pk 12oz can,810073083264,5,THC,Beverages,,12oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 104, get 10 NC",,,72.15,,,,67.6,1351714,72.15,,,,,,,,,
CANN Hi'er Boy Blood Orange Cardamom 10mg THC 4pk 12oz can,810073083646,10,THC,Beverages,,12oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 104, get 10 NC",,,81.15,,,,76.65,1830276,81.15,,,,,,,,,
CANN Hi'er Boy Ginger Lemongrass 10mg THC – New Seasonal,810073084094,10,,,,12oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 104, get 10 NC",,,81.15,,,,76.65,1660484,81.15,,,,,,,,,
CANN Hi'er Boy Grapefruit Rosemary 10mg THC 4pk 12oz can,810073083652,10,THC,Beverages,,12oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 104, get 10 NC",,,81.15,,,,76.65,1759504,81.15,,,,,,,,,
CANN Hi'er Boy Lemon Lavender 10mg THC 4pk 12oz can,810073083639,10,THC,Beverages,,12oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 104, get 10 NC",,,81.15,,,,76.65,1523163,81.15,,,,,,,,,
CANN Lemon Lavender 2mg THC 4pk 8oz can,810073083219,2,THC,Beverages,,8oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 130, get 10 NC",,,63.1,,,,54.1,1990860,63.1,,,,,,,,,
CANN Lemon Lavender Liquid Pack 2mg THC .5oz,810073082625,2,THC,Beverages,,0.5oz,36,SoCali Manufacturing,Artisan Beer Company,"Buy 10, get 1 NC",,,70,,,,64,1181713,70,,,,,,,,,
Cann Roadie Blood Orange Cardamom 2mg THC 0.5oz,810073082632,2,THC,Beverages,,,12,SOCALI Manufacturing Inc.,SOCALI Manufacturing Inc.,,,,,,,,270,,,,,,,,,,,
Cann Roadie Grapefruit Rosemary 2mg THC 0.5oz,810073082649,2,THC,Beverages,,,12,SOCALI Manufacturing Inc.,SOCALI Manufacturing Inc.,,,,,,,,270,,,,,,,,,,,
Cann Roadie Lemon Lavender 2mg THC 0.5oz,810073082625,2,THC,Beverages,,,12,SOCALI Manufacturing Inc.,SOCALI Manufacturing Inc.,,,,,,,,270,,,,,,,,,,,
CANN Variety Pack 2mg THC 12pk 8oz can,810073083042,2,THC,Beverages,,8oz,2,SoCali Manufacturing,Artisan Beer Company,"Buy 104, get 10 NC",,,52.6,,,,45.1,1703172,52.6,,,,,,,,,
CANN Yuzu Elderflower 2mg THC 4pk 8oz can,810073083554,2,THC,Beverages,,8oz,6,SoCali Manufacturing,Artisan Beer Company,"Buy 130, get 10 NC",,,63.1,,,,54.1,1409412,63.1,,,,,,,,,
CANN Yuzu Elderflower Liquid Pack 2mg THC .5oz,810073083455,2,THC,Beverages,,0.5oz,36,SoCali Manufacturing,Artisan Beer Company,"Buy 10, get 1 NC",,,70,,,,64,1759034,70,,,,,,,,,
Chill State Grapefruit Kush 4pk 16oz can,850018968034,,THC,Beverages,,4pk 16oz can,6,Chill State,"Capitol Beverage Sales, L.P.",,,,,,,,60,18651,72,,,,,,,,,
Chill State Pineapple Express 4pk 16oz can,850018968737,,THC,Beverages,,4pk 16oz can,6,Chill State,"Capitol Beverage Sales, L.P.",,,,,,,,60,18655,72,,,,,,,,,
Chill State Super Lemon Haze 10mg THC 4pk 16oz can,850018968744,10,THC,Beverages,,4pk 16oz can,6,Chill State,"Capitol Beverage Sales, L.P.",,,,,,,,66.66666666666667,18691,80,,,,,,,,,
