Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Cutwater Lemon Drop 4pk 12oz can,RTD,"Capitol Beverage Sales, L.P.",341,184.3,1.9,9.94,14.99,8.96,34,,827,2202,Stillwater:1;Cottage Grove:5;Andover:5;Minnetonka:7;Ramsey:8;Vadnais Heights:11;Blaine:15;Roseville:18;Woodbury:20;St. Louis Park:24;Osseo:25;Minneapolis:39;Chanhassen:43;Plymouth:44;Bloomington:75
White Claw Variety Pack #3 12pk 12oz can,Seltzer,,480,184.1,2.6,13.87,18.99,15.96,27,,823,2214,Osseo:9;Rosemount:23;Plymouth:23;Blaine:28;St. Louis Park:34;Andover:52;Ramsey:54;Stillwater:6;Roseville:12;Bloomington:17;Vadnais Heights:23;Chanhassen:24;Woodbury:32;Minneapolis:60;Cottage Grove:84
Modelo Especial 12pk 12oz can,Import,,371,159.8,2.3,13.3,16.99,15.96,22,,712,1934,Minneapolis:50;Vadnais Heights:2;Ramsey:2;Osseo:4;Minnetonka:6;Chanhassen:6;Roseville:8;Woodbury:12;Plymouth:19;Blaine:21;Rosemount:24;Andover:50;Cottage Grove:57;St. Louis Park:110
Michelob Ultra 12pk 12oz can,Super Premium,,329,159.8,2.1,12.07,14.99,12.96,19,,718,1907,Andover:5;Blaine:6;Minnetonka:7;Plymouth:11;Vadnais Heights:13;Minneapolis:18;Chanhassen:25;Ramsey:27;St. Louis Park:32;Bloomington:35;Osseo:36;Roseville:45;Cottage Grove:3;Rosemount:10;Stillwater:26;Woodbury:30
Carbliss Variety Pack 8pk 12oz can,RTD,"Capitol Beverage Sales, L.P.",312,159.0,2.0,16.49,22.49,18.96,27,,712,1908,Minnetonka:2;Stillwater:9;Osseo:11;Bloomington:15;Woodbury:21;Andover:23;Rosemount:24;Vadnais Heights:24;Chanhassen:43;Cottage Grove:51;Ramsey:66;Blaine:69;St. Louis Park:80;Roseville:106
Cutwater Lime Margarita 4pk 12oz can,RTD,"Breakthru Beverage Minnesota Beer, LLC",639,154.4,4.1,9.19,17.49,11.96,47,,698,1821,Cottage Grove:13;Stillwater:14;Woodbury:30;Chanhassen:34;Rosemount:54;Minneapolis:64;Minnetonka:10;Roseville:16;Andover:21;Osseo:23;Plymouth:28;St. Louis Park:39;Bloomington:58;Vadnais Heights:60;Ramsey:170
Modelo Especial 12pk 12oz btl,Import,"Breakthru Beverage Minnesota Beer, LLC",519,151.5,3.4,13.29,16.99,15.96,22,,656,1917,Minnetonka:3;Osseo:8;Plymouth:10;Cottage Grove:12;Roseville:23;Woodbury:28;St. Louis Park:30;Rosemount:31;Vadnais Heights:39;Andover:49;Blaine:55;Ramsey:60;Bloomington:72;Minneapolis:111
Miller Lite 24pk 16oz can,Premium,Bernicks,784,136.1,5.8,20.9,25.99,22.96,20,,589,1725,Minnetonka:5;St. Louis Park:11;Plymouth:15;Chanhassen:17;Rosemount:21;Stillwater:25;Andover:25;Roseville:31;Minneapolis:38;Bloomington:43;Vadnais Heights:43;Osseo:47;Woodbury:70;Ramsey:88;Blaine:111;Cottage Grove:194
Sun Cruiser Vodka Variety 8pk 12oz can,RTD,,532,128.8,4.1,14.66,21.99,16.96,33,,609,1401,Chanhassen:6;Bloomington:18;Roseville:21;Plymouth:21;Vadnais Heights:35;Blaine:59;Andover:91;Minneapolis:111;St. Louis Park:10;Rosemount:23;Ramsey:34;Woodbury:51;Cottage Grove:55
Carbliss Americana Variety Pack 8pk 12oz can,RTD,"College City Beverage, Inc.",254,126.8,2.0,18.05,22.49,18.96,20,,621,1281,Minneapolis:4;Chanhassen:7;Osseo:10;Roseville:12;Rosemount:13;St. Louis Park:18;Andover:25;Ramsey:27;Woodbury:29;Vadnais Heights:43;Blaine:72
Leinenkugel's Sum Shandy 12pk 12oz can,Craft,Bernicks,369,125.0,3.0,13.31,17.99,15.96,26,,597,1330,Minnetonka:4;Plymouth:6;Osseo:6;Andover:7;Rosemount:15;Bloomington:18;Vadnais Heights:18;Blaine:27;Ramsey:29;Minneapolis:38;Roseville:45;St. Louis Park:50;Cottage Grove:53;Chanhassen:57
White Claw Variety Pack  #2 12pk 12oz can,Seltzer,,461,121.3,3.8,13.86,18.99,15.96,27,,540,1469,Rosemount:13;St. Louis Park:34;Andover:48;Blaine:55;Stillwater:3;Minnetonka:6;Plymouth:12;Osseo:14;Bloomington:19;Vadnais Heights:21;Ramsey:23;Roseville:26;Chanhassen:31;Minneapolis:32;Cottage Grove:51;Woodbury:73
High Noon Variety Pack 12pk 12oz can,RTD,Johnson Brothers - St. Paul,170,119.4,1.4,22.14,32.99,27.96,33,6 bottles free on every 16cs of High Noon 12pk.  May/Aug 1/10,507,1556,Vadnais Heights:2;Plymouth:3;Ramsey:3;Minnetonka:3;Andover:4;Roseville:4;Osseo:9;Bloomington:9;Stillwater:10;Rosemount:12;Blaine:20;St. Louis Park:22;Cottage Grove:31;Minneapolis:38
