Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Leafy Georgia Peach Gummies 5mg THC 10 Pack,Edibles,Get Chai,879,116.1,7.6,3.13,11.49,9.96,73,60 Day Reorder Time,439,1756,Vadnais Heights:5;Plymouth:12;Minnetonka:16;Woodbury:17;Osseo:20;Roseville:27;Chanhassen:29;Minneapolis:30;Cottage Grove:40;Ramsey:62;Blaine:126;St. Louis Park:136;Andover:164;Bloomington:195
Gigli 10mg THC Variety Pack 12pk 12oz can,Beverages,Gigli MN LLC,841,111.6,7.5,23.5,43.49,32.96,46,"Buy a pallet, get 9cs of Gummies Free to hit invoice net of $47",491,1379,Minnetonka:21;Stillwater:30;Osseo:32;Rosemount:38;Cottage Grove:43;Woodbury:44;Chanhassen:45;Andover:45;Plymouth:46;Vadnais Heights:51;Ramsey:56;St. Louis Park:58;Blaine:68;Roseville:85;Bloomington:89;Minneapolis:90
Leafy Wildberry Gummies 5mg THC 10 Pack,Edibles,Get Chai,978,111.1,8.8,3.13,11.49,9.96,73,60 Day Reorder Time,407,1739,Minneapolis:13;Vadnais Heights:16;Osseo:19;Roseville:23;Minnetonka:24;Plymouth:26;Cottage Grove:29;Chanhassen:30;Woodbury:79;Blaine:81;Ramsey:101;Andover:147;St. Louis Park:171;Bloomington:219
Minny Grown Highbernate 2.0 10 Pack,Edibles,Bellboy Corporation,353,104.9,3.4,8.0,17.49,14.96,54,$200 order qty per store,446,1365,Minnetonka:5;Minneapolis:11;Andover:15;Bloomington:15;Blaine:16;Vadnais Heights:19;Cottage Grove:20;Woodbury:22;Osseo:26;St. Louis Park:27;Roseville:27;Ramsey:29;Rosemount:39;Chanhassen:83
Pappy's Gooseberry Dream Gummies 5mg THC 10 Pack,Edibles,Superior Molecular,3708,98.3,37.7,2.0,6.99,5.96,71,,459,1094,Bloomington:90;Rosemount:90;Andover:98;Plymouth:158;St. Louis Park:183;Osseo:235;Minnetonka:245;Cottage Grove:293;Ramsey:306;Woodbury:308;Vadnais Heights:308;Roseville:332;Chanhassen:332;Blaine:361;Minneapolis:369
Pappy's Arctic Blast Gummies 5mg THC 10 Pack,Edibles,Superior Molecular,4030,96.6,41.7,2.0,6.99,5.96,71,,450,1080,Bloomington:83;Roseville:111;Plymouth:179;St. Louis Park:196;Vadnais Heights:203;Osseo:260;Chanhassen:314;Rosemount:336;Minneapolis:341;Ramsey:342;Woodbury:353;Minnetonka:364;Blaine:366;Andover:582
Pappy's Black Cherry Lemonade Gummies 5mg THC 10 Pack,Edibles,Superior Molecular,3980,96.2,41.4,2.0,6.99,5.96,71,,432,1149,Bloomington:100;Vadnais Heights:109;Minneapolis:137;Roseville:161;St. Louis Park:215;Plymouth:228;Minnetonka:241;Osseo:262;Cottage Grove:287;Chanhassen:316;Rosemount:330;Woodbury:332;Ramsey:333;Blaine:352;Andover:577
Pappy's Honeycrisp Apple Gummies 5mg THC 10 Pack,Edibles,Superior Molecular,2789,91.4,30.5,2.0,6.99,5.96,71,,409,1098,Roseville:58;Bloomington:73;St. Louis Park:95;Rosemount:112;Minnetonka:129;Vadnais Heights:129;Chanhassen:155;Minneapolis:156;Plymouth:161;Andover:192;Osseo:261;Cottage Grove:294;Woodbury:309;Ramsey:327;Blaine:338
Minny Grown St. Croix Sunrise 10 Pack,Edibles,Bellboy Corporation,138,90.0,1.5,8.0,17.49,14.96,54,$200 order qty per store,391,1132,Plymouth:2;Roseville:3;Chanhassen:4;Minnetonka:5;Osseo:7;Cottage Grove:9;St. Louis Park:10;Minneapolis:16;Andover:19;Woodbury:21;Blaine:44
Looner 10mg THC Sodas Variety Pack 12pk 12oz can,Beverages,Global Reserve LLC,385,74.1,5.2,27.5,52.99,40.96,48,,332,887,Minnetonka:2;Stillwater:2;Cottage Grove:6;Minneapolis:9;Osseo:15;Bloomington:16;Plymouth:17;Vadnais Heights:18;Ramsey:19;St. Louis Park:28;Rosemount:30;Woodbury:31;Roseville:39;Andover:43;Chanhassen:45;Blaine:65
Looner Root Beer 10mg THC Soda 4pk 12oz can,Beverages,Global Reserve LLC,259,66.3,3.9,11.2,22.49,14.96,50,,280,870,Minnetonka:4;Bloomington:5;Rosemount:6;Cottage Grove:8;Chanhassen:12;Stillwater:12;Roseville:14;Ramsey:16;St. Louis Park:16;Plymouth:17;Osseo:17;Minneapolis:19;Vadnais Heights:23;Woodbury:25;Andover:27;Blaine:34
Minny Grown Highbernate 5mg THC 10 Pack,Edibles,Bellboy Corporation,324,66.0,4.9,8.0,17.49,14.96,54,$200 order qty per store,288,826,Andover:10;Cottage Grove:11;Osseo:11;Bloomington:11;Blaine:11;St. Louis Park:12;Vadnais Heights:15;Minnetonka:16;Chanhassen:17;Minneapolis:22;Woodbury:25;Rosemount:28;Ramsey:36;Plymouth:47;Roseville:52
Looner Wild Grape 10mg THC 4pk 12oz can,Beverages,Global Reserve LLC,274,65.5,4.2,11.2,22.49,14.96,50,,283,833,Minneapolis:2;Bloomington:4;Roseville:5;Minnetonka:5;Vadnais Heights:8;Rosemount:8;St. Louis Park:9;Ramsey:11;Chanhassen:12;Osseo:16;Cottage Grove:17;Plymouth:20;Stillwater:25;Woodbury:26;Andover:48;Blaine:52
Uncle Arnie's Variety Pack Sugar Free 10mg THC 12pk 12oz can,Beverages,"Capitol Beverage Sales, L.P.",531,62.3,8.5,26.4,41.99,34.96,37,,276,761,Cottage Grove:3;Stillwater:3;Chanhassen:11;Minnetonka:13;Vadnais Heights:16;Plymouth:23;Andover:39;Woodbury:41;Roseville:43;St. Louis Park:48;Rosemount:48;Osseo:53;Bloomington:57;Ramsey:57;Blaine:77
CLRTY Splash 10mg THC 3pk 10ml btl,Beverages,Clrty Company,336,57.5,5.8,6.5,12.99,9.96,50,Direct Buy,230,814,Plymouth:2;Rosemount:4;Minneapolis:10;Minnetonka:11;Vadnais Heights:14;Blaine:15;Chanhassen:22;Roseville:32;Ramsey:34;St. Louis Park:38;Osseo:65;Stillwater:89
Minny Grown Minny Apple 10 Pack,Edibles,Bellboy Corporation,222,56.8,3.9,8.0,17.49,14.96,54,$200 order qty per store,263,642,Ramsey:2;Andover:4;Minnetonka:7;Cottage Grove:11;Osseo:11;Vadnais Heights:12;Bloomington:12;St. Louis Park:12;Woodbury:13;Chanhassen:15;Roseville:19;Plymouth:24;Rosemount:25;Blaine:27;Minneapolis:28
Looner Professor Pepper 10mg THC 4pk 12oz can,Beverages,Global Reserve LLC,261,56.6,4.6,11.2,22.49,14.96,50,,242,730,St. Louis Park:8;Bloomington:9;Roseville:10;Minnetonka:10;Woodbury:10;Osseo:10;Ramsey:10;Chanhassen:11;Rosemount:12;Stillwater:14;Vadnais Heights:16;Minneapolis:18;Cottage Grove:19;Blaine:26;Andover:36;Plymouth:36
Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,Beverages,Gigli MN LLC,386,55.1,7.0,9.75,18.99,14.96,49,,240,691,Minneapolis:8;Osseo:11;Ramsey:13;Minnetonka:15;Stillwater:15;Woodbury:20;St. Louis Park:21;Chanhassen:22;Plymouth:24;Vadnais Heights:26;Andover:29;Cottage Grove:30;Rosemount:31;Blaine:34;Roseville:36;Bloomington:51
Leafy  0-Calorie Italian Cherry Sparkling Beverage 10mg 12oz can,Beverages,Get Chai,995,55.1,18.0,2.23,5.99,4.96,63,,242,683,Stillwater:22;Osseo:26;Chanhassen:35;St. Louis Park:37;Plymouth:43;Vadnais Heights:45;Roseville:55;Andover:57;Minneapolis:61;Ramsey:64;Woodbury:80;Minnetonka:82;Cottage Grove:87;Blaine:95;Rosemount:97;Bloomington:109
Gigli Blueberry Lemonade 10mg THC 4pk 12oz can,Beverages,Gigli MN LLC,325,54.9,5.9,9.75,18.99,14.96,49,,246,658,Ramsey:5;Minnetonka:8;Cottage Grove:12;Stillwater:16;Andover:16;Roseville:20;Vadnais Heights:20;Bloomington:22;Chanhassen:24;Woodbury:24;St. Louis Park:25;Rosemount:33;Plymouth:33;Minneapolis:33;Blaine:34
Looner Creme 10mg THC Soda 4pk 12oz can,Beverages,Global Reserve LLC,240,54.0,4.5,11.2,22.49,14.96,50,,221,740,Minnetonka:7;Cottage Grove:7;Osseo:7;St. Louis Park:7;Vadnais Heights:8;Bloomington:10;Minneapolis:10;Roseville:12;Chanhassen:12;Plymouth:13;Woodbury:19;Ramsey:19;Rosemount:26;Andover:26;Blaine:26;Stillwater:27
TBD Green Tea Lemonade 10mg THC 12oz can,Beverages,Get Chai,851,53.7,15.8,3.2,7.99,6.96,60,,225,714,Cottage Grove:18;Plymouth:20;Minnetonka:27;Stillwater:27;Minneapolis:30;Osseo:31;Rosemount:40;St. Louis Park:48;Roseville:55;Woodbury:55;Ramsey:73;Chanhassen:94;Blaine:95;Bloomington:119;Vadnais Heights:121
Minny Grown BlueBeary 10 Pack,Edibles,Bellboy Corporation,260,51.7,5.0,8.0,17.49,14.96,54,$200 order qty per store,232,617,Vadnais Heights:2;Minnetonka:4;Stillwater:5;Bloomington:8;Minneapolis:8;Cottage Grove:10;Andover:10;Chanhassen:14;Ramsey:15;Roseville:16;Osseo:23;Woodbury:25;Blaine:25;Plymouth:26;Rosemount:27;St. Louis Park:42
Wild State Lil Birdie Wild Berry Lemonade Shot 10mg 2oz shot,Beverages,Wild State Cider,1624,51.6,31.5,1.67,3.99,3.46,58,,215,691,Minnetonka:20;Stillwater:30;Blaine:37;Chanhassen:38;Plymouth:51;Rosemount:57;Minneapolis:63;Osseo:90;Roseville:96;Bloomington:117;St. Louis Park:118;Vadnais Heights:138;Ramsey:198;Woodbury:202;Andover:369
Leafy Caramel Macchiato Latte 10mg 12oz can,Beverages,Get Chai,1058,51.5,20.5,2.23,5.99,4.96,63,60 Day Reorder Time,225,643,Stillwater:19;Minnetonka:25;Osseo:28;St. Louis Park:29;Vadnais Heights:31;Minneapolis:36;Plymouth:36;Chanhassen:54;Cottage Grove:62;Woodbury:68;Andover:75;Blaine:89;Ramsey:100;Bloomington:103;Roseville:139;Rosemount:164
Looner Sweet Orange 10mg THC Soda 4pk 12oz can,Beverages,Global Reserve LLC,251,49.6,5.1,11.2,22.49,14.96,50,,218,612,St. Louis Park:1;Cottage Grove:5;Bloomington:8;Chanhassen:8;Roseville:9;Vadnais Heights:9;Rosemount:10;Plymouth:14;Minnetonka:14;Stillwater:14;Woodbury:15;Ramsey:17;Osseo:22;Blaine:28;Andover:30;Minneapolis:43
THC Mystery Box 12pk,Beverages,Artisan Beer,15,48.9,0.3,8.0,13.99,11.96,43,,286,286,Woodbury:2;Cottage Grove:4;Rosemount:9
Minny Grown Berry Bliss 10 Pack,Edibles,Bellboy Corporation,290,47.0,6.2,8.0,17.49,14.96,54,$200 order qty per store,203,598,Bloomington:1;Osseo:5;Cottage Grove:6;Ramsey:11;Vadnais Heights:11;Roseville:11;Andover:12;Minnetonka:13;Chanhassen:19;Rosemount:21;Woodbury:21;Minneapolis:22;Blaine:34;Plymouth:41;St. Louis Park:62
Leafy  0-Calorie Wild Strawberry Sparkling Beverage 10mg 12oz can,Beverages,Get Chai,1024,46.8,21.9,2.23,5.99,4.96,63,,212,550,Stillwater:8;St. Louis Park:18;Osseo:29;Andover:42;Vadnais Heights:43;Minnetonka:43;Plymouth:45;Chanhassen:52;Roseville:56;Ramsey:68;Rosemount:68;Woodbury:80;Minneapolis:104;Bloomington:113;Blaine:124;Cottage Grove:131
Gigli Sour Fruit 5mg THC 10 Pack,Edibles,Gigli MN LLC,237,46.1,5.1,5.0,11.99,9.96,58,,195,603,Vadnais Heights:2;Minnetonka:2;Chanhassen:4;Ramsey:6;Stillwater:9;Cottage Grove:9;Plymouth:10;Rosemount:13;Osseo:19;Woodbury:22;Blaine:25;St. Louis Park:27;Roseville:35;Minneapolis:54
Minny Grown Peach 10 Pack,Edibles,Bellboy Corporation,276,46.0,6.0,8.0,17.49,14.96,54,$200 order qty per store,200,577,Ramsey:4;Chanhassen:4;Minnetonka:6;Osseo:6;Cottage Grove:8;Andover:9;Bloomington:12;Vadnais Heights:18;St. Louis Park:18;Rosemount:24;Woodbury:25;Plymouth:32;Blaine:34;Minneapolis:37;Roseville:39
Granny's Orange Creamsicle 5mg THC Gummies 10pk,Edibles,"Capitol Beverage Sales, L.P.",167,44.7,3.7,5.7,9.99,7.96,43,,216,466,Rosemount:2;Bloomington:2;Chanhassen:4;Vadnais Heights:5;Blaine:6;Ramsey:6;Cottage Grove:10;Osseo:12;Roseville:12;Minneapolis:13;Andover:15;Plymouth:25;St. Louis Park:26;Minnetonka:29
Odder Variety Pack 10mg THC 9pk 12oz can,Beverages,Wild State Cider,166,44.4,3.7,14.0,22.99,20.96,39,Pallet Orders,219,443,Rosemount:2;Minnetonka:3;Vadnais Heights:3;Chanhassen:5;Osseo:6;Minneapolis:7;Ramsey:8;St. Louis Park:10;Woodbury:11;Blaine:12;Bloomington:13;Plymouth:14;Roseville:15;Andover:17;Cottage Grove:18;Stillwater:22
Bent Paddle Puff Puff Pass Variety 10mg THC 12pk 12oz can,Beverages,Bent Paddle Brewing Co,175,44.4,3.9,22.5,42.99,33.96,48,,201,523,Stillwater:2;Plymouth:2;Woodbury:5;Osseo:7;Minneapolis:8;Minnetonka:8;Roseville:8;Ramsey:8;Vadnais Heights:8;St. Louis Park:9;Blaine:10;Cottage Grove:14;Chanhassen:14;Bloomington:17;Andover:20;Rosemount:35
Uncle Arnie's Zen Green Tea 10mg THC 4pk 12oz can,Beverages,"Capitol Beverage Sales, L.P.",312,43.8,7.1,10.0,17.49,14.96,43,,185,576,Ramsey:2;Plymouth:2;St. Louis Park:3;Chanhassen:3;Minneapolis:6;Vadnais Heights:6;Cottage Grove:6;Minnetonka:7;Rosemount:7;Andover:8;Stillwater:13;Roseville:15;Osseo:17;Bloomington:28;Blaine:63;Woodbury:126
Happy Duck Tangerine 10mg THC 4pk 12oz can,Beverages,Happy Duck LLC,131,42.7,3.1,5.83,10.99,9.96,47,15c,216,399,Minnetonka:4;Roseville:4;Chanhassen:5;Vadnais Heights:6;Andover:6;Plymouth:7;Cottage Grove:8;Minneapolis:8;Osseo:8;Rosemount:8;St. Louis Park:8;Blaine:8;Woodbury:11;Stillwater:12;Bloomington:28
Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,Beverages,Gigli MN LLC,332,41.3,8.0,9.75,18.99,14.96,49,,184,500,Minnetonka:12;Stillwater:13;Ramsey:13;Osseo:15;Bloomington:15;Rosemount:15;Chanhassen:17;Cottage Grove:18;Andover:21;Vadnais Heights:21;Woodbury:24;Minneapolis:25;Roseville:28;Plymouth:29;St. Louis Park:30;Blaine:36
Birch's Ginger Ale Seltzer 10mg THC 4pk 12oz can,Beverages,Birch's on the Lake,208,41.3,5.0,8.0,17.49,14.96,54,,170,562,Plymouth:0;Rosemount:2;Minneapolis:3;Roseville:5;Blaine:5;Cottage Grove:5;Andover:6;St. Louis Park:7;Woodbury:10;Chanhassen:15;Stillwater:17;Vadnais Heights:18;Ramsey:18;Osseo:30;Minnetonka:31;Bloomington:32
Happy Duck Bomba 10mg THC 4pk 12oz can,Beverages,Happy Duck LLC,137,40.8,3.4,5.83,10.99,9.96,47,15c,201,406,Cottage Grove:2;Roseville:2;Stillwater:5;Blaine:6;Minneapolis:7;Vadnais Heights:10;Osseo:12;Woodbury:12;Andover:13;Plymouth:20;Chanhassen:26;Bloomington:27
Uncle Arnie's Rasp Lemonade 10mg THC 4pk 12oz can,Beverages,"Capitol Beverage Sales, L.P.",305,40.5,7.5,10.0,17.49,14.96,43,,174,520,Stillwater:1;Chanhassen:7;Minnetonka:7;Plymouth:8;Ramsey:9;Woodbury:12;Minneapolis:12;Vadnais Heights:16;Osseo:16;Rosemount:16;Roseville:20;St. Louis Park:21;Bloomington:27;Blaine:51;Andover:82
Minny Grown Watermelon 10 Pack,Edibles,Bellboy Corporation,252,39.8,6.3,8.0,17.49,14.96,54,$200 order qty per store,187,437,Minnetonka:2;Cottage Grove:4;Roseville:5;Minneapolis:5;Ramsey:8;Andover:11;Chanhassen:12;Osseo:17;Blaine:18;Bloomington:21;Rosemount:22;Vadnais Heights:23;Plymouth:26;St. Louis Park:36;Woodbury:42
Minny Grown Lemon Drop-let's 4pk 12oz can,Beverages,Bellboy Corporation,195,39.1,5.0,11.0,19.99,16.96,45,$200 order qty per store,173,477,Osseo:4;Plymouth:5;Ramsey:5;Minneapolis:6;Stillwater:8;Cottage Grove:9;Andover:10;Bloomington:10;Minnetonka:12;Woodbury:12;Chanhassen:13;Vadnais Heights:15;Blaine:16;Rosemount:18;Roseville:21;St. Louis Park:31
Wynk Lemonade Variety Pack 10mg THC 12pk 12oz can,Beverages,Johnson Brothers - St. Paul,291,38.8,7.5,20.55,33.49,27.96,39,,168,492,Cottage Grove:1;Chanhassen:2;Stillwater:4;Minnetonka:6;Osseo:6;Andover:8;St. Louis Park:11;Minneapolis:17;Ramsey:19;Plymouth:22;Rosemount:34;Blaine:36;Roseville:36;Vadnais Heights:42;Woodbury:47
Tempter's Variety Pack 10mg THC 6pk 12oz can,Beverages,"Capitol Beverage Sales, L.P.",270,38.3,7.1,16.0,27.99,24.96,43,,169,469,Chanhassen:4;Osseo:4;Plymouth:12;Andover:15;Roseville:15;Minneapolis:16;Vadnais Heights:20;Ramsey:20;Minnetonka:23;St. Louis Park:38;Blaine:47;Cottage Grove:3;Rosemount:4;Woodbury:12;Stillwater:37
Granny's Rainbow Sherbet 5mg THC Gummies 10pk,Edibles,"Capitol Beverage Sales, L.P.",153,37.9,4.0,5.7,9.99,7.96,43,,180,408,Rosemount:1;Plymouth:3;Ramsey:4;Cottage Grove:4;Blaine:5;Roseville:6;Woodbury:8;Osseo:9;Vadnais Heights:10;Andover:18;Minnetonka:20;Chanhassen:21;St. Louis Park:45
Uncle Arnie's Cherry Limeade 10mg THC 4pk 12oz can,Beverages,"Capitol Beverage Sales, L.P.",248,37.7,6.6,10.0,17.49,14.96,43,,161,486,Cottage Grove:4;Ramsey:4;Plymouth:5;Stillwater:5;Minnetonka:6;Rosemount:6;Chanhassen:10;Vadnais Heights:11;Woodbury:14;Minneapolis:17;Osseo:17;Andover:18;Bloomington:28;St. Louis Park:32;Roseville:33;Blaine:38
Leafy Sparkling Wild Cherry 10mg THC 12oz can,Beverages,Get Chai,1112,37.1,30.0,2.23,5.99,4.96,63,60 Day Reorder Time,156,491,Roseville:17;Ramsey:25;Andover:28;Stillwater:29;Minneapolis:33;Minnetonka:40;Plymouth:48;St. Louis Park:54;Woodbury:71;Rosemount:77;Vadnais Heights:95;Blaine:99;Osseo:103;Cottage Grove:117;Bloomington:118;Chanhassen:158
Leafy Sweet Vanilla Latte 10mg 12oz can,Beverages,Get Chai,776,36.8,21.1,2.23,5.99,4.96,63,,170,419,Chanhassen:18;Minnetonka:19;St. Louis Park:21;Minneapolis:26;Stillwater:29;Plymouth:34;Woodbury:36;Andover:37;Osseo:40;Vadnais Heights:42;Roseville:52;Cottage Grove:55;Blaine:79;Ramsey:79;Rosemount:89;Bloomington:120
Tempter's Citrus 10mg 4pk 12oz can,Beverages,"Capitol Beverage Sales, L.P.",245,36.8,6.7,10.67,18.99,15.96,44,,158,473,Cottage Grove:1;Roseville:3;Minneapolis:4;Chanhassen:5;Osseo:6;Woodbury:7;Vadnais Heights:7;Ramsey:8;Plymouth:12;Minnetonka:17;Stillwater:18;Rosemount:19;St. Louis Park:22;Bloomington:29;Andover:33;Blaine:49
Uncle Arnie's Variety Pack 10mg THC 12pk 12oz can,Beverages,"Capitol Beverage Sales, L.P.",426,35.4,12.0,26.4,41.99,34.96,37,,153,450,Minnetonka:3;Chanhassen:7;Ramsey:8;Cottage Grove:8;Osseo:11;Woodbury:13;Plymouth:16;Minneapolis:16;Rosemount:22;Vadnais Heights:23;St. Louis Park:25;Stillwater:32;Andover:38;Blaine:58;Roseville:71;Bloomington:75
Brez 5mg THC Shots 2oz,Beverages,Bellboy Corporation,1067,35.4,30.2,2.5,7.99,4.46,69,,163,404,Plymouth:11;Andover:12;Vadnais Heights:18;Rosemount:21;Osseo:24;Minneapolis:27;Minnetonka:41;Roseville:58;Woodbury:61;Chanhassen:79;Blaine:82;Stillwater:90;Cottage Grove:93;Ramsey:96;Bloomington:125;St. Louis Park:229
Uncle Arnie's Watermelon Wave 10mg THC 4pk 12oz can,Beverages,"Capitol Beverage Sales, L.P.",295,34.7,8.5,10.0,17.49,14.96,43,,150,440,Cottage Grove:2;Ramsey:4;Stillwater:4;Osseo:5;Plymouth:6;Vadnais Heights:7;Chanhassen:8;St. Louis Park:10;Minnetonka:12;Roseville:13;Andover:16;Minneapolis:24;Bloomington:27;Woodbury:27;Rosemount:31;Blaine:99
Minny Grown Mango 10 Pack,Edibles,Bellboy Corporation,218,34.5,6.3,8.0,17.49,14.96,54,$200 order qty per store,152,426,Vadnais Heights:1;Ramsey:5;Cottage Grove:7;Osseo:8;Andover:10;Bloomington:10;Minnetonka:14;Minneapolis:16;Chanhassen:18;Roseville:22;Rosemount:22;Blaine:25;Plymouth:26;Woodbury:34
Plift Variety Pack 12pk 7.5oz can 10mg THC,Beverages,"Capitol Beverage Sales, L.P.",305,33.0,9.2,23.04,40.99,32.96,44,,140,430,Chanhassen:1;Osseo:2;Minneapolis:4;Stillwater:4;Minnetonka:5;Cottage Grove:6;Woodbury:10;Plymouth:12;Vadnais Heights:14;Blaine:14;Ramsey:19;Rosemount:22;Roseville:25;Andover:29;St. Louis Park:31;Bloomington:107
Birch's Cherry Seltzer 10mg THC 4pk 12oz can,Beverages,Birch's on the Lake,278,32.6,8.6,8.0,17.49,14.96,54,,142,408,Woodbury:1;Cottage Grove:1;Vadnais Heights:6;Osseo:8;Stillwater:8;Minneapolis:9;Ramsey:9;Minnetonka:12;Rosemount:16;Chanhassen:28;Blaine:29;Bloomington:34;Plymouth:36;Andover:36;St. Louis Park:42
Looner Diet Professor Pepper 10mg 4pk 12oz can,Beverages,Global Reserve LLC,120,31.9,3.8,11.2,22.49,14.96,50,,186,188,Bloomington:1;Chanhassen:4;Rosemount:4;Andover:5;Minneapolis:6;Minnetonka:7;Plymouth:8;Cottage Grove:9;Roseville:10;Stillwater:12;Woodbury:12;Blaine:13;Osseo:14;Ramsey:15
