Store,Supplier,Item,Product Code,Store OH,WOS,Order Cases,Order Units,Unit Cost,Order $
Andover,Johnson Brothers - St. Paul,Black Box Pinot Grigio 3L Box,081434000224,33,2.2,5,30,16.32,490.0
Andover,Johnson Brothers - St. Paul,Josh Cellars Pinot Grigio 750ml,031259001456,24,2.2,2,24,8.91,214.0
Andover,Johnson Brothers - St. Paul,Andre Brut 750ml,085000007433,7,2.3,1,12,5.26,63.0
Andover,Johnson Brothers - St. Paul,Black Box Red Elegance 3L Box,081434700193,11,2.4,2,12,15.8,190.0
Andover,Johnson Brothers - St. Paul,Josh Cellars Seaswept White Blend 750ml,031259005348,9,2.4,1,12,8.91,107.0
Andover,Johnson Brothers - St. Paul,Coppola Diamond Pinot Noir 750ml,739958014509,11,2.4,1,12,11.99,144.0
Andover,Johnson Brothers - St. Paul,Black Box Cab Sauv 3L Box,081434000033,28,2.7,3,18,12.17,219.0
Andover,Johnson Brothers - St. Paul,Josh Cellars Zinfandel 750ml,031259049229,2,2.9,1,12,10.29,123.0
Andover,Johnson Brothers - St. Paul,Black Box Buttery Chardonnay 3L Box,085000033371,9,3.0,1,6,13.49,81.0
Andover,Johnson Brothers - St. Paul,Barefoot Pinot Grigio Tetra 500ml,085000028414,5,3.1,1,12,3.0,36.0
Andover,Johnson Brothers - St. Paul,Barefoot Merlot 750ml,018341751109,8,3.4,1,12,4.41,53.0
Andover,Johnson Brothers - St. Paul,Black Box Pinot Grigio 500ml,081434700209,17,3.5,1,12,3.33,40.0
Andover,Johnson Brothers - St. Paul,Nobilo Sauv Blanc 750ml,081434315304,5,3.6,1,12,7.34,88.0
Andover,Johnson Brothers - St. Paul,Relax Riesling 750ml,088474022407,40,3.6,1,12,7.02,84.0
Andover,Johnson Brothers - St. Paul,Barefoot Pink Moscato 1.5L,085000020609,6,3.7,1,6,7.73,46.0
Andover,Libation Project,Kuranui Sauvignon Blanc 750ml,604331008386,0,0.0,1,12,8.06,97.0
Andover,Libation Project,Piazza Grande Lambrusco Spuman 750ml,854657002937,0,0.0,1,12,9.3,112.0
Andover,"Maverick Beverage Co., LLC - MN",Les Allies Pinot Noir 750ml,763955412297,4,2.1,1,12,7.51,90.0
Andover,"Maverick Beverage Co., LLC - MN",Riley's Lookout Sauvignon Blanc 750ml,9419453000313,3,2.6,1,12,8.67,104.0
Andover,"New France Wine Co, Inc",The Hilt Estate Pinot Noir 750ml,816068010246,1,2.1,1,12,27.56,331.0
Andover,Oxford Street Merchants,Quilt Reserve Cabernet Sauvignon 750ml,859889006111,0,0.0,1,6,71.92,432.0
Andover,Oxford Street Merchants,StoneStreet Cabernet 750ml,737038001500,0,0.0,1,6,30.35,182.0
Andover,Oxford Street Merchants,Roederer Estate Brut 750ml,097546102008,0,0.0,1,12,18.99,228.0
Andover,Oxford Street Merchants,Raeburn Chardonnay 750ml,851718000970,0,0.0,1,12,10.7,128.0
Andover,Oxford Street Merchants,Portlandia Cabernet 750ml,182442000487,1,0.7,1,12,11.07,133.0
Andover,Oxford Street Merchants,Pizzolato Muse Moscato 750ml,185554000963,1,1.1,1,12,9.54,114.0
Andover,Oxford Street Merchants,Pizzolato Muse Prosecco 187ml,185554000000,2,1.2,1,24,3.38,81.0
Andover,Oxford Street Merchants,Nave Sur Verdejo Rueda,8414219019807,1,2.1,1,12,5.33,64.0
Andover,Oxford Street Merchants,Angeline Pinot Noir 750ml,729722700127,24,2.8,1,12,4.59,55.0
Andover,Oxford Street Merchants,Piper Heidsieck Brut 750ml,667505000470,2,2.9,1,6,37.33,224.0
Andover,Oxford Street Merchants,Risata Moscato d'Asti 187ml,084279002507,2,2.9,1,24,2.82,68.0
Andover,Oxford Street Merchants,Risata Red Moscato 750ml,084279999951,3,3.2,1,12,11.03,132.0
Andover,Paustis Wine,Provisions Cabernet 3L Box,848375002751,0,0.0,1,4,12.95,52.0
Andover,Paustis Wine,Winehaven Strawberry Rhubarb,052392122082,0,0.0,1,12,10.67,128.0
Andover,Paustis Wine,La Cacciatora Barbera D'Asti 750ml,8004300105542,0,0.0,1,12,6.24,75.0
Andover,Paustis Wine,Red Quartz Pinot Noir 750ml,817597020218,0,0.0,1,12,6.43,77.0
Andover,Paustis Wine,Cantina Zaccagnini Montepulciano d'Abruz,089475501014,0,0.0,1,12,11.51,138.0
Andover,Paustis Wine,Scotto Family Cellars CA Pinot Noir 750ml,684586010020,0,0.0,2,24,6.24,150.0
Andover,Paustis Wine,Papi Sauvignon Blanc 750ml,893828001010,0,0.0,2,24,4.41,106.0
Andover,Paustis Wine,Papi Chardonnay 750ml,853936007687,0,0.0,2,24,4.4,106.0
Andover,Paustis Wine,Papi Malbec 750ml,853936007441,1,0.4,1,12,4.4,53.0
Andover,Paustis Wine,Silk & Spice Red Blend 750ml,739949026320,1,0.9,1,12,8.98,108.0
Andover,Paustis Wine,Papi Rose 750ml,853936007427,4,1.9,1,12,4.4,53.0
Andover,Paustis Wine,Natural Origins Cabernet 3L Box,879716002024,2,2.1,1,6,17.05,102.0
Andover,Paustis Wine,Papi Sweet Apple 750ml,850061597106,4,2.1,1,12,4.4,53.0
Andover,Paustis Wine,Libretto Pinot Gris 750ml,400000014296,7,2.5,1,12,4.57,55.0
Andover,Paustis Wine,Bread & Butter Cab Sauv 750ml,818051020744,5,2.7,1,12,9.03,108.0
Andover,Paustis Wine,Papi Pinot Grigio 750ml,858962004099,31,2.8,2,24,4.4,106.0
Andover,Paustis Wine,Our Daily Red 750ml,791784901736,2,2.9,1,12,5.7,68.0
Andover,Paustis Wine,Bread & Butter Sauvignon Blanc 750ml,818051021956,3,3.2,1,12,9.33,112.0
Andover,Paustis Wine,Scotto Family Cellars Lodi Cabernet Sauvignon 750ml,684586905128,9,3.5,1,12,6.24,75.0
Andover,Paustis Wine,Bread & Butter Rose 750ml,818051021611,7,3.8,1,12,8.24,99.0
Andover,Phillips Wine & Spirits - St. Paul,Fre Chardonnay N/A 187ml 4pk,196383001946,0,0.0,1,6,7.67,46.0
Andover,Phillips Wine & Spirits - St. Paul,Fre Cabernet Sauvignon N/A 187ml 4pk,196383001915,0,0.0,2,12,7.67,92.0
Andover,Phillips Wine & Spirits - St. Paul,Barone Fini Pinot Grigio 750ml,031259021911,1,0.9,1,12,8.3,100.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Pinot Noir 3L Box,082242012362,3,1.2,3,9,14.67,132.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Breeze Sauvignon Blanc 3L Box,082242016827,3,1.2,3,9,14.67,132.0
Andover,Phillips Wine & Spirits - St. Paul,Fleurs De Prairie Rose 750ml,031259002583,1,1.4,1,12,10.67,128.0
Andover,Phillips Wine & Spirits - St. Paul,Daily's Strawberry RTD Frozen 10oz,074806184202,4,1.4,1,24,1.61,39.0
Andover,Phillips Wine & Spirits - St. Paul,Sutter Home White Zinfandel 187ml,08500928,4,1.7,1,6,4.89,29.0
Andover,Phillips Wine & Spirits - St. Paul,Joel Gott Cab Sauvignon 750ml,188985000137,7,1.7,1,12,5.83,70.0
Andover,Phillips Wine & Spirits - St. Paul,Sutter Home Cab Sauv 187ml,08500520,4,1.9,1,6,4.92,30.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Nighthawk GD Chardonnay 3L Box,082242015691,3,2.1,1,3,14.67,44.0
Andover,Phillips Wine & Spirits - St. Paul,Rancho La Gloria Strawberry Margarita RT 1.5L,861518002654,2,2.1,1,6,10.67,64.0
Andover,Phillips Wine & Spirits - St. Paul,Yellow Tail Chardonnay 1.5L,031259008936,8,2.1,2,12,5.19,62.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Nighthawk GD Chardonnay 500ml,082242016148,1,2.1,1,12,3.33,40.0
Andover,Phillips Wine & Spirits - St. Paul,SeaGlass Pinot Gris 750ml,085200005796,3,2.1,1,12,7.04,84.0
Andover,Phillips Wine & Spirits - St. Paul,Sutter Home Chardonnay 187ml,08500627,7,2.5,1,6,4.8,29.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Breeze Pinot Grigio 3L Box,082242016780,2,2.9,1,3,14.67,44.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Breeze Dry Rose 3L Box,082242016773,3,3.2,1,3,14.67,44.0
