Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail Calc,Club Override,GM%,Buy Month Invoice,Effective Date,Notes,Non-Buy Month Invoice,Reorder Point,Item Number,Net Case EO,Net Cs EO/Unit,Retail Override,Avg Retail,Avg Club,Markup,Buy Months,Case 1 on Spirits Tab,Buy Month Invoice on Spirits Tab,Net Case on Spirits Tab,Diff b/w Case 1,Diff b/w Net Case,Diff Item Number,Units On Hand Across Chain,Netsuite Name,Color
MALIBU CKTL PINEAP BAY BRZ14CAN4P,089540535692,Liquor,355ML,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,7.313333333333333,43.879999999999995,51.45,10.99,9.96,0.2657295850066936,43.08,2026-04-01 00:00:00,,43.08,,525494,43.879999999999995,7.313333333333333,11.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
MALIBU CKTL RUM PUNCH 25,089540520032,Liquor,1.75L,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,15.299999999999999,91.8,91,19.99,20.96,0.2700381679389314,91,2026-04-01 00:00:00,,91,,349102,91.8,15.299999999999999,24.99,21.99,0,0.3,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
MALIBU CKTL STRWBRY DAIQ 14CAN6/4P,089540535685,Liquor,355ML,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,7.313333333333333,43.879999999999995,51.45,10.99,9.96,0.2657295850066936,43.08,2026-04-01 00:00:00,,43.08,,596119,43.879999999999995,7.313333333333333,11.99,12.49,10.96,0.3,,,,,,,,1,Southern Glazer's Wine & Spirits of MN,
MALIBU CKTL WTRMLN MOJITO 14CAN4P,089540535715,Liquor,355ML,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,7.313333333333333,43.879999999999995,51.45,10.99,9.96,0.2657295850066936,43.08,2026-04-01 00:00:00,,43.08,,525493,43.879999999999995,7.313333333333333,11.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
Malibu Pink Rum 1.75L,089540536538,Liquor,1.75L,6,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,15.689083333333334,94.1345,156.95,33.99,20.96,0.29123330152671756,126,2026-04-01 00:00:00,,105,,683792,89.1345,14.85575,24.99,25.99,21.96,0.3,,,,,,,,43,Southern Glazer's Wine & Spirits of MN,
Malibu Pink Rum 750ml,089540536521,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,11.127875000000003,133.53450000000004,176.4,18.99,14.96,0.2840101381461676,165.4,2026-04-01 00:00:00,,147.55,,683372,128.5345,10.711208333333333,17.99,18.99,16.96,0.3,,,,,,,,110,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM BLACK 70,89540520100,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,11.127875000000003,133.53450000000004,176.4,18.99,14.96,0.2840101381461676,165.4,2026-04-01 00:00:00,,147.55,,306139,128.5345,10.711208333333333,17.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM BLACK 70,089540520162,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,12.634541666666669,151.61450000000002,194.4,20.99,16.96,0.27960642688679244,183.48,2026-04-01 00:00:00,,161.16,,306141,146.61450000000002,12.217875000000001,19.99,21.99,0,0.3,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM BLACK 70 PET,089540520155,Liquor,1.75L,6,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,15.689083333333334,94.1345,156.95,33.99,20.96,0.29123330152671756,126,2026-04-01 00:00:00,,105,,910775,89.1345,14.85575,24.99,26.99,22.96,0.3,,,,,,,,16,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM COCONUT 42,089540466446,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,11.127875000000003,133.53450000000004,176.4,18.99,14.96,0.2840101381461676,165.4,2026-04-01 00:00:00,,147.55,,33452,128.5345,10.711208333333333,17.99,17.99,14.96,0.3,,,,,,,,158,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM COCONUT 42,089540448978,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,12.634541666666669,151.61450000000002,194.4,20.99,16.96,0.27960642688679244,183.48,2026-04-01 00:00:00,,161.16,,33451,146.61450000000002,12.217875000000001,19.99,20.99,17.96,0.3,,,,,,,,196,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM COCONUT 42 PET,089540449326,Liquor,1.75L,6,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,15.689083333333334,94.1345,156.95,33.99,20.96,0.29123330152671756,126,2026-04-01 00:00:00,,105,,136168,89.1345,14.85575,24.99,22.99,17.96,0.3,,,,,,,,207,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM COCONUT 42 PET,089540449036,Liquor,375ML,24,PERNOD RICARD USA,Southern Wine & Spirits,,ALL,7.053333333333334,169.28,192.95,11.99,9.96,0.2918340026773762,168.48,2026-04-01 00:00:00,,168.48,,67449,169.28,7.053333333333334,11.99,13.79,11.96,0.5,,,,,,,,168,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM COCONUT 42 PET 12/10PK,089540453927,Liquor,50ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,ALL,10.866666666666667,130.4,141.3,17.99,14.96,0.2736185383244207,129.6,2026-04-01 00:00:00,,129.6,,185864,130.4,10.866666666666667,17.99,,,0.5,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM COCONUT 42(USA),89540448992,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,11.127875000000003,133.53450000000004,176.4,18.99,14.96,0.2840101381461676,165.4,2026-04-01 00:00:00,,147.55,,444102,128.5345,10.711208333333333,17.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM LIME 42,089540540054,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,12.634541666666669,151.61450000000002,194.4,20.99,16.96,0.27960642688679244,183.48,2026-04-01 00:00:00,,161.16,,483917,146.61450000000002,12.217875000000001,19.99,19.99,16.96,0.3,,,,,,,,14,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM MANGO 42,89540463087,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,11.127875000000003,133.53450000000004,176.4,18.99,14.96,0.2840101381461676,165.4,2026-04-01 00:00:00,,147.55,,68330,128.5345,10.711208333333333,17.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM MANGO 42,089540463070,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,12.634541666666669,151.61450000000002,194.4,20.99,16.96,0.27960642688679244,183.48,2026-04-01 00:00:00,,161.16,,68329,146.61450000000002,12.217875000000001,19.99,19.99,16.96,0.3,,,,,,,,17,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM PASSION FRUIT 42,89540472393,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,11.127875000000003,133.53450000000004,176.4,18.99,14.96,0.2840101381461676,165.4,2026-04-01 00:00:00,,147.55,,115354,128.5345,10.711208333333333,17.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM PASSION FRUIT 42,089540472720,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,12.634541666666669,151.61450000000002,194.4,20.99,16.96,0.27960642688679244,183.48,2026-04-01 00:00:00,,161.16,,115353,146.61450000000002,12.217875000000001,19.99,19.99,16.96,0.3,,,,,,,,7,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM PINEAPPLE 42,089540463131,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,11.127875000000003,133.53450000000004,176.4,18.99,14.96,0.2840101381461676,165.4,2026-04-01 00:00:00,,147.55,,68333,128.5345,10.711208333333333,17.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM PINEAPPLE 42,089540463124,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,12.634541666666669,151.61450000000002,194.4,20.99,16.96,0.27960642688679244,183.48,2026-04-01 00:00:00,,161.16,,68331,146.61450000000002,12.217875000000001,19.99,19.99,16.96,0.3,,,,,,,,25,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM PINEAPPLE BAY BREEZE 25,089540536323,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits,,FEB|MAY|AUG|NOV,6.096208333333333,73.1545,125.92,13.99,7.96,0.28648974036850905,105.02,2026-04-01 00:00:00,,125.92,,613893,68.15450000000001,5.679541666666668,9.99,13.99,11.96,0.3,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM PUNCH 25,089540536330,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits,,FEB|MAY|AUG|NOV,6.096208333333333,73.1545,125.92,13.99,7.96,0.28648974036850905,105.02,2026-04-01 00:00:00,,125.92,,616853,68.15450000000001,5.679541666666668,9.99,13.99,11.96,0.3,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM STRAWBERRY 42,89540540108,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,11.127875000000003,133.53450000000004,176.4,18.99,14.96,0.2840101381461676,165.4,2026-04-01 00:00:00,,147.55,,958174,128.5345,10.711208333333333,17.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM STRAWBERRY 42,089540540115,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,12.634541666666669,151.61450000000002,194.4,20.99,16.96,0.27960642688679244,183.48,2026-04-01 00:00:00,,161.16,,958175,146.61450000000002,12.217875000000001,19.99,19.99,16.96,0.3,,,,,,,,11,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM STRAWBERRY DAIQUIRI 25,089540536316,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits,,FEB|MAY|AUG|NOV,6.096208333333333,73.1545,125.92,13.99,7.96,0.28648974036850905,105.02,2026-04-01 00:00:00,,125.92,,613891,68.15450000000001,5.679541666666668,9.99,13.99,11.96,0.3,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM WATERMELON 42,89540535555,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,11.127875000000003,133.53450000000004,176.4,18.99,14.96,0.2840101381461676,165.4,2026-04-01 00:00:00,,147.55,,981933,128.5345,10.711208333333333,17.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
MALIBU RUM WATERMELON 42,089540535562,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits, ,FEB|MAY|AUG|NOV,12.634541666666669,151.61450000000002,194.4,20.99,16.96,0.27960642688679244,183.48,2026-04-01 00:00:00,,161.16,,974825,146.61450000000002,12.217875000000001,19.99,19.99,16.96,0.3,,,,,,,,18,Southern Glazer's Wine & Spirits of MN,
MARTELL BLUE SWIFT VSOP 80,080432110829,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,ALL,43.56666666666666,522.8,524.9,56.99,60.96,0.28532370953630803,522,2026-04-01 00:00:00,,522,,431217,522.8,43.56666666666666,72.99,56.99,0,0.3,,,,,,,,19,Southern Glazer's Wine & Spirits of MN,
MARTELL COGNAC VS 80,080432400814,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits,,ALL,26.37666666666667,316.52000000000004,354.9,37.99,36.96,0.2863455988455988,315.72,2026-04-01 00:00:00,,315.72,,513798,316.52000000000004,26.37666666666667,43.99,41.99,34.96,0.3,,,,,,,,18,Southern Glazer's Wine & Spirits of MN,
MARTELL COGNAC VSOP 80,080432400913,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,35.30833333333333,423.7,422.9,45.99,48.96,0.27883306100217875,422.9,2026-04-01 00:00:00,,422.9,,523646,423.7,35.30833333333333,58.99,44.99,0,0.3,,,,,,,,8,Southern Glazer's Wine & Spirits of MN,
Midleton 2023 VR,080432000557,Liquor,700ml,3,Pernod Ricard,Southern Wine & Spirits,case 1,,260.25,780.75,780.75,337.99,363.96,0.28494889548302005,780.75,2026-04-01 00:00:00,,,,569282,780.75,260.25,436.99,379.99,0,0.3,,,,,,,,4,Southern Glazer's Wine & Spirits of MN,
Midleton Barry Crocket,080432000625,Liquor,700ml,3,Pernod Ricard,Southern Wine & Spirits,case 1,,372.67,1118.01,1118.01,483.99,521.96,0.2860180856770634,1118.01,2026-04-01 00:00:00,,,,580917,1118.01,372.67,625.99,499.99,0,0.3,,,,,,,,5,Southern Glazer's Wine & Spirits of MN,
MIDLETON IRISH 2022 VINT RLS 80,080432534175,Liquor,700ML,3,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,260.51666666666665,781.55,780.75,337.99,364.96,0.28617748063714743,780.75,2026-04-01 00:00:00,,780.75,,545448,781.55,260.51666666666665,437.99,299.99,274.96,0.3,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
MIDLETON IRISH BARRY CROCKETT 92,080432107560,Liquor,750ml,3,PERNOD RICARD USA,Southern Wine & Spirits, ,November|December|May|July,372.93666666666667,1118.81,1118.01,483.99,521.96,0.28550719084476467,1118.01,2026-04-01 00:00:00,,1118.01,,320689,1118.81,372.93666666666667,625.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
Monkey 47 Gin,083089410359,Liquor,375ML,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,32.38333333333333,194.3,201.06,49.99,44.96,0.27973013048635825,193.5,2026-04-01 00:00:00,,193.5,,354341,194.3,32.38333333333333,53.99,44.99,0,0.5,,,,,,,,3,Southern Glazer's Wine & Spirits of MN,
Monkey 47 Gin,080432112908,Liquor,Liter,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,69.13333333333334,414.8,414,89.99,96.96,0.2869911991199119,414,2026-04-01 00:00:00,,414,,898141,414.8,69.13333333333334,115.99,81.99,74.96,0.3,,,,,,,,19,Southern Glazer's Wine & Spirits of MN,
Olmeca Altos Lime Margarita,080432000212,Liquor,750ml,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,11.383333333333333,68.3,112.5,23.99,15.96,0.2867585630743526,67.5,2026-04-01 00:00:00,,100.5,,551097,68.3,11.383333333333333,18.99,23.99,19.96,0.3,,,,,,,,11,Southern Glazer's Wine & Spirits of MN,
Olmeca Altos Strawberry Margarita,080432000533,Liquor,750ml,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,11.383333333333333,68.3,112.5,23.99,15.96,0.2867585630743526,67.5,2026-04-01 00:00:00,,100.5,,577370,68.3,11.383333333333333,18.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
OLMECA ALTOS TEQ ANEJO 80,080432108611,Liquor,750ml,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,24.123333333333335,144.74,214.55,45.99,32.96,0.28832928802589,143.94,2026-04-01 00:00:00,,188.95,,355785,140.74,23.456666666666667,39.99,44.99,39.96,0.3,,,,,,,,7,Southern Glazer's Wine & Spirits of MN,
OLMECA ALTOS TEQ PLATA 80,080432106846,Liquor,750ml,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,17.375,104.25,152.95,32.99,22.96,0.27228513356562145,103.45,2026-04-01 00:00:00,,134.95,,298832,100.25,16.708333333333332,27.99,35.49,29.96,0.3,,,,,,,,24,Southern Glazer's Wine & Spirits of MN,
OLMECA ALTOS TEQ PLATA 80,080432108253,Liquor,1.75L,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,29.375,176.25,256.45,55.99,39.96,0.2815732399065733,175.45,2026-04-01 00:00:00,,238.45,,354157,172.25,28.708333333333332,47.99,59.99,49.96,0.3,,,,,,,,9,Southern Glazer's Wine & Spirits of MN,
OLMECA ALTOS TEQ REPOSADO 80,080432106853,Liquor,750ml,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,17.375,104.25,152.95,32.99,22.96,0.27228513356562145,103.45,2026-04-01 00:00:00,,134.95,,298831,100.25,16.708333333333332,27.99,35.49,29.96,0.3,,,,,,,,26,Southern Glazer's Wine & Spirits of MN,
OLMECA ALTOS TEQ REPOSADO 80,080432108291,Liquor,1.75L,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,29.375,176.25,256.45,55.99,39.96,0.2815732399065733,175.45,2026-04-01 00:00:00,,238.45,,354162,172.25,28.708333333333332,47.99,55.99,49.96,0.3,,,,,,,,6,Southern Glazer's Wine & Spirits of MN,
PERNOD ABSINTHE 136,080432104538,Liquor,750ml,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,60.13333333333333,360.8,360,77.99,83.96,0.28378592980784495,360,2026-04-01 00:00:00,,360,,324437,360.8,60.13333333333333,100.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
PERNOD ANISE 80,080432291672,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,24.816666666666666,297.8,297,31.99,34.96,0.2901411136536995,297,2026-04-01 00:00:00,,297,,23979,297.8,24.816666666666666,41.99,31.99,0,0.3,,,,,,,,13,Southern Glazer's Wine & Spirits of MN,
REDBREAST IRISH WHISKEY 12YR 80,080432586174,Liquor,750ml,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,48.88333333333333,293.3,417.5,89.99,67.96,0.2807043358838532,292.5,2026-04-01 00:00:00,,292.5,,86276,293.3,48.88333333333333,81.99,92.99,74.96,0.3,,,,,,,,31,Southern Glazer's Wine & Spirits of MN,
REDBREAST IRISH WHISKEY 15YR 92,080432106419,Liquor,750ml,6,PERNOD RICARD USA,Southern Wine & Spirits,,ALL,121.31333333333333,727.88,742.45,160.99,169.96,0.28622420961794937,727.08,2026-04-01 00:00:00,,742.45,,298674,727.88,121.31333333333333,203.99,159.99,139.96,0.3,,,,,,,,1,Southern Glazer's Wine & Spirits of MN,
REDBREAST IRISH WHISKEY 21YR 92,080432108321,Liquor,750ml,3,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,355.1266666666666,1065.3799999999999,1080,467.99,496.96,0.2854019102811763,1064.58,2026-04-01 00:00:00,,1064.58,,351379,1065.3799999999999,355.1266666666666,595.99,499.99,399.96,0.3,,,,,,,,4,Southern Glazer's Wine & Spirits of MN,
REDBREAST IRISH WHISKEY 27YR 106.2,80432115626,Liquor,750ml,3,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,795.2666666666668,2385.8,2385,1033.99,1112.96,0.2854490128426298,2385,2026-04-01 00:00:00,,2385,,550281,2385.8,795.2666666666668,1335.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
REDBREAST IRISH WSKY LUSTAU ED 92,080432110751,Liquor,750ml,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,64.31333333333333,385.88,400.47,86.99,89.96,0.285089669482733,385.08,2026-04-01 00:00:00,,385.08,,417747,385.88,64.31333333333333,107.99,119.99,109.96,0.3,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
SEAGRAM TWISTED GIN LIME 70,080432401644,Liquor,1.75L,6,PERNOD RICARD USA,Southern Wine & Spirits, ,JAN|APR|JULY|OCT,15.108333333333333,90.64999999999999,105.85,22.99,20.96,0.27918256997455476,89.85,2026-04-01 00:00:00,,94.42,,77798,90.64999999999999,15.108333333333333,24.99,23.99,19.96,0.3,,,,,,,,37,Southern Glazer's Wine & Spirits of MN,
SEAGRAM TWISTED GIN LIME 70,080432401620,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits, ,JAN|APR|JULY|OCT,9.436666666666666,113.24,128.4,13.99,12.96,0.2718621399176956,112.44,2026-04-01 00:00:00,,117,,78815,113.24,9.436666666666666,15.99,14.99,12.96,0.3,,,,,,,,31,Southern Glazer's Wine & Spirits of MN,
SEAGRAM TWISTED GIN LIME 70,080432401583,Liquor,375ML,24,PERNOD RICARD USA,Southern Wine & Spirits,,ALL,4.080416666666666,97.92999999999999,114.55,6.99,5.96,0.31536633109619694,97.13,2026-04-01 00:00:00,,97.13,,373443,97.92999999999999,4.080416666666666,6.99,7.99,0,0.5,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
Seagrams Extra Dry Gin 200ml,080432401217,Liquor,200ml,48,PERNOD RICARD USA,Southern Wine & Spirits,,ALL,2.5785416666666667,123.77,138.75,3.99,3.96,0.34885311447811446,122.97,2026-04-01 00:00:00,,122.97,,10304,123.77,2.5785416666666667,4.99,4.99,0,0.5,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
Seagrams Extra Dry Gin 375ml,080432401224,Liquor,375ML,24,PERNOD RICARD USA,Southern Wine & Spirits,,ALL,4.080416666666666,97.92999999999999,114.55,6.99,5.96,0.31536633109619694,97.13,2026-04-01 00:00:00,,97.13,,624869,97.92999999999999,4.080416666666666,6.99,7.99,6.96,0.5,,,,,,,,77,Southern Glazer's Wine & Spirits of MN,
SEAGRAMS GIN EXTRA DRY 12/10PK PET,080432400012,Liquor,50ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,8.566666666666666,102.8,102,12.99,11.96,0.2837235228539577,102,2026-04-01 00:00:00,,102,,10305,102.8,8.566666666666666,13.99,1.99,0,0.5,,,,,,,,14,Southern Glazer's Wine & Spirits of MN,
SEAGRAMS GIN EXTRA DRY 80,080432401262,Liquor,1.75L,6,PERNOD RICARD USA,Southern Wine & Spirits, ,JAN|APR|JULY|OCT,15.108333333333333,90.64999999999999,105.85,22.99,20.96,0.27918256997455476,89.85,2026-04-01 00:00:00,,94.42,,10300,90.64999999999999,15.108333333333333,24.99,23.99,19.96,0.3,,,,,,,,31,Southern Glazer's Wine & Spirits of MN,
SEAGRAMS GIN EXTRA DRY 80,080432401255,Liquor,Liter,12,PERNOD RICARD USA,Southern Wine & Spirits, ,JAN|APR|JULY|OCT,9.436666666666666,113.24,128.4,13.99,12.96,0.2718621399176956,112.44,2026-04-01 00:00:00,,117,,373541,113.24,9.436666666666666,15.99,14.99,12.96,0.3,,,,,,,,74,Southern Glazer's Wine & Spirits of MN,
SEAGRAMS GIN EXTRA DRY 80,80432401231,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,JAN|APR|JULY|OCT,7.870833333333334,94.45,109.7,11.99,10.96,0.28185827250608275,93.65,2026-04-01 00:00:00,,98.22,,10302,94.45,7.870833333333334,12.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
SEAGRAMS GIN EXTRA DRY 80 PET,080432401248,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,JAN|APR|JULY|OCT,7.870833333333334,94.45,109.7,11.99,10.96,0.28185827250608275,93.65,2026-04-01 00:00:00,,98.22,,60920,94.45,7.870833333333334,12.99,12.99,10.96,0.3,,,,,,,,28,Southern Glazer's Wine & Spirits of MN,
SKREWBALL WSKY PEANUT BUTTER 70,860265002443,Liquor,1L,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,20.713333333333335,124.28,162,34.99,27.96,0.28302336671435385,123.48,2026-04-01 00:00:00,,123.48,,529073,120.28,20.046666666666667,33.99,37.99,32.96,0.3,,,,,,,,27,Southern Glazer's Wine & Spirits of MN,
SKREWBALL WSKY PEANUT BUTTER 70,860265002405,Liquor,750ml,12,PERNOD RICARD USA,Southern Wine & Spirits, ,February|April|June|August|October|December,18.837500000000002,226.05,270.5,28.99,25.96,0.28720467385721626,225.25,2026-04-01 00:00:00,,261.6,,561798,222.05,18.504166666666666,30.99,29.99,24.96,0.3,,,,,,,,99,Southern Glazer's Wine & Spirits of MN,
SKREWBALL WSKY PEANUT BUTTER 70,860008141217,Liquor,1.75L,6,PERNOD RICARD USA,Southern Wine & Spirits,,February|April|June|August|October|December,36.63333333333333,219.8,228,48.99,50.96,0.28113553113553114,219,2026-04-01 00:00:00,,225,,614132,219.8,36.63333333333333,60.99,49.99,44.96,0.3,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
SKREWBALL WSKY PEANUT BUTTER 70 CAN,860008141200,Liquor,100ML,48,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,2.558333333333333,122.8,172.5,4.99,3.96,0.353956228956229,122,2026-04-01 00:00:00,,122,,578611,122.8,2.558333333333333,4.99,5.99,0,0.5,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
SKREWBALL WSKY PEANUT BUTTER 70 LSE,860265002429,Liquor,50ml,120,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,2.006666666666667,240.8,240,2.99,2.96,0.322072072072072,240,2026-04-01 00:00:00,,240,,606586,240.8,2.006666666666667,3.99,3.49,2.96,0.5,,,,,,,,185,Southern Glazer's Wine & Spirits of MN,
TX BLENDED WHISKEY 82,858379003005,Liquor,750ml,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,24.8,148.8,162,34.99,33.96,0.2893600314095013,148,2026-04-01 00:00:00,,148,,440742,144.8,24.133333333333336,40.99,38.99,32.96,0.3,,,,,,,,17,Southern Glazer's Wine & Spirits of MN,
TX STRAIGHT BOURBON 90,858379003029,Liquor,750ml,6,PERNOD RICARD USA,Southern Wine & Spirits, ,ALL,32.38333333333333,194.3,207,44.99,43.96,0.2785107673642705,193.5,2026-04-01 00:00:00,,193.5,,448385,190.3,31.71666666666667,52.99,44.99,39.96,0.3,,,,,,,,1,Southern Glazer's Wine & Spirits of MN,
1792 Bottled in Bond,088004027971,Liquor,750ml,6,SAZERAC COMPANY INC,Southern Wine & Spirits, ,ALL,30.133333333333336,180.8,180,38.99,41.96,0.2818557356212265,180,2026-05-01 00:00:00,,180,,899960,180.8,30.133333333333336,49.99,49.99,0,0.3,,,,,,,,0,Southern Glazer's Wine & Spirits of MN,
818 TEQ ANEJO 80,7503021376022,Liquor,750ml,6,818 SPIRITS/MHW LTD,Southern Wine & Spirits, ,JULY|AUG|OCT|DEC,32.598333333333336,195.59,283.52,60.99,45.96,0.2907238178125906,194.79,2026-05-01 00:00:00,,202.5,,511785,195.59,32.598333333333336,54.99,,,0.3,,,,,,,,,Southern Glazer's Wine & Spirits of MN,
818 TEQ BLANCO 80,195893687015,Liquor,750ml,6,818 SPIRITS/MHW LTD,Southern Wine & Spirits, ,JULY|AUG|OCT|DEC,18.883333333333333,113.3,135,28.99,25.96,0.27259887005649724,112.5,2026-05-01 00:00:00,,130.5,,511786,113.3,18.883333333333333,30.99,36.99,29.96,0.3,,,,,,,,52,Southern Glazer's Wine & Spirits of MN,
818 TEQ REPOSADO 80,195893031092,Liquor,750ml,6,818 SPIRITS/MHW LTD,Southern Wine & Spirits, ,JULY|AUG|OCT|DEC,22.633333333333336,135.8,166.5,35.99,31.96,0.2918231122236128,135,2026-05-01 00:00:00,,148.5,,511787,135.8,22.633333333333336,37.99,47.99,39.96,0.3,,,,,,,,11,Southern Glazer's Wine & Spirits of MN,
