Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail Calc,Club Override,GM%,Buy Month Invoice,Effective Date,Notes,Non-Buy Month Invoice,Reorder Point,Item Number,Net Case EO,Net Cs EO/Unit,Retail Override,Avg Retail,Avg Club,Markup,Buy Months,Case 1 on Spirits Tab,Buy Month Invoice on Spirits Tab,Net Case on Spirits Tab,Diff b/w Case 1,Diff b/w Net Case,Diff Item Number,Units On Hand Across Chain,Netsuite Name,Color
Goslings Diet Ginger Beer,721094200588,Misc,7.5oz 6pk,4,Pernod,Phillips Wine & Spirits,Case 1,ALL,5.1675,20.67,22.36,6.99,6.96,0.2575431034482758,19.57,2026-03-01 00:00:00,,,,1635663,20.67,5.1675,7.99,,,0.3,,,,,,,,,Phillips Wine & Spirits - St. Paul,
Goslings Tonic Water Citrus,721094200434,Misc,7.5oz 6pk,4,Pernod,Phillips Wine & Spirits,Case 1,ALL,5.1675,20.67,22.36,6.99,6.96,0.2575431034482758,19.57,2026-03-01 00:00:00,,,,1845303,20.67,5.1675,7.99,,,0.3,,,,,,,,,Phillips Wine & Spirits - St. Paul,
Goslings Tonic Water Tropical,721094200458,Misc,7.5oz 6pk,4,Pernod,Phillips Wine & Spirits,Case 1,ALL,5.1675,20.67,22.36,6.99,6.96,0.2575431034482758,19.57,2026-03-01 00:00:00,,,,1700751,20.67,5.1675,7.99,,,0.3,,,,,,,,,Phillips Wine & Spirits - St. Paul,
Goslings Ginger Beer,721094199844,Misc,12oz 6pk,4,Pernod,Phillips Wine & Spirits,Case 1,ALL,4.4675,17.87,22.37,6.99,5.96,0.2504194630872483,16.77,2026-03-01 00:00:00,,,,1827689,17.87,4.4675,6.99,,,0.3,,,,,,,,,Phillips Wine & Spirits - St. Paul,
Goslings Diet Ginger Beer,721094199851,Misc,12oz 6pk,4,Pernod,Phillips Wine & Spirits,Case 1,ALL,4.4675,17.87,22.37,6.99,5.96,0.2504194630872483,16.77,2026-03-01 00:00:00,,,,1739707,17.87,4.4675,6.99,,,0.3,,,,,,,,,Phillips Wine & Spirits - St. Paul,
Goslings Peach Ginger Beer,721094400018,Misc,12oz 6pk,4,Pernod,Phillips Wine & Spirits,Case 1,ALL,4.4675,17.87,22.37,6.99,5.96,0.2504194630872483,16.77,2026-03-01 00:00:00,,,,1634248,17.87,4.4675,6.99,,,0.3,,,,,,,,,Phillips Wine & Spirits - St. Paul,
Goslings Ginger Beer,721094199841,Misc,12oz 12pk,2,Pernod,Phillips Wine & Spirits,Case 1,ALL,10.335,20.67,25.19,15.99,13.96,0.2596704871060172,19.57,2026-03-01 00:00:00,,,,1749894,20.67,10.335,16.99,,,0.3,,,,,,,,,Phillips Wine & Spirits - St. Paul,
Goslings Diet Ginger Beer,721094199858,Misc,12oz 12pk,2,Pernod,Phillips Wine & Spirits,Case 1,ALL,10.335,20.67,25.19,15.99,13.96,0.2596704871060172,19.57,2026-03-01 00:00:00,,,,1398616,20.67,10.335,16.99,,,0.3,,,,,,,,,Phillips Wine & Spirits - St. Paul,
Lucky Ones Sweet Tea  Vodka Variety 8pk 12oz can,085000042052,Liquor,8pk Can,3,Gallo,Johnson Brothers Liquor Co,Deep Net,Feb|March|May|August,14.633333333333333,43.9,63,26.99,18.96,0.22819971870604788,47,2026-03-01 00:00:00,,54,,1427341,43.9,14.633333333333333,22.99,22.99,18.96,0.3,,,,,,,,38,Johnson Brothers - St. Paul,
Lucky Ones Sweet Tea Vodka Original 4pk 12oz can,085000042076,Liquor,4pk Can,6,Gallo,Johnson Brothers Liquor Co,Deep Net,Feb|March|May|August,7.666666666666667,46,63,13.99,10.96,0.3004866180048662,47,2026-03-01 00:00:00,,54,,1416904,46,7.666666666666667,12.99,12.99,10.96,0.3,,,,,,,,18,Johnson Brothers - St. Paul,
